Nº de referencia,Actualizado por,Asunto,Buzón de correo,Cola,Creado por cuenta,Modo de Contacto,UsuarioIntra,Tipo de Incidente,Tipo de estado,Tipo Cobro,Siniestro,Poliza,NroCuenta,ID de producto,ID de incidente,ID de disposición,ID de contacto,ID de categoría,Grupo,FechaEfecto,Fecha de última respuesta,Fecha de última actualización,Fecha de creación,Fecha de cierre,Estado,Cuenta asignada,ID de organización
170728-087413,,,,Cac,Gisele Ares,Llamada entrante,,,Solucionado,,,173701,,APR1 - AUTOMOTORES,1731608,,3511049,Endosos CAC,,,,'2021-04-28 13:20:00','2017-07-28 04:45:51','2017-07-31 13:31:40',Resuelto,,
170728-080439,,Consulta,Contactenos Patrimoniales,,,,,,Solucionado,,,,,Seguros Todos,1724416,,3615402,Acción de Marketing,Administradores,,,'2018-01-02 11:32:33','2017-07-28 04:24:54','2017-07-28 04:24:54',Resuelto,Leonardo Villalba,
170728-080695,,Consulta,Contactenos Patrimoniales,,,,,,Solucionado,,,,,Seguros Todos,1724672,,3619734,Acción de Marketing,Administradores,,,'2018-01-02 11:32:33','2017-07-28 04:25:37','2017-07-28 04:25:37',Resuelto,Leonardo Villalba,
170728-080951,,Consulta,Contactenos Patrimoniales,,,,,,Solucionado,,,,,Seguros Todos,1724928,,3623457,Acción de Marketing,Administradores,,,'2018-01-02 11:32:33','2017-07-28 04:26:20','2017-07-28 04:26:20',Resuelto,Leonardo Villalba,
170728-081207,,Consulta,Contactenos Patrimoniales,,,,,,Solucionado,,,,,Seguros Todos,1725184,,3627287,Acción de Marketing,Administradores,,,'2018-01-02 11:32:33','2017-07-28 04:27:02','2017-07-28 04:27:02',Resuelto,Leonardo Villalba,
170728-081463,,Consulta,Contactenos Patrimoniales,,,,,,Solucionado,,,,,Seguros Todos,1725440,,3631010,Acción de Marketing,Administradores,,,'2018-01-02 11:32:33','2017-07-28 04:27:47','2017-07-28 04:27:47',Resuelto,Leonardo Villalba,
170728-081719,,Consulta,Contactenos Patrimoniales,,,,,,Solucionado,,,,,Seguros Todos,1725696,,3634383,Acción de Marketing,Administradores,,,'2018-01-02 11:32:33','2017-07-28 04:29:00','2017-07-28 04:29:00',Resuelto,Leonardo Villalba,
170728-081975,,Consulta,Contactenos Patrimoniales,,,,,,Solucionado,,,,,Seguros Todos,1725952,,3638221,Acción de Marketing,Administradores,,,'2018-01-02 11:32:33','2017-07-28 04:29:55','2017-07-28 04:29:55',Resuelto,Leonardo Villalba,
170728-082231,,Consulta,Contactenos Patrimoniales,,,,,,Solucionado,,,,,Seguros Todos,1726208,,3642393,Acción de Marketing,Administradores,,,'2018-01-02 11:32:33','2017-07-28 04:30:41','2017-07-28 04:30:41',Resuelto,Leonardo Villalba,
170728-082487,,Consulta,Contactenos Patrimoniales,,,,,,Solucionado,,,,,Seguros Todos,1726464,,3646418,Acción de Marketing,Administradores,,,'2018-01-02 11:32:33','2017-07-28 04:31:31','2017-07-28 04:31:31',Resuelto,Leonardo Villalba,
170728-082743,,Consulta,Contactenos Patrimoniales,,,,,,Solucionado,,,,,Seguros Todos,1726720,,3656266,Acción de Marketing,Administradores,,,'2018-01-02 11:32:33','2017-07-28 04:32:14','2017-07-28 04:32:14',Resuelto,Leonardo Villalba,
170728-082999,,Consulta,Contactenos Patrimoniales,,,,,,Solucionado,,,,,Seguros Todos,1726976,,3672926,Acción de Marketing,Administradores,,,'2018-01-02 11:32:33','2017-07-28 04:32:56','2017-07-28 04:32:56',Resuelto,Leonardo Villalba,
170728-083255,,Consulta,Contactenos Patrimoniales,,,,,,Solucionado,,,,,Seguros Todos,1727232,,3686703,Acción de Marketing,Administradores,,,'2018-01-02 11:32:33','2017-07-28 04:33:38','2017-07-28 04:33:38',Resuelto,Leonardo Villalba,
170728-083511,,Consulta,Contactenos Patrimoniales,,,,,,Solucionado,,,,,Seguros Todos,1727488,,3701247,Acción de Marketing,Administradores,,,'2018-01-02 11:32:33','2017-07-28 04:34:20','2017-07-28 04:34:20',Resuelto,Leonardo Villalba,
170728-083767,,Consulta,Contactenos Patrimoniales,,,,,,Solucionado,,,,,Seguros Todos,1727744,,3713127,Acción de Marketing,Administradores,,,'2018-01-02 11:32:33','2017-07-28 04:35:00','2017-07-28 04:35:00',Resuelto,Leonardo Villalba,
170728-084023,,Consulta,Contactenos Patrimoniales,,,,,,Solucionado,,,,,Seguros Todos,1728000,,3723733,Acción de Marketing,Administradores,,,'2018-01-02 11:32:33','2017-07-28 04:35:39','2017-07-28 04:35:39',Resuelto,Leonardo Villalba,
170728-084279,,Consulta,Contactenos Patrimoniales,,,,,,Solucionado,,,,,Seguros Todos,1728256,,3736465,Acción de Marketing,Administradores,,,'2018-01-02 11:32:33','2017-07-28 04:36:19','2017-07-28 04:36:19',Resuelto,Leonardo Villalba,
170728-084535,,Consulta,Contactenos Patrimoniales,,,,,,Solucionado,,,,,Seguros Todos,1728512,,3747131,Acción de Marketing,Administradores,,,'2018-01-02 11:32:33','2017-07-28 04:36:59','2017-07-28 04:36:59',Resuelto,Leonardo Villalba,
170728-084791,,Consulta,Contactenos Patrimoniales,,,,,,Solucionado,,,,,Seguros Todos,1728768,,3757683,Acción de Marketing,Administradores,,,'2018-01-02 11:32:33','2017-07-28 04:37:47','2017-07-28 04:37:47',Resuelto,Leonardo Villalba,
170728-085047,,Consulta,Contactenos Patrimoniales,,,,,,Solucionado,,,,,Seguros Todos,1729024,,3768407,Acción de Marketing,Administradores,,,'2018-01-02 11:32:33','2017-07-28 04:38:29','2017-07-28 04:38:29',Resuelto,Leonardo Villalba,
170728-085303,,Consulta,Contactenos Patrimoniales,,,,,,Solucionado,,,,,Seguros Todos,1729280,,3777250,Acción de Marketing,Administradores,,,'2018-01-02 11:32:33','2017-07-28 04:39:37','2017-07-28 04:39:37',Resuelto,Leonardo Villalba,
170728-085559,,Consulta,Contactenos Patrimoniales,,,,,,Solucionado,,,,,Seguros Todos,1729536,,3788136,Acción de Marketing,Administradores,,,'2018-01-02 11:32:33','2017-07-28 04:40:17','2017-07-28 04:40:17',Resuelto,Leonardo Villalba,
170728-085815,,Consulta,Contactenos Patrimoniales,,,,,,Solucionado,,,,,Seguros Todos,1729792,,3797575,Acción de Marketing,Administradores,,,'2018-01-02 11:32:33','2017-07-28 04:40:57','2017-07-28 04:40:57',Resuelto,Leonardo Villalba,
170728-086071,,Consulta,Contactenos Patrimoniales,,,,,,Solucionado,,,,,Seguros Todos,1730048,,3807327,Acción de Marketing,Administradores,,,'2018-01-02 11:32:33','2017-07-28 04:41:37','2017-07-28 04:41:37',Resuelto,Leonardo Villalba,
170728-086327,,Consulta,Contactenos Patrimoniales,,,,,,Solucionado,,,,,Seguros Todos,1730304,,3820611,Acción de Marketing,Administradores,,,'2018-01-02 11:32:33','2017-07-28 04:42:17','2017-07-28 04:42:17',Resuelto,Leonardo Villalba,
170728-086583,,Consulta,Contactenos Patrimoniales,,,,,,Solucionado,,,,,Seguros Todos,1730560,,3834036,Acción de Marketing,Administradores,,,'2018-01-02 11:32:33','2017-07-28 04:42:56','2017-07-28 04:42:56',Resuelto,Leonardo Villalba,
170728-086839,,Consulta,Contactenos Patrimoniales,,,,,,Solucionado,,,,,Seguros Todos,1730816,,3846119,Acción de Marketing,Administradores,,,'2018-01-02 11:32:33','2017-07-28 04:43:44','2017-07-28 04:43:44',Resuelto,Leonardo Villalba,
170728-087095,,Consulta,Contactenos Patrimoniales,,,,,,Solucionado,,,,,Seguros Todos,1731072,,3858085,Acción de Marketing,Administradores,,,'2018-01-02 11:32:33','2017-07-28 04:44:23','2017-07-28 04:44:23',Resuelto,Leonardo Villalba,
170728-087352,,Consulta,Contactenos Patrimoniales,,,,,,Solucionado,,,,,Seguros Todos,1731328,,3869926,Acción de Marketing,Administradores,,,'2018-01-02 11:32:33','2017-07-28 04:45:03','2017-07-28 04:45:03',Resuelto,Leonardo Villalba,
170728-087608,,Consulta,Contactenos Patrimoniales,,,,,,Solucionado,,,,,Seguros Todos,1731584,,3886808,Acción de Marketing,Administradores,,,'2018-01-02 11:32:33','2017-07-28 04:45:44','2017-07-28 04:45:44',Resuelto,Leonardo Villalba,
170728-087863,,Consulta,Contactenos Patrimoniales,,,,,,Solucionado,,,,,Seguros Todos,1731840,,3901910,Acción de Marketing,Administradores,,,'2018-01-02 11:32:33','2017-07-28 04:46:24','2017-07-28 04:46:24',Resuelto,Leonardo Villalba,
170728-088119,,Consulta,Contactenos Patrimoniales,,,,,,Solucionado,,,,,Seguros Todos,1732096,,3919383,Acción de Marketing,Administradores,,,'2018-01-02 11:32:33','2017-07-28 04:47:04','2017-07-28 04:47:04',Resuelto,Leonardo Villalba,
170728-088375,,Consulta,Contactenos Patrimoniales,,,,,,Solucionado,,,,,Seguros Todos,1732352,,3934014,Acción de Marketing,Administradores,,,'2018-01-02 11:32:33','2017-07-28 04:47:44','2017-07-28 04:47:44',Resuelto,Leonardo Villalba,
170728-088631,,Consulta,Contactenos Patrimoniales,,,,,,Solucionado,,,,,Seguros Todos,1732608,,3947258,Acción de Marketing,Administradores,,,'2018-01-02 11:32:33','2017-07-28 04:48:23','2017-07-28 04:48:23',Resuelto,Leonardo Villalba,
170728-088887,,Consulta,Contactenos Patrimoniales,,,,,,Solucionado,,,,,Seguros Todos,1732864,,3962499,Acción de Marketing,Administradores,,,'2018-01-02 11:32:33','2017-07-28 04:49:02','2017-07-28 04:49:02',Resuelto,Leonardo Villalba,
170728-089143,,Consulta,Contactenos Patrimoniales,,,,,,Solucionado,,,,,Seguros Todos,1733120,,3978304,Acción de Marketing,Administradores,,,'2018-01-02 11:32:33','2017-07-28 04:49:50','2017-07-28 04:49:50',Resuelto,Leonardo Villalba,
170728-089399,,Consulta,Contactenos Patrimoniales,,,,,,Solucionado,,,,,Seguros Todos,1733376,,4006360,Acción de Marketing,Administradores,,,'2018-01-02 11:32:33','2017-07-28 04:50:31','2017-07-28 04:50:31',Resuelto,Leonardo Villalba,
170728-089655,,Consulta,Contactenos Patrimoniales,,,,,,Solucionado,,,,,Seguros Todos,1733632,,4029749,Acción de Marketing,Administradores,,,'2018-01-02 11:32:33','2017-07-28 04:51:10','2017-07-28 04:51:10',Resuelto,Leonardo Villalba,
170728-089911,,Consulta,Contactenos Patrimoniales,,,,,,Solucionado,,,,,Seguros Todos,1733888,,4051701,Acción de Marketing,Administradores,,,'2018-01-02 11:32:33','2017-07-28 04:51:48','2017-07-28 04:51:48',Resuelto,Leonardo Villalba,
170728-090167,,Consulta,Contactenos Patrimoniales,,,,,,Solucionado,,,,,Seguros Todos,1734144,,4074792,Acción de Marketing,Administradores,,,'2018-01-02 11:32:33','2017-07-28 04:52:31','2017-07-28 04:52:31',Resuelto,Leonardo Villalba,
