Nº de referencia,Actualizado por,Asunto,Buzón de correo,Cola,Creado por cuenta,Modo de Contacto,UsuarioIntra,Tipo de Incidente,Tipo de estado,Tipo Cobro,Siniestro,Poliza,NroCuenta,ID de producto,ID de incidente,ID de disposición,ID de contacto,ID de categoría,Grupo,FechaEfecto,Fecha de última respuesta,Fecha de última actualización,Fecha de creación,Fecha de cierre,Estado,Cuenta asignada,ID de organización
161021-044087,,Incidente importado desde SAC,,Telecobranzas,Usuario Importador,Telemarketing,,,Solucionado,,,,,AUS1 - AUTOMOTORES,94185,,7022222,Ocupado,,,,'2021-04-28 13:20:00','2016-10-21 11:31:13','2016-10-21 11:31:13',Atendido,,
161021-044088,,Incidente importado desde SAC,,Telecobranzas,Usuario Importador,Telemarketing,,,Solucionado,,,,,AUS1 - AUTOMOTORES,94186,,3507007,Contestador,,,,'2021-04-28 13:20:00','2016-10-21 11:31:13','2016-10-21 11:31:13',Atendido,,
161021-044090,,Incidente importado desde SAC,,Daños Materiales Autos,Usuario Importador,Telemarketing,,,Solucionado,,,,,AUS1 - AUTOMOTORES,94188,,4010874,Denuncia daños materiales,,,,'2021-04-28 13:20:00','2016-10-21 11:31:14','2016-10-21 11:31:14',Resuelto,,
161021-044091,,Incidente importado desde SAC,,Telecobranzas,Usuario Importador,Telemarketing,,,Solucionado,,,,,AUS1 - AUTOMOTORES,94189,,7311953,Sin teléfono/Equivocado,,,,'2021-04-28 13:20:00','2016-10-21 11:31:14','2016-10-21 11:31:14',Atendido,,
161021-044092,,Incidente importado desde SAC,,Daños Materiales Autos,Usuario Importador,Telemarketing,,,Solucionado,,,,,AUS1 - AUTOMOTORES,94190,,3160532,Denuncia daños materiales,,,,'2021-04-28 13:20:00','2016-10-21 11:31:14','2016-10-21 11:31:14',Resuelto,,
161021-044093,,Incidente importado desde SAC,,Mailing,Usuario Importador,Telemarketing,,,Solucionado,,,,,AUS1 - AUTOMOTORES,94191,,612456,Certificado de cobertura,,,,'2021-04-28 13:20:00','2016-10-21 11:31:14','2016-10-21 11:31:14',Atendido,,
161021-044094,,Incidente importado desde SAC,,Daños Materiales Autos,Usuario Importador,Telemarketing,,,Solucionado,,,,,AUS1 - AUTOMOTORES,94192,,5545676,Denuncia daños materiales,,,,'2021-04-28 13:20:00','2016-10-21 11:31:14','2016-10-21 11:31:14',Resuelto,,
161021-044100,,Incidente importado desde SAC,,Daños Materiales Autos,Usuario Importador,Telemarketing,,,Solucionado,,,,,AUS1 - AUTOMOTORES,94198,,1115072,Denuncia daños materiales,,,,'2021-04-28 13:20:00','2016-10-21 11:31:17','2016-10-21 11:31:17',Resuelto,,
161021-044101,,Incidente importado desde SAC,,Daños Materiales Autos,Usuario Importador,Telemarketing,,,Solucionado,,,,,AUS1 - AUTOMOTORES,94199,,6107068,Denuncia daños materiales,,,,'2021-04-28 13:20:00','2016-10-21 11:31:17','2016-10-21 11:31:17',Resuelto,,
161021-044103,,Incidente importado desde SAC,,Telecobranzas,Usuario Importador,Telemarketing,,,Solucionado,,,,,AUS1 - AUTOMOTORES,94201,,7551904,Contestador,,,,'2021-04-28 13:20:00','2016-10-21 11:31:17','2016-10-21 11:31:17',Atendido,,
161021-044105,,Incidente importado desde SAC,,Daños Materiales Autos,Usuario Importador,Telemarketing,,,Solucionado,,,,,AUS1 - AUTOMOTORES,94203,,3334255,Denuncia daños materiales,,,,'2021-04-28 13:20:00','2016-10-21 11:31:17','2016-10-21 11:31:17',Resuelto,,
161021-044106,,Incidente importado desde SAC,,Cerrito- CIS,Usuario Importador,Carta Documento,,,Solucionado,,,,,TIE2 - TRANSPORTES IMP-EXPO,94204,,6703901,Certificado de cobertura,,,,'2021-04-28 13:20:00','2016-10-21 11:31:19','2016-10-21 11:31:19',Resuelto,,
161021-044108,,Incidente importado desde SAC,,Daños Materiales Autos,Usuario Importador,Telemarketing,,,Solucionado,,,,,AUS1 - AUTOMOTORES,94206,,1288672,Denuncia daños materiales,,,,'2021-04-28 13:20:00','2016-10-21 11:31:20','2016-10-21 11:31:20',Resuelto,,
161021-044109,,Incidente importado desde SAC,,Daños Materiales Autos,Usuario Importador,Telemarketing,,,Solucionado,,,,,AUS1 - AUTOMOTORES,94207,,3409969,Denuncia daños materiales,,,,'2021-04-28 13:20:00','2016-10-21 11:31:20','2016-10-21 11:31:20',Resuelto,,
161021-044110,,Incidente importado desde SAC,,Daños Materiales Autos,Usuario Importador,Telemarketing,,,Solucionado,,,,,AUS1 - AUTOMOTORES,94208,,1968325,Denuncia daños materiales,,,,'2021-04-28 13:20:00','2016-10-21 11:31:20','2016-10-21 11:31:20',Resuelto,,
161021-044111,,Incidente importado desde SAC,,Emisión Masivos,Usuario Importador,Telemarketing,,,Solucionado,,,,,APL1 - AUTOMOTORES PLANES,94209,,5870039,Modificación datos personales,,,,'2021-04-28 13:20:00','2016-10-21 11:31:20','2016-10-21 11:31:20',Resuelto,,
161021-044112,,Incidente importado desde SAC,,Daños Materiales Autos,Usuario Importador,Telemarketing,,,Solucionado,,,,,AUS1 - AUTOMOTORES,94210,,7089631,Denuncia daños materiales,,,,'2021-04-28 13:20:00','2016-10-21 11:31:21','2016-10-21 11:31:21',Resuelto,,
161021-044113,,Incidente importado desde SAC,,Telecobranzas,Usuario Importador,Telemarketing,,,Solucionado,,,,,HOM1 - SEGURO DEL HOGAR,94211,,1774930,Mensaje,,,,'2021-04-28 13:20:00','2016-10-21 11:31:21','2016-10-21 11:31:21',Atendido,,
161021-044114,,Incidente importado desde SAC,,Riesgos Varios Casa Central,Usuario Importador,Telemarketing,,,Solucionado,,,,,HOM1 - SEGURO DEL HOGAR,94212,,3467957,Denuncia Riesgos Varios,,,,'2021-04-28 13:20:00','2016-10-21 11:31:21','2016-10-21 11:31:21',Resuelto,,
161021-044116,,Incidente importado desde SAC,,Daños Materiales Autos,Usuario Importador,Telemarketing,,,Solucionado,,,,,AUS1 - AUTOMOTORES,94214,,6674455,Denuncia daños materiales,,,,'2021-04-28 13:20:00','2016-10-21 11:31:22','2016-10-21 11:31:22',Resuelto,,
