Nº de referencia,Actualizado por,Asunto,Buzón de correo,Cola,Creado por cuenta,Modo de Contacto,UsuarioIntra,Tipo de Incidente,Tipo de estado,Tipo Cobro,Siniestro,Poliza,NroCuenta,ID de producto,ID de incidente,ID de disposición,ID de contacto,ID de categoría,Grupo,FechaEfecto,Fecha de última respuesta,Fecha de última actualización,Fecha de creación,Fecha de cierre,Estado,Cuenta asignada,ID de organización
161021-224160,,Incidente importado desde SAC,,Daños Materiales Autos,Usuario Importador,Telemarketing,,,Solucionado,,,,,AUS1 - AUTOMOTORES,274185,,5591695,Denuncia daños materiales,,,,'2021-04-28 13:20:00','2016-10-21 20:38:24','2016-10-21 20:38:24',Resuelto,,
161021-224161,,Incidente importado desde SAC,,Robo / Destruccion Total,Usuario Importador,Telemarketing,,,Solucionado,,,,,AUT1 - AUTOMOTORES,274186,,6489665,Daños materiales Casa Central,,,,'2021-04-28 13:20:00','2016-10-21 20:38:24','2016-10-21 20:38:24',Resuelto,,
161021-224162,,Incidente importado desde SAC,,Daños Materiales Autos,Usuario Importador,Telemarketing,,,Solucionado,,,,,AUS1 - AUTOMOTORES,274187,,1327669,Denuncia daños materiales,,,,'2021-04-28 13:20:00','2016-10-21 20:38:24','2016-10-21 20:38:24',Resuelto,,
161021-224163,,Incidente importado desde SAC,,Daños Materiales Autos,Usuario Importador,Telemarketing,,,Solucionado,,,,,AUS1 - AUTOMOTORES,274188,,1288672,Denuncia daños materiales,,,,'2021-04-28 13:20:00','2016-10-21 20:38:24','2016-10-21 20:38:24',Resuelto,,
161021-224164,,Incidente importado desde SAC,,Pago Telefonico,Usuario Importador,Telemarketing,,,Solucionado,,,,,HOM1 - SEGURO DEL HOGAR,274189,,5872227,Pago telefónico,,,,'2021-04-28 13:20:00','2016-10-21 20:38:24','2016-10-21 20:38:24',Resuelto,,
161021-224166,,Incidente importado desde SAC,,Daños Materiales Autos,Usuario Importador,Telemarketing,,,Solucionado,,,,,AUS1 - AUTOMOTORES,274191,,1328237,Denuncia daños materiales,,,,'2021-04-28 13:20:00','2016-10-21 20:38:25','2016-10-21 20:38:25',Resuelto,,
161021-224167,,Incidente importado desde SAC,,Daños Materiales Autos,Usuario Importador,Telemarketing,,,Solucionado,,,,,AUS1 - AUTOMOTORES,274192,,3417120,Denuncia daños materiales,,,,'2021-04-28 13:20:00','2016-10-21 20:38:25','2016-10-21 20:38:25',Resuelto,,
161021-224168,,Incidente importado desde SAC,,Daños Materiales Autos,Usuario Importador,Telemarketing,,,Solucionado,,,,,AUS1 - AUTOMOTORES,274193,,3515420,Denuncia daños materiales,,,,'2021-04-28 13:20:00','2016-10-21 20:38:25','2016-10-21 20:38:25',Resuelto,,
161021-224170,,Incidente importado desde SAC,,Daños Materiales Autos,Usuario Importador,Telemarketing,,,Solucionado,,,,,AUS1 - AUTOMOTORES,274195,,409369,Denuncia daños materiales,,,,'2021-04-28 13:20:00','2016-10-21 20:38:25','2016-10-21 20:38:25',Resuelto,,
161021-224171,,Incidente importado desde SAC,,Telecobranzas,Usuario Importador,Telemarketing,,,Solucionado,,,,,AUS1 - AUTOMOTORES,274196,,3453239,Contestador,,,,'2021-04-28 13:20:00','2016-10-21 20:38:25','2016-10-21 20:38:25',Atendido,,
161021-224173,,Incidente importado desde SAC,,Telecobranzas,Usuario Importador,Telemarketing,,,Solucionado,,,,,AUS1 - AUTOMOTORES,274198,,6721044,Mensaje,,,,'2021-04-28 13:20:00','2016-10-21 20:38:25','2016-10-21 20:38:25',Atendido,,
161021-224174,,Incidente importado desde SAC,,Daños Materiales Autos,Usuario Importador,Telemarketing,,,Solucionado,,,,,AUS1 - AUTOMOTORES,274199,,1425077,Denuncia daños materiales,,,,'2021-04-28 13:20:00','2016-10-21 20:38:25','2016-10-21 20:38:25',Resuelto,,
161021-224175,,Incidente importado desde SAC,,Daños Materiales Autos,Usuario Importador,Telemarketing,,,Solucionado,,,,,AUS1 - AUTOMOTORES,274200,,1325740,Denuncia daños materiales,,,,'2021-04-28 13:20:00','2016-10-21 20:38:25','2016-10-21 20:38:25',Resuelto,,
