Nº de referencia,Actualizado por,Asunto,Buzón de correo,Cola,Creado por cuenta,Modo de Contacto,UsuarioIntra,Tipo de Incidente,Tipo de estado,Tipo Cobro,Siniestro,Poliza,NroCuenta,ID de producto,ID de incidente,ID de disposición,ID de contacto,ID de categoría,Grupo,FechaEfecto,Fecha de última respuesta,Fecha de última actualización,Fecha de creación,Fecha de cierre,Estado,Cuenta asignada,ID de organización
161021-124137,,Incidente importado desde SAC,,Telecobranzas,Usuario Importador,Telemarketing,,,Solucionado,,,,,AUS1 - AUTOMOTORES,174185,,3442343,Mensaje,,,,'2021-04-28 13:20:00','2016-10-21 16:16:35','2016-10-21 16:16:35',Atendido,,
161021-124138,,Incidente importado desde SAC,,Telecobranzas,Usuario Importador,Telemarketing,,,Solucionado,,,,,AUS1 - AUTOMOTORES,174186,,5171015,Contestador,,,,'2021-04-28 13:20:00','2016-10-21 16:16:35','2016-10-21 16:16:35',Atendido,,
161021-124139,,Incidente importado desde SAC,,Riesgos Varios Casa Central,Usuario Importador,Telemarketing,,,Solucionado,,,,,HOM1 - SEGURO DEL HOGAR,174187,,2068216,Denuncia Riesgos Varios,,,,'2021-04-28 13:20:00','2016-10-21 16:16:35','2016-10-21 16:16:35',Resuelto,,
161021-124141,,Incidente importado desde SAC,,Daños Materiales Autos,Usuario Importador,Telemarketing,,,Solucionado,,,,,AUS1 - AUTOMOTORES,174189,,7203567,Denuncia daños materiales,,,,'2021-04-28 13:20:00','2016-10-21 16:16:36','2016-10-21 16:16:36',Resuelto,,
161021-124143,,Incidente importado desde SAC,,Robo / Destruccion Total,Usuario Importador,Telemarketing,,,Solucionado,,,,,APL1 - AUTOMOTORES PLANES,174191,,5322010,Robo Total,,,,'2021-04-28 13:20:00','2016-10-21 16:16:36','2016-10-21 16:16:36',Resuelto,,
161021-124144,,Incidente importado desde SAC,,Daños Materiales Autos,Usuario Importador,Telemarketing,,,Solucionado,,,,,AUS1 - AUTOMOTORES,174192,,7306272,Denuncia daños materiales,,,,'2021-04-28 13:20:00','2016-10-21 16:16:36','2016-10-21 16:16:36',Resuelto,,
161021-124147,,Incidente importado desde SAC,,Daños Materiales Autos,Usuario Importador,Telemarketing,,,Solucionado,,,,,AUS1 - AUTOMOTORES,174195,,3141583,Denuncia daños materiales,,,,'2021-04-28 13:20:00','2016-10-21 16:16:37','2016-10-21 16:16:37',Resuelto,,
161021-124148,,Incidente importado desde SAC,,Daños Materiales Autos,Usuario Importador,Telemarketing,,,Solucionado,,,,,AUS1 - AUTOMOTORES,174196,,1021792,Denuncia daños materiales,,,,'2021-04-28 13:20:00','2016-10-21 16:16:37','2016-10-21 16:16:37',Resuelto,,
161021-124150,,Incidente importado desde SAC,,Daños Materiales Autos,Usuario Importador,Telemarketing,,,Solucionado,,,,,AUS1 - AUTOMOTORES,174198,,3511895,Denuncia daños materiales,,,,'2021-04-28 13:20:00','2016-10-21 16:16:37','2016-10-21 16:16:37',Resuelto,,
161021-124151,,Incidente importado desde SAC,,Telecobranzas,Usuario Importador,Telemarketing,,,Solucionado,,,,,AUS1 - AUTOMOTORES,174199,,7031562,No contesta,,,,'2021-04-28 13:20:00','2016-10-21 16:16:37','2016-10-21 16:16:37',Atendido,,
