Nº de referencia,Actualizado por,Asunto,Buzón de correo,Cola,Creado por cuenta,Modo de Contacto,UsuarioIntra,Tipo de Incidente,Tipo de estado,Tipo Cobro,Siniestro,Poliza,NroCuenta,ID de producto,ID de incidente,ID de disposición,ID de contacto,ID de categoría,Grupo,FechaEfecto,Fecha de última respuesta,Fecha de última actualización,Fecha de creación,Fecha de cierre,Estado,Cuenta asignada,ID de organización
161021-094116,,Incidente importado desde SAC,,Drive in San Isidro,Usuario Importador,Telemarketing,,,Solucionado,,,,,AUT1 - AUTOMOTORES,144185,,1299595,Daños materiales drive in San Isidro,,,,'2021-04-28 13:20:00','2016-10-21 14:30:21','2016-10-21 14:30:21',Resuelto,,
161021-094117,,Incidente importado desde SAC,,Daños Materiales Autos,Usuario Importador,Telemarketing,,,Solucionado,,,,,AUS1 - AUTOMOTORES,144186,,1288672,Denuncia daños materiales,,,,'2021-04-28 13:20:00','2016-10-21 14:30:22','2016-10-21 14:30:22',Resuelto,,
161021-094119,,Incidente importado desde SAC,,Cleas,Usuario Importador,Telemarketing,,,Solucionado,,,,,AUS1 - AUTOMOTORES,144188,,5524474,Daños materiales Cleas,,,,'2021-04-28 13:20:00','2016-10-21 14:30:22','2016-10-21 14:30:22',Resuelto,,
161021-094120,,Incidente importado desde SAC,,Daños Materiales Autos,Usuario Importador,Telemarketing,,,Solucionado,,,,,AUS1 - AUTOMOTORES,144189,,1362884,Denuncia daños materiales,,,,'2021-04-28 13:20:00','2016-10-21 14:30:22','2016-10-21 14:30:22',Resuelto,,
161021-094124,,Incidente importado desde SAC,,Daños Materiales Autos,Usuario Importador,Telemarketing,,,Solucionado,,,,,AUS1 - AUTOMOTORES,144193,,1288672,Denuncia daños materiales,,,,'2021-04-28 13:20:00','2016-10-21 14:30:23','2016-10-21 14:30:23',Resuelto,,
161021-094125,,Incidente importado desde SAC,,Daños Materiales Autos,Usuario Importador,Telemarketing,,,Solucionado,,,,,AUS1 - AUTOMOTORES,144194,,2068579,Denuncia daños materiales,,,,'2021-04-28 13:20:00','2016-10-21 14:30:23','2016-10-21 14:30:23',Resuelto,,
161021-094126,,Incidente importado desde SAC,,Emisión Masivos,Usuario Importador,Carta Documento,,,Solucionado,,,,,AUS1 - AUTOMOTORES,144195,,1948603,No califica,,,,'2021-04-28 13:20:00','2016-10-21 14:30:23','2016-10-21 14:30:23',Resuelto,,
161021-094127,,Incidente importado desde SAC,,Daños Materiales Autos,Usuario Importador,Telemarketing,,,Solucionado,,,,,AUS1 - AUTOMOTORES,144196,,5021059,Denuncia daños materiales,,,,'2021-04-28 13:20:00','2016-10-21 14:30:24','2016-10-21 14:30:24',Resuelto,,
161021-094128,,Incidente importado desde SAC,,Daños Materiales Autos,Usuario Importador,Telemarketing,,,Solucionado,,,,,AUS1 - AUTOMOTORES,144197,,3529513,Denuncia daños materiales,,,,'2021-04-28 13:20:00','2016-10-21 14:30:25','2016-10-21 14:30:25',Resuelto,,
161021-094129,,Incidente importado desde SAC,,Riesgos Varios Casa Central,Usuario Importador,Telemarketing,,,Solucionado,,,,,HOM1 - SEGURO DEL HOGAR,144198,,2119184,Denuncia Riesgos Varios,,,,'2021-04-28 13:20:00','2016-10-21 14:30:25','2016-10-21 14:30:25',Resuelto,,
