Nº de referencia,Actualizado por,Asunto,Buzón de correo,Cola,Creado por cuenta,Modo de Contacto,UsuarioIntra,Tipo de Incidente,Tipo de estado,Tipo Cobro,Siniestro,Poliza,NroCuenta,ID de producto,ID de incidente,ID de disposición,ID de contacto,ID de categoría,Grupo,FechaEfecto,Fecha de última respuesta,Fecha de última actualización,Fecha de creación,Fecha de cierre,Estado,Cuenta asignada,ID de organización
161214-049522,,Incidente importado desde SAC,,Pago Telefonico,Usuario Importador,Telemarketing,,,Solucionado,,,,,AUT1 - AUTOMOTORES,994186,,3481583,Pago telefónico,,,,'2021-04-28 13:20:00','2016-12-14 17:32:27','2016-12-14 17:32:27',Resuelto,,
161214-049523,,Incidente importado desde SAC,,Emisión Masivos,Usuario Importador,Telemarketing,,,Solucionado,,,,,AUS1 - AUTOMOTORES,994187,,5355432,Reducción de cobertura,,,,'2021-04-28 13:20:00','2016-12-14 17:32:27','2016-12-14 17:32:27',Resuelto,,
161214-049526,,Incidente importado desde SAC,,Daños Materiales Autos,Usuario Importador,Telemarketing,,,Solucionado,,,,,AUS1 - AUTOMOTORES,994190,,3739115,Denuncia daños materiales,,,,'2021-04-28 13:20:00','2016-12-14 17:32:27','2016-12-14 17:32:27',Resuelto,,
161214-049527,,Incidente importado desde SAC,,Emisión Masivos,Usuario Importador,Especialistas,,,Solucionado,,,,,AUS1 - AUTOMOTORES,994191,,1385001,Venta,,,,'2021-04-28 13:20:00','2016-12-14 17:32:27','2016-12-14 17:32:27',Resuelto,,
161214-049528,,Incidente importado desde SAC,,Pago Telefonico,Usuario Importador,Telemarketing,,,Solucionado,,,,,AUS1 - AUTOMOTORES,994192,,2563726,Pago telefónico,,,,'2021-04-28 13:20:00','2016-12-14 17:32:27','2016-12-14 17:32:27',Resuelto,,
161214-049529,,Incidente importado desde SAC,,Daños Materiales Autos,Usuario Importador,Telemarketing,,,Solucionado,,,,,AUS1 - AUTOMOTORES,994193,,2760001,Denuncia daños materiales,,,,'2021-04-28 13:20:00','2016-12-14 17:32:28','2016-12-14 17:32:28',Resuelto,,
161214-049531,,Incidente importado desde SAC,,Telecobranzas,Usuario Importador,Telemarketing,,,Solucionado,,,,,AUS1 - AUTOMOTORES,994195,,7854240,Sin teléfono/Equivocado,,,,'2021-04-28 13:20:00','2016-12-14 17:32:29','2016-12-14 17:32:29',Atendido,,
161214-049533,,Incidente importado desde SAC,,Pago Telefonico,Usuario Importador,Telemarketing,,,Solucionado,,,,,AUS1 - AUTOMOTORES,994197,,5413462,Pago telefónico,,,,'2021-04-28 13:20:00','2016-12-14 17:32:29','2016-12-14 17:32:29',Resuelto,,
161214-049535,,Incidente importado desde SAC,,Emisión Masivos,Usuario Importador,Carta,,,Solucionado,,,,,AUS1 - AUTOMOTORES,994199,,1787104,Ampliación de Cobertura con inspección,,,,'2021-04-28 13:20:00','2016-12-14 17:32:29','2016-12-14 17:32:29',Resuelto,,
161214-049537,,Incidente importado desde SAC,,Emisión Masivos,Usuario Importador,Especialistas,,,Solucionado,,,,,AUS1 - AUTOMOTORES,994201,,7877538,Venta,,,,'2021-04-28 13:20:00','2016-12-14 17:32:29','2016-12-14 17:32:29',Resuelto,,
