Nº de referencia,Actualizado por,Asunto,Buzón de correo,Cola,Creado por cuenta,Modo de Contacto,UsuarioIntra,Tipo de Incidente,Tipo de estado,Tipo Cobro,Siniestro,Poliza,NroCuenta,ID de producto,ID de incidente,ID de disposición,ID de contacto,ID de categoría,Grupo,FechaEfecto,Fecha de última respuesta,Fecha de última actualización,Fecha de creación,Fecha de cierre,Estado,Cuenta asignada,ID de organización
161021-134142,,Incidente importado desde SAC,,Daños Materiales Autos,Usuario Importador,Telemarketing,,,Solucionado,,,,,AUS1 - AUTOMOTORES,184185,,1097726,Denuncia daños materiales,,,,'2021-04-28 13:20:00','2016-10-21 16:47:56','2016-10-21 16:47:56',Resuelto,,
161021-134143,,Incidente importado desde SAC,,Daños Materiales Autos,Usuario Importador,Telemarketing,,,Solucionado,,,,,AUS1 - AUTOMOTORES,184186,,2884803,Denuncia daños materiales,,,,'2021-04-28 13:20:00','2016-10-21 16:47:56','2016-10-21 16:47:56',Resuelto,,
161021-134145,,Incidente importado desde SAC,,Daños Materiales Autos,Usuario Importador,Telemarketing,,,Solucionado,,,,,AUS1 - AUTOMOTORES,184188,,7807702,Denuncia daños materiales,,,,'2021-04-28 13:20:00','2016-10-21 16:47:57','2016-10-21 16:47:57',Resuelto,,
161021-134146,,Incidente importado desde SAC,,Mailing,Usuario Importador,Telemarketing,,,Solucionado,,,,,AUS1 - AUTOMOTORES,184189,,1005126,Certificado de cobertura,,,,'2021-04-28 13:20:00','2016-10-21 16:47:57','2016-10-21 16:47:57',Atendido,,
161021-134147,,Incidente importado desde SAC,,Telecobranzas,Usuario Importador,Telemarketing,,,Solucionado,,,,,HOM1 - SEGURO DEL HOGAR,184190,,1348387,No contesta,,,,'2021-04-28 13:20:00','2016-10-21 16:47:58','2016-10-21 16:47:58',Atendido,,
161021-134148,,Incidente importado desde SAC,,Telecobranzas,Usuario Importador,Telemarketing,,,Solucionado,,,,,AUS1 - AUTOMOTORES,184191,,6939957,Contestador,,,,'2021-04-28 13:20:00','2016-10-21 16:47:58','2016-10-21 16:47:58',Atendido,,
161021-134149,,Incidente importado desde SAC,,Telecobranzas,Usuario Importador,Telemarketing,,,Solucionado,,,,,AUS1 - AUTOMOTORES,184192,,3442154,Contestador,,,,'2021-04-28 13:20:00','2016-10-21 16:47:59','2016-10-21 16:47:59',Atendido,,
161021-134150,,Incidente importado desde SAC,,Cac,Usuario Importador,Telemarketing,,,Solucionado,,,,,APR1 - AUTOMOTORES,184193,,5322720,Endosos CAC,,,,'2021-04-28 13:20:00','2016-10-21 16:47:59','2016-10-21 16:47:59',Resuelto,,
161021-134151,,Incidente importado desde SAC,,Daños Materiales Autos,Usuario Importador,Telemarketing,,,Solucionado,,,,,AUS1 - AUTOMOTORES,184194,,1332331,Denuncia daños materiales,,,,'2021-04-28 13:20:00','2016-10-21 16:47:59','2016-10-21 16:47:59',Resuelto,,
161021-134152,,Incidente importado desde SAC,,Daños Materiales Autos,Usuario Importador,Telemarketing,,,Solucionado,,,,,AUS1 - AUTOMOTORES,184195,,7334471,Daños materiales Casa Central,,,,'2021-04-28 13:20:00','2016-10-21 16:48:01','2016-10-21 16:48:01',Resuelto,,
161021-134153,,Incidente importado desde SAC,,Pago Telefonico,Usuario Importador,Telemarketing,,,Solucionado,,,,,AUS1 - AUTOMOTORES,184196,,3526271,Pago telefónico,,,,'2021-04-28 13:20:00','2016-10-21 16:48:01','2016-10-21 16:48:01',Resuelto,,
161021-134155,,Incidente importado desde SAC,,Daños Materiales Autos,Usuario Importador,Telemarketing,,,Solucionado,,,,,AUS1 - AUTOMOTORES,184198,,1421265,Denuncia daños materiales,,,,'2021-04-28 13:20:00','2016-10-21 16:48:01','2016-10-21 16:48:01',Resuelto,,
161021-134156,,Incidente importado desde SAC,,Daños Materiales Autos,Usuario Importador,Telemarketing,,,Solucionado,,,,,AUS1 - AUTOMOTORES,184199,,6963012,Denuncia daños materiales,,,,'2021-04-28 13:20:00','2016-10-21 16:48:01','2016-10-21 16:48:01',Resuelto,,
161021-134157,,Incidente importado desde SAC,,Daños Materiales Autos,Usuario Importador,Telemarketing,,,Solucionado,,,,,AUS1 - AUTOMOTORES,184200,,1835956,Denuncia daños materiales,,,,'2021-04-28 13:20:00','2016-10-21 16:48:02','2016-10-21 16:48:02',Resuelto,,
161021-134159,,Incidente importado desde SAC,,Riesgos Varios Casa Central,Usuario Importador,Telemarketing,,,Solucionado,,,,,HOM1 - SEGURO DEL HOGAR,184202,,2774702,Denuncia Riesgos Varios,,,,'2021-04-28 13:20:00','2016-10-21 16:48:02','2016-10-21 16:48:02',Resuelto,,
161021-134160,,Incidente importado desde SAC,,Daños Materiales Autos,Usuario Importador,Telemarketing,,,Solucionado,,,,,AUS1 - AUTOMOTORES,184203,,1532713,Denuncia daños materiales,,,,'2021-04-28 13:20:00','2016-10-21 16:48:02','2016-10-21 16:48:02',Resuelto,,
161021-134161,,Incidente importado desde SAC,,Daños Materiales Autos,Usuario Importador,Telemarketing,,,Solucionado,,,,,AUS1 - AUTOMOTORES,184204,,3249273,Denuncia daños materiales,,,,'2021-04-28 13:20:00','2016-10-21 16:48:02','2016-10-21 16:48:02',Resuelto,,
161021-134162,,Incidente importado desde SAC,,Daños Materiales Autos,Usuario Importador,Telemarketing,,,Solucionado,,,,,AUS1 - AUTOMOTORES,184205,,2505530,Denuncia daños materiales,,,,'2021-04-28 13:20:00','2016-10-21 16:48:03','2016-10-21 16:48:03',Resuelto,,
161021-134164,,Incidente importado desde SAC,,Riesgos Varios Casa Central,Usuario Importador,Telemarketing,,,Solucionado,,,,,HOM1 - SEGURO DEL HOGAR,184207,,4036270,Denuncia Riesgos Varios,,,,'2021-04-28 13:20:00','2016-10-21 16:48:03','2016-10-21 16:48:03',Resuelto,,
