Nº de referencia,Actualizado por,Asunto,Buzón de correo,Cola,Creado por cuenta,Modo de Contacto,UsuarioIntra,Tipo de Incidente,Tipo de estado,Tipo Cobro,Siniestro,Poliza,NroCuenta,ID de producto,ID de incidente,ID de disposición,ID de contacto,ID de categoría,Grupo,FechaEfecto,Fecha de última respuesta,Fecha de última actualización,Fecha de creación,Fecha de cierre,Estado,Cuenta asignada,ID de organización
170728-009360,,,,Riesgos Varios Casa Central,Gisele Ares,Llamada entrante,,,Solucionado,,,173700,,PRI1 - PROTECCION INTEGRAL GENERAL,1653819,,3413950,Riesgos Varios Casa Central,,,'2017-07-31 16:14:47','2021-04-28 13:20:00','2017-07-28 00:41:25','2017-07-31 16:14:47',Resuelto,,
170728-000311,,Consulta,Contactenos Patrimoniales,,,,,,Solucionado,,,,,Seguros Todos,1644288,,138865,Acción de Marketing,Administradores,,,'2018-01-02 11:32:33','2017-07-28 00:10:44','2017-07-28 00:10:44',Resuelto,Leonardo Villalba,
170728-000567,,Consulta,Contactenos Patrimoniales,,,,,,Solucionado,,,,,Seguros Todos,1644544,,153454,Acción de Marketing,Administradores,,,'2018-01-02 11:32:33','2017-07-28 00:11:33','2017-07-28 00:11:33',Resuelto,Leonardo Villalba,
170728-000823,,Consulta,Contactenos Patrimoniales,,,,,,Solucionado,,,,,Seguros Todos,1644800,,167050,Acción de Marketing,Administradores,,,'2018-01-02 11:32:33','2017-07-28 00:12:20','2017-07-28 00:12:20',Resuelto,Leonardo Villalba,
170728-001079,,Consulta,Contactenos Patrimoniales,,,,,,Solucionado,,,,,Seguros Todos,1645056,,185986,Acción de Marketing,Administradores,,,'2018-01-02 11:32:33','2017-07-28 00:13:06','2017-07-28 00:13:06',Resuelto,Leonardo Villalba,
170728-001335,,Consulta,Contactenos Patrimoniales,,,,,,Solucionado,,,,,Seguros Todos,1645312,,198912,Acción de Marketing,Administradores,,,'2018-01-02 11:32:33','2017-07-28 00:13:54','2017-07-28 00:13:54',Resuelto,Leonardo Villalba,
170728-001591,,Consulta,Contactenos Patrimoniales,,,,,,Solucionado,,,,,Seguros Todos,1645568,,212712,Acción de Marketing,Administradores,,,'2018-01-02 11:32:33','2017-07-28 00:14:42','2017-07-28 00:14:42',Resuelto,Leonardo Villalba,
170728-001847,,Consulta,Contactenos Patrimoniales,,,,,,Solucionado,,,,,Seguros Todos,1645824,,229180,Acción de Marketing,Administradores,,,'2018-01-02 11:32:33','2017-07-28 00:15:32','2017-07-28 00:15:32',Resuelto,Leonardo Villalba,
170728-002103,,Consulta,Contactenos Patrimoniales,,,,,,Solucionado,,,,,Seguros Todos,1646080,,242397,Acción de Marketing,Administradores,,,'2018-01-02 11:32:33','2017-07-28 00:16:33','2017-07-28 00:16:33',Resuelto,Leonardo Villalba,
170728-002359,,Consulta,Contactenos Patrimoniales,,,,,,Solucionado,,,,,Seguros Todos,1646336,,255358,Acción de Marketing,Administradores,,,'2018-01-02 11:32:33','2017-07-28 00:17:15','2017-07-28 00:17:15',Resuelto,Leonardo Villalba,
170728-002615,,Consulta,Contactenos Patrimoniales,,,,,,Solucionado,,,,,Seguros Todos,1646592,,267262,Acción de Marketing,Administradores,,,'2018-01-02 11:32:33','2017-07-28 00:18:35','2017-07-28 00:18:35',Resuelto,Leonardo Villalba,
170728-002871,,Consulta,Contactenos Patrimoniales,,,,,,Solucionado,,,,,Seguros Todos,1646848,,280941,Acción de Marketing,Administradores,,,'2018-01-02 11:32:33','2017-07-28 00:19:21','2017-07-28 00:19:21',Resuelto,Leonardo Villalba,
170728-003127,,Consulta,Contactenos Patrimoniales,,,,,,Solucionado,,,,,Seguros Todos,1647104,,292359,Acción de Marketing,Administradores,,,'2018-01-02 11:32:33','2017-07-28 00:20:05','2017-07-28 00:20:05',Resuelto,Leonardo Villalba,
170728-003383,,Consulta,Contactenos Patrimoniales,,,,,,Solucionado,,,,,Seguros Todos,1647360,,304329,Acción de Marketing,Administradores,,,'2018-01-02 11:32:33','2017-07-28 00:20:49','2017-07-28 00:20:49',Resuelto,Leonardo Villalba,
170728-003639,,Consulta,Contactenos Patrimoniales,,,,,,Solucionado,,,,,Seguros Todos,1647616,,316937,Acción de Marketing,Administradores,,,'2018-01-02 11:32:33','2017-07-28 00:21:37','2017-07-28 00:21:37',Resuelto,Leonardo Villalba,
170728-003895,,Consulta,Contactenos Patrimoniales,,,,,,Solucionado,,,,,Seguros Todos,1647872,,328764,Acción de Marketing,Administradores,,,'2018-01-02 11:32:33','2017-07-28 00:22:21','2017-07-28 00:22:21',Resuelto,Leonardo Villalba,
170728-004151,,Consulta,Contactenos Patrimoniales,,,,,,Solucionado,,,,,Seguros Todos,1648128,,341762,Acción de Marketing,Administradores,,,'2018-01-02 11:32:33','2017-07-28 00:23:19','2017-07-28 00:23:19',Resuelto,Leonardo Villalba,
170728-004407,,Consulta,Contactenos Patrimoniales,,,,,,Solucionado,,,,,Seguros Todos,1648384,,354166,Acción de Marketing,Administradores,,,'2018-01-02 11:32:33','2017-07-28 00:24:04','2017-07-28 00:24:04',Resuelto,Leonardo Villalba,
170728-004663,,Consulta,Contactenos Patrimoniales,,,,,,Solucionado,,,,,Seguros Todos,1648640,,367679,Acción de Marketing,Administradores,,,'2018-01-02 11:32:33','2017-07-28 00:24:49','2017-07-28 00:24:49',Resuelto,Leonardo Villalba,
170728-004919,,Consulta,Contactenos Patrimoniales,,,,,,Solucionado,,,,,Seguros Todos,1648896,,378365,Acción de Marketing,Administradores,,,'2018-01-02 11:32:33','2017-07-28 00:25:35','2017-07-28 00:25:35',Resuelto,Leonardo Villalba,
