Nº de referencia,Actualizado por,Asunto,Buzón de correo,Cola,Creado por cuenta,Modo de Contacto,UsuarioIntra,Tipo de Incidente,Tipo de estado,Tipo Cobro,Siniestro,Poliza,NroCuenta,ID de producto,ID de incidente,ID de disposición,ID de contacto,ID de categoría,Grupo,FechaEfecto,Fecha de última respuesta,Fecha de última actualización,Fecha de creación,Fecha de cierre,Estado,Cuenta asignada,ID de organización
170728-070455,,Consulta,Contactenos Patrimoniales,,,,,,Solucionado,,,,,Seguros Todos,1714432,,3445612,Acción de Marketing,Administradores,,,'2018-01-02 11:32:33','2017-07-28 03:54:44','2017-07-28 03:54:44',Resuelto,Leonardo Villalba,
170728-070711,,Consulta,Contactenos Patrimoniales,,,,,,Solucionado,,,,,Seguros Todos,1714688,,3448045,Acción de Marketing,Administradores,,,'2018-01-02 11:32:33','2017-07-28 03:55:27','2017-07-28 03:55:27',Resuelto,Leonardo Villalba,
170728-070967,,Consulta,Contactenos Patrimoniales,,,,,,Solucionado,,,,,Seguros Todos,1714944,,3450585,Acción de Marketing,Administradores,,,'2018-01-02 11:32:33','2017-07-28 03:56:09','2017-07-28 03:56:09',Resuelto,Leonardo Villalba,
170728-071223,,Consulta,Contactenos Patrimoniales,,,,,,Solucionado,,,,,Seguros Todos,1715200,,3452652,Acción de Marketing,Administradores,,,'2018-01-02 11:32:33','2017-07-28 03:56:52','2017-07-28 03:56:52',Resuelto,Leonardo Villalba,
170728-071479,,Consulta,Contactenos Patrimoniales,,,,,,Solucionado,,,,,Seguros Todos,1715456,,3454768,Acción de Marketing,Administradores,,,'2018-01-02 11:32:33','2017-07-28 03:57:48','2017-07-28 03:57:48',Resuelto,Leonardo Villalba,
170728-071735,,Consulta,Contactenos Patrimoniales,,,,,,Solucionado,,,,,Seguros Todos,1715712,,3456721,Acción de Marketing,Administradores,,,'2018-01-02 11:32:33','2017-07-28 03:58:33','2017-07-28 03:58:33',Resuelto,Leonardo Villalba,
170728-071991,,Consulta,Contactenos Patrimoniales,,,,,,Solucionado,,,,,Seguros Todos,1715968,,3458917,Acción de Marketing,Administradores,,,'2018-01-02 11:32:33','2017-07-28 03:59:19','2017-07-28 03:59:19',Resuelto,Leonardo Villalba,
170728-072247,,Consulta,Contactenos Patrimoniales,,,,,,Solucionado,,,,,Seguros Todos,1716224,,3460421,Acción de Marketing,Administradores,,,'2018-01-02 11:32:33','2017-07-28 04:00:03','2017-07-28 04:00:03',Resuelto,Leonardo Villalba,
170728-072503,,Consulta,Contactenos Patrimoniales,,,,,,Solucionado,,,,,Seguros Todos,1716480,,3464019,Acción de Marketing,Administradores,,,'2018-01-02 11:32:33','2017-07-28 04:00:49','2017-07-28 04:00:49',Resuelto,Leonardo Villalba,
170728-072759,,Consulta,Contactenos Patrimoniales,,,,,,Solucionado,,,,,Seguros Todos,1716736,,3468385,Acción de Marketing,Administradores,,,'2018-01-02 11:32:33','2017-07-28 04:01:31','2017-07-28 04:01:31',Resuelto,Leonardo Villalba,
170728-073015,,Consulta,Contactenos Patrimoniales,,,,,,Solucionado,,,,,Seguros Todos,1716992,,3472504,Acción de Marketing,Administradores,,,'2018-01-02 11:32:33','2017-07-28 04:02:19','2017-07-28 04:02:19',Resuelto,Leonardo Villalba,
170728-073271,,Consulta,Contactenos Patrimoniales,,,,,,Solucionado,,,,,Seguros Todos,1717248,,3476765,Acción de Marketing,Administradores,,,'2018-01-02 11:32:33','2017-07-28 04:03:10','2017-07-28 04:03:10',Resuelto,Leonardo Villalba,
170728-073527,,Consulta,Contactenos Patrimoniales,,,,,,Solucionado,,,,,Seguros Todos,1717504,,3480548,Acción de Marketing,Administradores,,,'2018-01-02 11:32:33','2017-07-28 04:04:10','2017-07-28 04:04:10',Resuelto,Leonardo Villalba,
170728-073783,,Consulta,Contactenos Patrimoniales,,,,,,Solucionado,,,,,Seguros Todos,1717760,,3484798,Acción de Marketing,Administradores,,,'2018-01-02 11:32:33','2017-07-28 04:04:52','2017-07-28 04:04:52',Resuelto,Leonardo Villalba,
170728-074039,,Consulta,Contactenos Patrimoniales,,,,,,Solucionado,,,,,Seguros Todos,1718016,,3486827,Acción de Marketing,Administradores,,,'2018-01-02 11:32:33','2017-07-28 04:05:34','2017-07-28 04:05:34',Resuelto,Leonardo Villalba,
