Nº de referencia,Actualizado por,Asunto,Buzón de correo,Cola,Creado por cuenta,Modo de Contacto,UsuarioIntra,Tipo de Incidente,Tipo de estado,Tipo Cobro,Siniestro,Poliza,NroCuenta,ID de producto,ID de incidente,ID de disposición,ID de contacto,ID de categoría,Grupo,FechaEfecto,Fecha de última respuesta,Fecha de última actualización,Fecha de creación,Fecha de cierre,Estado,Cuenta asignada,ID de organización
161021-024059,,Incidente importado desde SAC,,Daños Materiales Autos,Usuario Importador,Telemarketing,,,Solucionado,,,,,AUS1 - AUTOMOTORES,74185,,5759279,Denuncia daños materiales,,,,'2021-04-28 13:20:00','2016-10-21 09:51:18','2016-10-21 09:51:18',Resuelto,,
161021-024060,,Incidente importado desde SAC,,Daños Materiales Autos,Usuario Importador,Telemarketing,,,Solucionado,,,,,AUS1 - AUTOMOTORES,74186,,3727360,Denuncia daños materiales,,,,'2021-04-28 13:20:00','2016-10-21 09:51:18','2016-10-21 09:51:18',Resuelto,,
161021-024061,,Incidente importado desde SAC,,Pago Telefonico,Usuario Importador,Telemarketing,,,Solucionado,,,,,AUS1 - AUTOMOTORES,74187,,4765102,Pago telefónico,,,,'2021-04-28 13:20:00','2016-10-21 09:51:18','2016-10-21 09:51:18',Resuelto,,
161021-024062,,Incidente importado desde SAC,,Telecobranzas,Usuario Importador,Telemarketing,,,Solucionado,,,,,AUI1 - AUTOMOTORES INSTITUCIONES,74188,,1790469,Sin teléfono/Equivocado,,,,'2021-04-28 13:20:00','2016-10-21 09:51:18','2016-10-21 09:51:18',Atendido,,
161021-024064,,Incidente importado desde SAC,,Riesgos Varios Casa Central,Usuario Importador,Telemarketing,,,Solucionado,,,,,HOM1 - SEGURO DEL HOGAR,74190,,4481677,Denuncia Riesgos Varios,,,,'2021-04-28 13:20:00','2016-10-21 09:51:19','2016-10-21 09:51:19',Resuelto,,
161021-024066,,Incidente importado desde SAC,,Daños Materiales Autos,Usuario Importador,Telemarketing,,,Solucionado,,,,,AUS1 - AUTOMOTORES,74192,,2535592,Denuncia daños materiales,,,,'2021-04-28 13:20:00','2016-10-21 09:51:19','2016-10-21 09:51:19',Resuelto,,
161021-024072,,Incidente importado desde SAC,,Daños Materiales Autos,Usuario Importador,Telemarketing,,,Solucionado,,,,,AUS1 - AUTOMOTORES,74198,,7369046,Denuncia daños materiales,,,,'2021-04-28 13:20:00','2016-10-21 09:51:23','2016-10-21 09:51:23',Resuelto,,
161021-024076,,Incidente importado desde SAC,,Daños Materiales Autos,Usuario Importador,Telemarketing,,,Solucionado,,,,,AUS1 - AUTOMOTORES,74202,,7661063,Denuncia daños materiales,,,,'2021-04-28 13:20:00','2016-10-21 09:51:23','2016-10-21 09:51:23',Resuelto,,
161021-024077,,Incidente importado desde SAC,,Riesgos Varios Casa Central,Usuario Importador,Telemarketing,,,Solucionado,,,,,HOM1 - SEGURO DEL HOGAR,74203,,369122,Denuncia Riesgos Varios,,,,'2021-04-28 13:20:00','2016-10-21 09:51:23','2016-10-21 09:51:23',Resuelto,,
161021-024078,,Incidente importado desde SAC,,Cac,Usuario Importador,Telemarketing,,,Solucionado,,,,,AUI1 - AUTOMOTORES INSTITUCIONES,74204,,2809144,Documentación para enviar por fax/email,,,,'2021-04-28 13:20:00','2016-10-21 09:51:23','2016-10-21 09:51:23',Resuelto,,
161021-024079,,Incidente importado desde SAC,,Pago Telefonico,Usuario Importador,Telemarketing,,,Solucionado,,,,,AUS1 - AUTOMOTORES,74205,,6216608,Pago telefónico,,,,'2021-04-28 13:20:00','2016-10-21 09:51:23','2016-10-21 09:51:23',Resuelto,,
161021-024080,,Incidente importado desde SAC,,Daños Materiales Autos,Usuario Importador,Telemarketing,,,Solucionado,,,,,AUS1 - AUTOMOTORES,74206,,2677618,Denuncia daños materiales,,,,'2021-04-28 13:20:00','2016-10-21 09:51:23','2016-10-21 09:51:23',Resuelto,,
