Nº de referencia,Actualizado por,Asunto,Buzón de correo,Cola,Creado por cuenta,Modo de Contacto,UsuarioIntra,Tipo de Incidente,Tipo de estado,Tipo Cobro,Siniestro,Poliza,NroCuenta,ID de producto,ID de incidente,ID de disposición,ID de contacto,ID de categoría,Grupo,FechaEfecto,Fecha de última respuesta,Fecha de última actualización,Fecha de creación,Fecha de cierre,Estado,Cuenta asignada,ID de organización
161214-029505,,Incidente importado desde SAC,,Telecobranzas,Usuario Importador,Telemarketing,,,Solucionado,,,,,AUS1 - AUTOMOTORES,974185,,6667984,Reenvío al cobro,,,,'2021-04-28 13:20:00','2016-12-14 15:59:22','2016-12-14 15:59:22',Resuelto,,
161214-029506,,Incidente importado desde SAC,,Drive in Centro,Usuario Importador,Telemarketing,,,Solucionado,,,,,AUS1 - AUTOMOTORES,974186,,3618712,Daños materiales drive In Centro,,,,'2021-04-28 13:20:00','2016-12-14 15:59:22','2016-12-14 15:59:22',Resuelto,,
161214-029507,,Incidente importado desde SAC,,Emisión Masivos,Usuario Importador,Telemarketing,,,Solucionado,,,,,AUS1 - AUTOMOTORES,974187,,1149235,4 cuotas con un descuento del 25 %,,,,'2021-04-28 13:20:00','2016-12-14 15:59:22','2016-12-14 15:59:22',Resuelto,,
161214-029509,,Incidente importado desde SAC,,Daños Materiales Autos,Usuario Importador,Telemarketing,,,Solucionado,,,,,AUS1 - AUTOMOTORES,974189,,2864379,Denuncia daños materiales,,,,'2021-04-28 13:20:00','2016-12-14 15:59:22','2016-12-14 15:59:22',Resuelto,,
161214-029510,,Incidente importado desde SAC,,Daños Materiales Autos,Usuario Importador,Telemarketing,,,Solucionado,,,,,AUS1 - AUTOMOTORES,974190,,5710094,Denuncia daños materiales,,,,'2021-04-28 13:20:00','2016-12-14 15:59:23','2016-12-14 15:59:23',Resuelto,,
161214-029511,,Incidente importado desde SAC,,Emisión Masivos,Usuario Importador,Carta Documento,,,Solucionado,,,,,AUS1 - AUTOMOTORES,974191,,412797,No califica,,,,'2021-04-28 13:20:00','2016-12-14 15:59:23','2016-12-14 15:59:23',Resuelto,,
161214-029514,,Incidente importado desde SAC,,Emisión Masivos,Usuario Importador,Telemarketing,,,Solucionado,,,,,AUS1 - AUTOMOTORES,974194,,334499,Baja de póliza,,,,'2021-04-28 13:20:00','2016-12-14 15:59:23','2016-12-14 15:59:23',Resuelto,,
161214-029517,,Incidente importado desde SAC,,Riesgos Varios Casa Central,Usuario Importador,Telemarketing,,,Solucionado,,,,,HOM1 - SEGURO DEL HOGAR,974197,,5919763,Riesgos Varios Casa Central,,,,'2021-04-28 13:20:00','2016-12-14 15:59:23','2016-12-14 15:59:23',Resuelto,,
161214-029519,,Incidente importado desde SAC,,Daños Materiales Autos,Usuario Importador,Telemarketing,,,Solucionado,,,,,AUS1 - AUTOMOTORES,974199,,3143536,Denuncia daños materiales,,,,'2021-04-28 13:20:00','2016-12-14 15:59:24','2016-12-14 15:59:24',Resuelto,,
161214-029520,,Incidente importado desde SAC,,Daños Materiales Autos,Usuario Importador,Telemarketing,,,Solucionado,,,,,AUS1 - AUTOMOTORES,974200,,1322999,Denuncia daños materiales,,,,'2021-04-28 13:20:00','2016-12-14 15:59:24','2016-12-14 15:59:24',Resuelto,,
161214-029522,,Incidente importado desde SAC,,Emisión Masivos,Usuario Importador,Canal productor,,,Solucionado,,,,,AUS1 - AUTOMOTORES,974202,,422134,Venta,,,,'2021-04-28 13:20:00','2016-12-14 15:59:25','2016-12-14 15:59:25',Resuelto,,
161214-029524,,Incidente importado desde SAC,,Telecobranzas,Usuario Importador,Telemarketing,,,Solucionado,,,,,AUS1 - AUTOMOTORES,974203,,3149192,Mensaje,,,,'2021-04-28 13:20:00','2016-12-14 15:59:25','2016-12-14 15:59:25',Atendido,,
161214-029525,,Incidente importado desde SAC,,Especialistas,Usuario Importador,Especialistas,,,Solucionado,,,,,AUS1 - AUTOMOTORES,974204,,1303185,No califica,,,,'2021-04-28 13:20:00','2016-12-14 15:59:25','2016-12-14 15:59:25',Resuelto,,
161214-029526,,Incidente importado desde SAC,,Daños Materiales Autos,Usuario Importador,Telemarketing,,,Solucionado,,,,,AUS1 - AUTOMOTORES,974205,,1326842,Denuncia daños materiales,,,,'2021-04-28 13:20:00','2016-12-14 15:59:25','2016-12-14 15:59:25',Resuelto,,
161214-029530,,Incidente importado desde SAC,,,Usuario Importador,Telemarketing,,,Solucionado,,,,,AUS1 - AUTOMOTORES,974209,,1929941,Cliente para retención,,,,'2021-04-28 13:20:00','2016-12-14 15:59:25','2016-12-14 15:59:25',Atendido,,
161214-029533,,Incidente importado desde SAC,,Riesgos Varios Casa Central,Usuario Importador,Telemarketing,,,Solucionado,,,,,HOM1 - SEGURO DEL HOGAR,974211,,6554341,Riesgos Varios Casa Central,,,,'2021-04-28 13:20:00','2016-12-14 15:59:27','2016-12-14 15:59:27',Resuelto,,
161214-029534,,Incidente importado desde SAC,,Telecobranzas,Usuario Importador,Telemarketing,,,Solucionado,,,,,HOM1 - SEGURO DEL HOGAR,974212,,7090767,Sin teléfono/Equivocado,,,,'2021-04-28 13:20:00','2016-12-14 15:59:27','2016-12-14 15:59:27',Atendido,,
161214-029535,,Incidente importado desde SAC,,Emisión Masivos,Usuario Importador,Telemarketing,,,Solucionado,,,,,AUS1 - AUTOMOTORES,974213,,549001,4 cuotas con un descuento del 25 %,,,,'2021-04-28 13:20:00','2016-12-14 15:59:27','2016-12-14 15:59:27',Resuelto,,
161214-029537,,Incidente importado desde SAC,,Emisión Masivos,Usuario Importador,Carta,,,Solucionado,,,,,APL1 - AUTOMOTORES PLANES,974215,,6222988,Baja de póliza,,,,'2021-04-28 13:20:00','2016-12-14 15:59:27','2016-12-14 15:59:27',Resuelto,,
161214-029538,,Incidente importado desde SAC,,Daños Materiales Autos,Usuario Importador,Telemarketing,,,Solucionado,,,,,AUS1 - AUTOMOTORES,974216,,3453443,Denuncia daños materiales,,,,'2021-04-28 13:20:00','2016-12-14 15:59:27','2016-12-14 15:59:27',Resuelto,,
161214-029540,,Incidente importado desde SAC,,Daños Materiales Autos,Usuario Importador,Telemarketing,,,Solucionado,,,,,AUS1 - AUTOMOTORES,974218,,1871401,Denuncia daños materiales,,,,'2021-04-28 13:20:00','2016-12-14 15:59:27','2016-12-14 15:59:27',Resuelto,,
161214-029541,,Incidente importado desde SAC,,Riesgos Varios Casa Central,Usuario Importador,Telemarketing,,,Solucionado,,,,,HOM1 - SEGURO DEL HOGAR,974219,,524721,Denuncia Riesgos Varios,,,,'2021-04-28 13:20:00','2016-12-14 15:59:27','2016-12-14 15:59:27',Resuelto,,
161214-029542,,Incidente importado desde SAC,,,Usuario Importador,Telemarketing,,,Solucionado,,,,,AUS1 - AUTOMOTORES,974220,,2551823,Cliente para retención,,,,'2021-04-28 13:20:00','2016-12-14 15:59:27','2016-12-14 15:59:27',Atendido,,
161214-029543,,Incidente importado desde SAC,,Emisión Masivos,Usuario Importador,Telemarketing,,,Solucionado,,,,,APR1 - AUTOMOTORES,974221,,2614920,Modificaciones datos del producto,,,,'2021-04-28 13:20:00','2016-12-14 15:59:28','2016-12-14 15:59:28',Resuelto,,
161214-029545,,Incidente importado desde SAC,,Emisión Masivos,Usuario Importador,Telemarketing,,,Solucionado,,,,,HOM1 - SEGURO DEL HOGAR,974223,,6218933,Cambio de productor,,,,'2021-04-28 13:20:00','2016-12-14 15:59:28','2016-12-14 15:59:28',No Procedente,,
161214-029546,,Incidente importado desde SAC,,Pago Telefonico,Usuario Importador,Telemarketing,,,Solucionado,,,,,AUS1 - AUTOMOTORES,974224,,1733777,Pago telefónico,,,,'2021-04-28 13:20:00','2016-12-14 15:59:28','2016-12-14 15:59:28',Resuelto,,
161214-029547,,Incidente importado desde SAC,,Emisión Masivos,Usuario Importador,Telemarketing,,,Solucionado,,,,,APR1 - AUTOMOTORES,974225,,3217428,Inclusión de GNC,,,,'2021-04-28 13:20:00','2016-12-14 15:59:29','2016-12-14 15:59:29',Resuelto,,
161214-029548,,Incidente importado desde SAC,,Emisión Masivos,Usuario Importador,Carta Documento,,,Solucionado,,,,,AUS1 - AUTOMOTORES,974226,,7880864,Modificaciones datos del producto,,,,'2021-04-28 13:20:00','2016-12-14 15:59:29','2016-12-14 15:59:29',No Procedente,,
161214-029549,,Incidente importado desde SAC,,Daños Materiales Autos,Usuario Importador,Telemarketing,,,Solucionado,,,,,AUS1 - AUTOMOTORES,974227,,3521279,Denuncia daños materiales,,,,'2021-04-28 13:20:00','2016-12-14 15:59:29','2016-12-14 15:59:29',Resuelto,,
