Nº de referencia,Actualizado por,Asunto,Buzón de correo,Cola,Creado por cuenta,Modo de Contacto,UsuarioIntra,Tipo de Incidente,Tipo de estado,Tipo Cobro,Siniestro,Poliza,NroCuenta,ID de producto,ID de incidente,ID de disposición,ID de contacto,ID de categoría,Grupo,FechaEfecto,Fecha de última respuesta,Fecha de última actualización,Fecha de creación,Fecha de cierre,Estado,Cuenta asignada,ID de organización
161021-004031,,Incidente importado desde SAC,,Cac,Usuario Importador,Telemarketing,,,Solucionado,,,,,HOM1 - SEGURO DEL HOGAR,54185,,6952213,Endosos CAC,,,,'2021-04-28 13:20:00','2016-10-21 08:45:27','2016-10-21 08:45:27',Atendido,,
161021-004032,,Incidente importado desde SAC,,Daños Materiales Autos,Usuario Importador,Telemarketing,,,Solucionado,,,,,AUS1 - AUTOMOTORES,54186,,2450506,Denuncia daños materiales,,,,'2021-04-28 13:20:00','2016-10-21 08:45:27','2016-10-21 08:45:27',Resuelto,,
161021-004033,,Incidente importado desde SAC,,Pago Telefonico,Usuario Importador,Telemarketing,,,Solucionado,,,,,ICO1 - INTEGR.COMERCIO,54187,,2578999,Pago telefónico,,,,'2021-04-28 13:20:00','2016-10-21 08:45:27','2016-10-21 08:45:27',Resuelto,,
161021-004036,,Incidente importado desde SAC,,Telecobranzas,Usuario Importador,Telemarketing,,,Solucionado,,,,,AUS1 - AUTOMOTORES,54190,,542800,Ocupado,,,,'2021-04-28 13:20:00','2016-10-21 08:45:28','2016-10-21 08:45:28',Atendido,,
161021-004038,,Incidente importado desde SAC,,Daños Materiales Autos,Usuario Importador,Telemarketing,,,Solucionado,,,,,AUS1 - AUTOMOTORES,54192,,5831625,Denuncia daños materiales,,,,'2021-04-28 13:20:00','2016-10-21 08:45:28','2016-10-21 08:45:28',Resuelto,,
161021-004039,,Incidente importado desde SAC,,Daños Materiales Autos,Usuario Importador,Telemarketing,,,Solucionado,,,,,AUS1 - AUTOMOTORES,54193,,4256956,Denuncia daños materiales,,,,'2021-04-28 13:20:00','2016-10-21 08:45:28','2016-10-21 08:45:28',Resuelto,,
161021-004040,,Incidente importado desde SAC,,Daños Materiales Autos,Usuario Importador,Telemarketing,,,Solucionado,,,,,AUS1 - AUTOMOTORES,54194,,1425077,Denuncia daños materiales,,,,'2021-04-28 13:20:00','2016-10-21 08:45:28','2016-10-21 08:45:28',Resuelto,,
161021-004043,,Incidente importado desde SAC,,Daños Materiales Autos,Usuario Importador,Telemarketing,,,Solucionado,,,,,AUS1 - AUTOMOTORES,54197,,3396834,Denuncia daños materiales,,,,'2021-04-28 13:20:00','2016-10-21 08:45:29','2016-10-21 08:45:29',Resuelto,,
161021-004044,,Incidente importado desde SAC,,Daños Materiales Autos,Usuario Importador,Telemarketing,,,Solucionado,,,,,AUS1 - AUTOMOTORES,54198,,3427467,Denuncia daños materiales,,,,'2021-04-28 13:20:00','2016-10-21 08:45:29','2016-10-21 08:45:29',Resuelto,,
161021-004047,,Incidente importado desde SAC,,Daños Materiales Autos,Usuario Importador,Telemarketing,,,Solucionado,,,,,AUS1 - AUTOMOTORES,54201,,1116847,Denuncia daños materiales,,,,'2021-04-28 13:20:00','2016-10-21 08:45:29','2016-10-21 08:45:29',Resuelto,,
161021-004048,,Incidente importado desde SAC,,Daños Materiales Autos,Usuario Importador,Telemarketing,,,Solucionado,,,,,AUS1 - AUTOMOTORES,54202,,685541,Denuncia daños materiales,,,,'2021-04-28 13:20:00','2016-10-21 08:45:29','2016-10-21 08:45:29',Resuelto,,
