Nº de referencia,Actualizado por,Asunto,Buzón de correo,Cola,Creado por cuenta,Modo de Contacto,UsuarioIntra,Tipo de Incidente,Tipo de estado,Tipo Cobro,Siniestro,Poliza,NroCuenta,ID de producto,ID de incidente,ID de disposición,ID de contacto,ID de categoría,Grupo,FechaEfecto,Fecha de última respuesta,Fecha de última actualización,Fecha de creación,Fecha de cierre,Estado,Cuenta asignada,ID de organización
161021-084111,,Incidente importado desde SAC,,Telecobranzas,Usuario Importador,Telemarketing,,,Solucionado,,,,,HOM1 - SEGURO DEL HOGAR,134186,,5664442,Sin teléfono/Equivocado,,,,'2021-04-28 13:20:00','2016-10-21 13:55:48','2016-10-21 13:55:48',Atendido,,
161021-084115,,Incidente importado desde SAC,,Daños Materiales Autos,Usuario Importador,Telemarketing,,,Solucionado,,,,,AUS1 - AUTOMOTORES,134190,,3428461,Denuncia daños materiales,,,,'2021-04-28 13:20:00','2016-10-21 13:55:48','2016-10-21 13:55:48',Resuelto,,
161021-084117,,Incidente importado desde SAC,,Daños Materiales Autos,Usuario Importador,Telemarketing,,,Solucionado,,,,,AUS1 - AUTOMOTORES,134192,,1292364,Denuncia daños materiales,,,,'2021-04-28 13:20:00','2016-10-21 13:55:49','2016-10-21 13:55:49',Resuelto,,
161021-084118,,Incidente importado desde SAC,,Riesgos Varios Casa Central,Usuario Importador,Telemarketing,,,Solucionado,,,,,HOM1 - SEGURO DEL HOGAR,134193,,7512913,Denuncia Riesgos Varios,,,,'2021-04-28 13:20:00','2016-10-21 13:55:49','2016-10-21 13:55:49',Resuelto,,
161021-084119,,Incidente importado desde SAC,,Daños Materiales Autos,Usuario Importador,Telemarketing,,,Solucionado,,,,,AUS1 - AUTOMOTORES,134194,,1321228,Denuncia daños materiales,,,,'2021-04-28 13:20:00','2016-10-21 13:55:49','2016-10-21 13:55:49',Resuelto,,
161021-084120,,Incidente importado desde SAC,,Telecobranzas,Usuario Importador,Telemarketing,,,Solucionado,,,,,HOM1 - SEGURO DEL HOGAR,134195,,5224105,Reenvío al cobro,,,,'2021-04-28 13:20:00','2016-10-21 13:55:49','2016-10-21 13:55:49',Resuelto,,
161021-084122,,Incidente importado desde SAC,,Daños Materiales Autos,Usuario Importador,Telemarketing,,,Solucionado,,,,,AUS1 - AUTOMOTORES,134196,,7725692,Denuncia daños materiales,,,,'2021-04-28 13:20:00','2016-10-21 13:55:49','2016-10-21 13:55:49',Resuelto,,
161021-084123,,Incidente importado desde SAC,,Telecobranzas,Usuario Importador,Telemarketing,,,Solucionado,,,,,HOM1 - SEGURO DEL HOGAR,134197,,3519462,Sin teléfono/Equivocado,,,,'2021-04-28 13:20:00','2016-10-21 13:55:50','2016-10-21 13:55:50',Atendido,,
161021-084125,,Incidente importado desde SAC,,Daños Materiales Autos,Usuario Importador,Telemarketing,,,Solucionado,,,,,AUS1 - AUTOMOTORES,134199,,2787447,Denuncia daños materiales,,,,'2021-04-28 13:20:00','2016-10-21 13:55:50','2016-10-21 13:55:50',Resuelto,,
161021-084126,,Incidente importado desde SAC,,Daños Materiales Autos,Usuario Importador,Telemarketing,,,Solucionado,,,,,AUS1 - AUTOMOTORES,134200,,3515828,Denuncia daños materiales,,,,'2021-04-28 13:20:00','2016-10-21 13:55:50','2016-10-21 13:55:50',Resuelto,,
161021-084129,,Incidente importado desde SAC,,Riesgos Varios Casa Central,Usuario Importador,Telemarketing,,,Solucionado,,,,,HOM1 - SEGURO DEL HOGAR,134203,,2524947,Denuncia Riesgos Varios,,,,'2021-04-28 13:20:00','2016-10-21 13:55:51','2016-10-21 13:55:51',Resuelto,,
161021-084131,,Incidente importado desde SAC,,Daños Materiales Autos,Usuario Importador,Telemarketing,,,Solucionado,,,,,AUS1 - AUTOMOTORES,134205,,1288672,Denuncia daños materiales,,,,'2021-04-28 13:20:00','2016-10-21 13:55:51','2016-10-21 13:55:51',Resuelto,,
161021-084132,,Incidente importado desde SAC,,Daños Materiales Autos,Usuario Importador,Telemarketing,,,Solucionado,,,,,AUS1 - AUTOMOTORES,134206,,2853513,Denuncia daños materiales,,,,'2021-04-28 13:20:00','2016-10-21 13:55:51','2016-10-21 13:55:51',Resuelto,,
161021-084133,,Incidente importado desde SAC,,Fleet Services,Usuario Importador,Telemarketing,,,Solucionado,,,,,AUS1 - AUTOMOTORES,134207,,1112225,Contacto del tercero,,,,'2021-04-28 13:20:00','2016-10-21 13:55:51','2016-10-21 13:55:51',Resuelto,,
161021-084134,,Incidente importado desde SAC,,Daños Materiales Autos,Usuario Importador,Telemarketing,,,Solucionado,,,,,AUS1 - AUTOMOTORES,134208,,3424975,Denuncia daños materiales,,,,'2021-04-28 13:20:00','2016-10-21 13:55:51','2016-10-21 13:55:51',Resuelto,,
161021-084136,,Incidente importado desde SAC,,Riesgos Varios Casa Central,Usuario Importador,Telemarketing,,,Solucionado,,,,,HOM1 - SEGURO DEL HOGAR,134210,,3753221,Denuncia Riesgos Varios,,,,'2021-04-28 13:20:00','2016-10-21 13:55:52','2016-10-21 13:55:52',Resuelto,,
