Nº de referencia,Actualizado por,Asunto,Buzón de correo,Cola,Creado por cuenta,Modo de Contacto,UsuarioIntra,Tipo de Incidente,Tipo de estado,Tipo Cobro,Siniestro,Poliza,NroCuenta,ID de producto,ID de incidente,ID de disposición,ID de contacto,ID de categoría,Grupo,FechaEfecto,Fecha de última respuesta,Fecha de última actualización,Fecha de creación,Fecha de cierre,Estado,Cuenta asignada,ID de organización
161021-034075,,Incidente importado desde SAC,,Mailing,Usuario Importador,Carta Documento,,,Solucionado,,,,,APR1 - AUTOMOTORES,84187,,3452680,Certificado de cobertura,,,,'2021-04-28 13:20:00','2016-10-21 10:57:00','2016-10-21 10:57:00',Resuelto,,
161021-034076,,Incidente importado desde SAC,,Daños Materiales Autos,Usuario Importador,Telemarketing,,,Solucionado,,,,,AUS1 - AUTOMOTORES,84188,,1380230,Denuncia daños materiales,,,,'2021-04-28 13:20:00','2016-10-21 10:57:00','2016-10-21 10:57:00',Resuelto,,
161021-034081,,Incidente importado desde SAC,,Daños Materiales Autos,Usuario Importador,Telemarketing,,,Solucionado,,,,,AUS1 - AUTOMOTORES,84193,,6484434,Denuncia daños materiales,,,,'2021-04-28 13:20:00','2016-10-21 10:57:01','2016-10-21 10:57:01',Resuelto,,
161021-034083,,Incidente importado desde SAC,,Daños Materiales Autos,Usuario Importador,Telemarketing,,,Solucionado,,,,,AUS1 - AUTOMOTORES,84195,,3733447,Denuncia daños materiales,,,,'2021-04-28 13:20:00','2016-10-21 10:57:02','2016-10-21 10:57:02',Resuelto,,
161021-034084,,Incidente importado desde SAC,,Daños Materiales Autos,Usuario Importador,Telemarketing,,,Solucionado,,,,,AUS1 - AUTOMOTORES,84196,,2451747,Denuncia daños materiales,,,,'2021-04-28 13:20:00','2016-10-21 10:57:02','2016-10-21 10:57:02',Resuelto,,
161021-034087,,Incidente importado desde SAC,,Riesgos Varios Casa Central,Usuario Importador,Carta Documento,,,Solucionado,,,,,ICO1 - INTEGR.COMERCIO,84199,,5346493,Riesgos Varios Casa Central,,,,'2021-04-28 13:20:00','2016-10-21 10:57:02','2016-10-21 10:57:02',Resuelto,,
161021-034089,,Incidente importado desde SAC,,Daños Materiales Autos,Usuario Importador,Telemarketing,,,Solucionado,,,,,AUS1 - AUTOMOTORES,84201,,2553090,Denuncia daños materiales,,,,'2021-04-28 13:20:00','2016-10-21 10:57:03','2016-10-21 10:57:03',Resuelto,,
161021-034090,,Incidente importado desde SAC,,Daños Materiales Autos,Usuario Importador,Telemarketing,,,Solucionado,,,,,AUS1 - AUTOMOTORES,84202,,1074191,Denuncia daños materiales,,,,'2021-04-28 13:20:00','2016-10-21 10:57:03','2016-10-21 10:57:03',Resuelto,,
161021-034091,,Incidente importado desde SAC,,Daños Materiales Autos,Usuario Importador,Telemarketing,,,Solucionado,,,,,AUS1 - AUTOMOTORES,84203,,4408463,Denuncia daños materiales,,,,'2021-04-28 13:20:00','2016-10-21 10:57:03','2016-10-21 10:57:03',Resuelto,,
161021-034092,,Incidente importado desde SAC,,Daños Materiales Autos,Usuario Importador,Telemarketing,,,Solucionado,,,,,AUS1 - AUTOMOTORES,84204,,3431750,Denuncia daños materiales,,,,'2021-04-28 13:20:00','2016-10-21 10:57:03','2016-10-21 10:57:03',Resuelto,,
