Nº de referencia,Actualizado por,Asunto,Buzón de correo,Cola,Creado por cuenta,Modo de Contacto,UsuarioIntra,Tipo de Incidente,Tipo de estado,Tipo Cobro,Siniestro,Poliza,NroCuenta,ID de producto,ID de incidente,ID de disposición,ID de contacto,ID de categoría,Grupo,FechaEfecto,Fecha de última respuesta,Fecha de última actualización,Fecha de creación,Fecha de cierre,Estado,Cuenta asignada,ID de organización
161021-144153,,Incidente importado desde SAC,,Daños Materiales Autos,Usuario Importador,Telemarketing,,,Solucionado,,,,,AUS1 - AUTOMOTORES,194187,,3422037,Denuncia daños materiales,,,,'2021-04-28 13:20:00','2016-10-21 17:19:53','2016-10-21 17:19:53',Resuelto,,
161021-144155,,Incidente importado desde SAC,,Daños Materiales Autos,Usuario Importador,Telemarketing,,,Solucionado,,,,,AUS1 - AUTOMOTORES,194189,,4633129,Denuncia daños materiales,,,,'2021-04-28 13:20:00','2016-10-21 17:19:54','2016-10-21 17:19:54',Resuelto,,
161021-144156,,Incidente importado desde SAC,,Daños Materiales Autos,Usuario Importador,Telemarketing,,,Solucionado,,,,,AUS1 - AUTOMOTORES,194190,,2041904,Denuncia daños materiales,,,,'2021-04-28 13:20:00','2016-10-21 17:19:54','2016-10-21 17:19:54',Resuelto,,
161021-144157,,Incidente importado desde SAC,,Daños Materiales Autos,Usuario Importador,Telemarketing,,,Solucionado,,,,,AUS1 - AUTOMOTORES,194191,,7390993,Denuncia daños materiales,,,,'2021-04-28 13:20:00','2016-10-21 17:19:54','2016-10-21 17:19:54',Resuelto,,
161021-144158,,Incidente importado desde SAC,,Daños Materiales Autos,Usuario Importador,Telemarketing,,,Solucionado,,,,,AUS1 - AUTOMOTORES,194192,,4471109,Denuncia daños materiales,,,,'2021-04-28 13:20:00','2016-10-21 17:19:55','2016-10-21 17:19:55',Resuelto,,
161021-144159,,Incidente importado desde SAC,,Riesgos Varios Casa Central,Usuario Importador,Telemarketing,,,Solucionado,,,,,HOM1 - SEGURO DEL HOGAR,194193,,3515512,Denuncia Riesgos Varios,,,,'2021-04-28 13:20:00','2016-10-21 17:19:55','2016-10-21 17:19:55',Resuelto,,
161021-144160,,Incidente importado desde SAC,,Riesgos Varios Casa Central,Usuario Importador,Telemarketing,,,Solucionado,,,,,HOM1 - SEGURO DEL HOGAR,194194,,2112351,Denuncia Riesgos Varios,,,,'2021-04-28 13:20:00','2016-10-21 17:19:55','2016-10-21 17:19:55',Resuelto,,
161021-144161,,Incidente importado desde SAC,,Daños Materiales Autos,Usuario Importador,Telemarketing,,,Solucionado,,,,,AUS1 - AUTOMOTORES,194195,,1924397,Denuncia daños materiales,,,,'2021-04-28 13:20:00','2016-10-21 17:19:55','2016-10-21 17:19:55',Resuelto,,
161021-144162,,Incidente importado desde SAC,,Telecobranzas,Usuario Importador,Telemarketing,,,Solucionado,,,,,AUS1 - AUTOMOTORES,194196,,546524,Mensaje,,,,'2021-04-28 13:20:00','2016-10-21 17:19:55','2016-10-21 17:19:55',Atendido,,
161021-144163,,Incidente importado desde SAC,,Daños Materiales Autos,Usuario Importador,Telemarketing,,,Solucionado,,,,,AUS1 - AUTOMOTORES,194197,,7258928,Denuncia daños materiales,,,,'2021-04-28 13:20:00','2016-10-21 17:19:55','2016-10-21 17:19:55',Resuelto,,
161021-144165,,Incidente importado desde SAC,,Telecobranzas,Usuario Importador,Telemarketing,,,Solucionado,,,,,AUS1 - AUTOMOTORES,194199,,5152058,Sin teléfono/Equivocado,,,,'2021-04-28 13:20:00','2016-10-21 17:19:56','2016-10-21 17:19:56',Atendido,,
161021-144168,,Incidente importado desde SAC,,Daños Materiales Autos,Usuario Importador,Telemarketing,,,Solucionado,,,,,AUS1 - AUTOMOTORES,194202,,2365054,Denuncia daños materiales,,,,'2021-04-28 13:20:00','2016-10-21 17:19:56','2016-10-21 17:19:56',Resuelto,,
161021-144169,,Incidente importado desde SAC,,Daños Materiales Autos,Usuario Importador,Telemarketing,,,Solucionado,,,,,AUS1 - AUTOMOTORES,194203,,2788104,Denuncia daños materiales,,,,'2021-04-28 13:20:00','2016-10-21 17:19:57','2016-10-21 17:19:57',Resuelto,,
