Nº de referencia,Actualizado por,Asunto,Buzón de correo,Cola,Creado por cuenta,Modo de Contacto,UsuarioIntra,Tipo de Incidente,Tipo de estado,Tipo Cobro,Siniestro,Poliza,NroCuenta,ID de producto,ID de incidente,ID de disposición,ID de contacto,ID de categoría,Grupo,FechaEfecto,Fecha de última respuesta,Fecha de última actualización,Fecha de creación,Fecha de cierre,Estado,Cuenta asignada,ID de organización
161021-174153,,Incidente importado desde SAC,,Daños Materiales Autos,Usuario Importador,Telemarketing,,,Solucionado,,,,,AUS1 - AUTOMOTORES,224185,,2672656,Denuncia daños materiales,,,,'2021-04-28 13:20:00','2016-10-21 18:43:32','2016-10-21 18:43:32',Resuelto,,
161021-174154,,Incidente importado desde SAC,,Daños Materiales Autos,Usuario Importador,Telemarketing,,,Solucionado,,,,,AUS1 - AUTOMOTORES,224186,,376766,Denuncia daños materiales,,,,'2021-04-28 13:20:00','2016-10-21 18:43:32','2016-10-21 18:43:32',Resuelto,,
161021-174156,,Incidente importado desde SAC,,Daños Materiales Autos,Usuario Importador,Telemarketing,,,Solucionado,,,,,AUS1 - AUTOMOTORES,224188,,4521851,Denuncia daños materiales,,,,'2021-04-28 13:20:00','2016-10-21 18:43:32','2016-10-21 18:43:32',Resuelto,,
161021-174157,,Incidente importado desde SAC,,Riesgos Varios Casa Central,Usuario Importador,Telemarketing,,,Solucionado,,,,,HOM1 - SEGURO DEL HOGAR,224189,,5326844,Denuncia Riesgos Varios,,,,'2021-04-28 13:20:00','2016-10-21 18:43:32','2016-10-21 18:43:32',Resuelto,,
161021-174158,,Incidente importado desde SAC,,Daños Materiales Autos,Usuario Importador,Telemarketing,,,Solucionado,,,,,AUS1 - AUTOMOTORES,224190,,4179533,Denuncia daños materiales,,,,'2021-04-28 13:20:00','2016-10-21 18:43:32','2016-10-21 18:43:32',Resuelto,,
161021-174159,,Incidente importado desde SAC,,Daños Materiales Autos,Usuario Importador,Telemarketing,,,Solucionado,,,,,AUS1 - AUTOMOTORES,224191,,1173387,Denuncia daños materiales,,,,'2021-04-28 13:20:00','2016-10-21 18:43:33','2016-10-21 18:43:33',Resuelto,,
161021-174160,,Incidente importado desde SAC,,Daños Materiales Autos,Usuario Importador,Telemarketing,,,Solucionado,,,,,AUS1 - AUTOMOTORES,224192,,1425352,Denuncia daños materiales,,,,'2021-04-28 13:20:00','2016-10-21 18:43:33','2016-10-21 18:43:33',Resuelto,,
161021-174161,,Incidente importado desde SAC,,Daños Materiales Autos,Usuario Importador,Telemarketing,,,Solucionado,,,,,AUS1 - AUTOMOTORES,224193,,3792411,Denuncia daños materiales,,,,'2021-04-28 13:20:00','2016-10-21 18:43:33','2016-10-21 18:43:33',Resuelto,,
161021-174163,,Incidente importado desde SAC,,Cac,Usuario Importador,Telemarketing,,,Solucionado,,,,,HOM1 - SEGURO DEL HOGAR,224195,,7327211,Endosos CAC,,,,'2021-04-28 13:20:00','2016-10-21 18:43:33','2016-10-21 18:43:33',Atendido,,
161021-174164,,Incidente importado desde SAC,,Pago Telefonico,Usuario Importador,Telemarketing,,,Solucionado,,,,,AUS1 - AUTOMOTORES,224196,,301000,Pago telefónico,,,,'2021-04-28 13:20:00','2016-10-21 18:43:33','2016-10-21 18:43:33',Resuelto,,
161021-174165,,Incidente importado desde SAC,,Daños Materiales Autos,Usuario Importador,Telemarketing,,,Solucionado,,,,,AUS1 - AUTOMOTORES,224197,,4628805,Denuncia daños materiales,,,,'2021-04-28 13:20:00','2016-10-21 18:43:33','2016-10-21 18:43:33',Resuelto,,
161021-174167,,Incidente importado desde SAC,,Daños Materiales Autos,Usuario Importador,Telemarketing,,,Solucionado,,,,,AUS1 - AUTOMOTORES,224199,,5217217,Denuncia daños materiales,,,,'2021-04-28 13:20:00','2016-10-21 18:43:33','2016-10-21 18:43:33',Resuelto,,
161021-174168,,Incidente importado desde SAC,,Riesgos Varios Casa Central,Usuario Importador,Telemarketing,,,Solucionado,,,,,HOM1 - SEGURO DEL HOGAR,224200,,2048372,Denuncia Riesgos Varios,,,,'2021-04-28 13:20:00','2016-10-21 18:43:33','2016-10-21 18:43:33',Resuelto,,
161021-174170,,Incidente importado desde SAC,,Daños Materiales Autos,Usuario Importador,Telemarketing,,,Solucionado,,,,,AUS1 - AUTOMOTORES,224202,,1013258,Denuncia daños materiales,,,,'2021-04-28 13:20:00','2016-10-21 18:43:33','2016-10-21 18:43:33',Resuelto,,
161021-174172,,Incidente importado desde SAC,,Telecobranzas,Usuario Importador,Telemarketing,,,Solucionado,,,,,HOM1 - SEGURO DEL HOGAR,224204,,990511,Contestador,,,,'2021-04-28 13:20:00','2016-10-21 18:43:33','2016-10-21 18:43:33',Atendido,,
161021-174174,,Incidente importado desde SAC,,Riesgos Varios Casa Central,Usuario Importador,Telemarketing,,,Solucionado,,,,,HOM1 - SEGURO DEL HOGAR,224206,,4761510,Denuncia Riesgos Varios,,,,'2021-04-28 13:20:00','2016-10-21 18:43:34','2016-10-21 18:43:34',Resuelto,,
161021-174175,,Incidente importado desde SAC,,Riesgos Varios Casa Central,Usuario Importador,Telemarketing,,,Solucionado,,,,,HOM1 - SEGURO DEL HOGAR,224207,,1895700,Riesgos Varios Casa Central,,,,'2021-04-28 13:20:00','2016-10-21 18:43:34','2016-10-21 18:43:34',Resuelto,,
161021-174176,,Incidente importado desde SAC,,Daños Materiales Autos,Usuario Importador,Telemarketing,,,Solucionado,,,,,AUS1 - AUTOMOTORES,224208,,1427878,Denuncia daños materiales,,,,'2021-04-28 13:20:00','2016-10-21 18:43:34','2016-10-21 18:43:34',Resuelto,,
161021-174177,,Incidente importado desde SAC,,Daños Materiales Autos,Usuario Importador,Telemarketing,,,Solucionado,,,,,AUS1 - AUTOMOTORES,224209,,1900189,Denuncia daños materiales,,,,'2021-04-28 13:20:00','2016-10-21 18:43:34','2016-10-21 18:43:34',Resuelto,,
161021-174179,,Incidente importado desde SAC,,Daños Materiales Autos,Usuario Importador,Telemarketing,,,Solucionado,,,,,AUS1 - AUTOMOTORES,224211,,7429652,Denuncia daños materiales,,,,'2021-04-28 13:20:00','2016-10-21 18:43:34','2016-10-21 18:43:34',Resuelto,,
161021-174182,,Incidente importado desde SAC,,Riesgos Varios Casa Central,Usuario Importador,Telemarketing,,,Solucionado,,,,,HOM1 - SEGURO DEL HOGAR,224214,,4911406,Denuncia Riesgos Varios,,,,'2021-04-28 13:20:00','2016-10-21 18:43:34','2016-10-21 18:43:34',Resuelto,,
161021-174183,,Incidente importado desde SAC,,Telecobranzas,Usuario Importador,Telemarketing,,,Solucionado,,,,,AUS1 - AUTOMOTORES,224215,,3468142,Sin teléfono/Equivocado,,,,'2021-04-28 13:20:00','2016-10-21 18:43:34','2016-10-21 18:43:34',Atendido,,
161021-174187,,Incidente importado desde SAC,,Telecobranzas,Usuario Importador,Telemarketing,,,Solucionado,,,,,HOM1 - SEGURO DEL HOGAR,224219,,3493663,Contestador,,,,'2021-04-28 13:20:00','2016-10-21 18:43:34','2016-10-21 18:43:34',Atendido,,
161021-174189,,Incidente importado desde SAC,,Daños Materiales Autos,Usuario Importador,Telemarketing,,,Solucionado,,,,,AUS1 - AUTOMOTORES,224221,,3021534,Denuncia daños materiales,,,,'2021-04-28 13:20:00','2016-10-21 18:43:35','2016-10-21 18:43:35',Resuelto,,
161021-174190,,Incidente importado desde SAC,,Daños Materiales Autos,Usuario Importador,Telemarketing,,,Solucionado,,,,,AUS1 - AUTOMOTORES,224222,,4350057,Denuncia daños materiales,,,,'2021-04-28 13:20:00','2016-10-21 18:43:35','2016-10-21 18:43:35',Resuelto,,
161021-174191,,Incidente importado desde SAC,,Daños Materiales Autos,Usuario Importador,Telemarketing,,,Solucionado,,,,,AUS1 - AUTOMOTORES,224223,,5049766,Denuncia daños materiales,,,,'2021-04-28 13:20:00','2016-10-21 18:43:35','2016-10-21 18:43:35',Resuelto,,
161021-174193,,Incidente importado desde SAC,,Daños Materiales Autos,Usuario Importador,Telemarketing,,,Solucionado,,,,,AUS1 - AUTOMOTORES,224225,,1110270,Denuncia daños materiales,,,,'2021-04-28 13:20:00','2016-10-21 18:43:35','2016-10-21 18:43:35',Resuelto,,
161021-174194,,Incidente importado desde SAC,,Riesgos Varios Casa Central,Usuario Importador,Telemarketing,,,Solucionado,,,,,HOM1 - SEGURO DEL HOGAR,224226,,4681580,Denuncia Riesgos Varios,,,,'2021-04-28 13:20:00','2016-10-21 18:43:35','2016-10-21 18:43:35',Resuelto,,
161021-174197,,Incidente importado desde SAC,,Mailing,Usuario Importador,Carta Documento,,,Solucionado,,,,,AUT1 - AUTOMOTORES,224229,,3439087,Certificado de cobertura,,,,'2021-04-28 13:20:00','2016-10-21 18:43:35','2016-10-21 18:43:35',Resuelto,,
161021-174198,,Incidente importado desde SAC,,Cac,Usuario Importador,Telemarketing,,,Solucionado,,,,,AUS1 - AUTOMOTORES,224230,,1131221,Endosos CAC,,,,'2021-04-28 13:20:00','2016-10-21 18:43:36','2016-10-21 18:43:36',Atendido,,
161021-174199,,Incidente importado desde SAC,,Daños Materiales Autos,Usuario Importador,Telemarketing,,,Solucionado,,,,,AUS1 - AUTOMOTORES,224231,,1855179,Denuncia daños materiales,,,,'2021-04-28 13:20:00','2016-10-21 18:43:36','2016-10-21 18:43:36',Resuelto,,
161021-174200,,Incidente importado desde SAC,,Daños Materiales Autos,Usuario Importador,Telemarketing,,,Solucionado,,,,,AUS1 - AUTOMOTORES,224232,,3343965,Denuncia daños materiales,,,,'2021-04-28 13:20:00','2016-10-21 18:43:36','2016-10-21 18:43:36',Resuelto,,
161021-174201,,Incidente importado desde SAC,,Daños Materiales Autos,Usuario Importador,Telemarketing,,,Solucionado,,,,,AUS1 - AUTOMOTORES,224233,,7094465,Denuncia daños materiales,,,,'2021-04-28 13:20:00','2016-10-21 18:43:36','2016-10-21 18:43:36',Resuelto,,
161021-174203,,Incidente importado desde SAC,,Riesgos Varios Casa Central,Usuario Importador,Telemarketing,,,Solucionado,,,,,HOM1 - SEGURO DEL HOGAR,224235,,6512113,Denuncia Riesgos Varios,,,,'2021-04-28 13:20:00','2016-10-21 18:43:36','2016-10-21 18:43:36',Resuelto,,
161021-174205,,Incidente importado desde SAC,,Telecobranzas,Usuario Importador,Telemarketing,,,Solucionado,,,,,HOM1 - SEGURO DEL HOGAR,224237,,2204210,Contestador,,,,'2021-04-28 13:20:00','2016-10-21 18:43:36','2016-10-21 18:43:36',Atendido,,
161021-174207,,Incidente importado desde SAC,,Riesgos Varios Casa Central,Usuario Importador,Telemarketing,,,Solucionado,,,,,HOM1 - SEGURO DEL HOGAR,224239,,3800293,Denuncia Riesgos Varios,,,,'2021-04-28 13:20:00','2016-10-21 18:43:37','2016-10-21 18:43:37',Resuelto,,
161021-174208,,Incidente importado desde SAC,,Daños Materiales Autos,Usuario Importador,Telemarketing,,,Solucionado,,,,,AUS1 - AUTOMOTORES,224240,,6665797,Denuncia daños materiales,,,,'2021-04-28 13:20:00','2016-10-21 18:43:37','2016-10-21 18:43:37',Resuelto,,
161021-174209,,Incidente importado desde SAC,,Daños Materiales Autos,Usuario Importador,Telemarketing,,,Solucionado,,,,,AUS1 - AUTOMOTORES,224241,,1426905,Denuncia daños materiales,,,,'2021-04-28 13:20:00','2016-10-21 18:43:37','2016-10-21 18:43:37',Resuelto,,
161021-174212,,Incidente importado desde SAC,,Daños Materiales Autos,Usuario Importador,Telemarketing,,,Solucionado,,,,,AUS1 - AUTOMOTORES,224244,,3397667,Denuncia daños materiales,,,,'2021-04-28 13:20:00','2016-10-21 18:43:37','2016-10-21 18:43:37',Resuelto,,
161021-174213,,Incidente importado desde SAC,,Daños Materiales Autos,Usuario Importador,Telemarketing,,,Solucionado,,,,,AUS1 - AUTOMOTORES,224245,,451098,Denuncia daños materiales,,,,'2021-04-28 13:20:00','2016-10-21 18:43:37','2016-10-21 18:43:37',Resuelto,,
161021-174215,,Incidente importado desde SAC,,Telecobranzas,Usuario Importador,Telemarketing,,,Solucionado,,,,,AUS1 - AUTOMOTORES,224247,,7766496,Contestador,,,,'2021-04-28 13:20:00','2016-10-21 18:43:37','2016-10-21 18:43:37',Atendido,,
161021-174216,,Incidente importado desde SAC,,Pago Telefonico,Usuario Importador,Telemarketing,,,Solucionado,,,,,AUS1 - AUTOMOTORES,224248,,4340145,Pago telefónico,,,,'2021-04-28 13:20:00','2016-10-21 18:43:38','2016-10-21 18:43:38',Resuelto,,
161021-174217,,Incidente importado desde SAC,,Riesgos Varios Casa Central,Usuario Importador,Telemarketing,,,Solucionado,,,,,HOM1 - SEGURO DEL HOGAR,224249,,4607699,Denuncia Riesgos Varios,,,,'2021-04-28 13:20:00','2016-10-21 18:43:38','2016-10-21 18:43:38',Resuelto,,
161021-174220,,Incidente importado desde SAC,,Fleet Services,Usuario Importador,Telemarketing,,,Solucionado,,,,,APL1 - AUTOMOTORES PLANES,224252,,1771689,Contacto del tercero,,,,'2021-04-28 13:20:00','2016-10-21 18:43:38','2016-10-21 18:43:38',Resuelto,,
161021-174222,,Incidente importado desde SAC,,Daños Materiales Autos,Usuario Importador,Telemarketing,,,Solucionado,,,,,AUS1 - AUTOMOTORES,224254,,1288672,Denuncia daños materiales,,,,'2021-04-28 13:20:00','2016-10-21 18:43:38','2016-10-21 18:43:38',Resuelto,,
161021-174223,,Incidente importado desde SAC,,Daños Materiales Autos,Usuario Importador,Telemarketing,,,Solucionado,,,,,AUS1 - AUTOMOTORES,224255,,6989410,Denuncia daños materiales,,,,'2021-04-28 13:20:00','2016-10-21 18:43:38','2016-10-21 18:43:38',Resuelto,,
161021-174224,,Incidente importado desde SAC,,Daños Materiales Autos,Usuario Importador,Telemarketing,,,Solucionado,,,,,AUS1 - AUTOMOTORES,224256,,6173870,Denuncia daños materiales,,,,'2021-04-28 13:20:00','2016-10-21 18:43:38','2016-10-21 18:43:38',Resuelto,,
161021-174225,,Incidente importado desde SAC,,Daños Materiales Autos,Usuario Importador,Telemarketing,,,Solucionado,,,,,AUS1 - AUTOMOTORES,224257,,7391044,Denuncia daños materiales,,,,'2021-04-28 13:20:00','2016-10-21 18:43:38','2016-10-21 18:43:38',Resuelto,,
161021-174226,,Incidente importado desde SAC,,Riesgos Varios Casa Central,Usuario Importador,Telemarketing,,,Solucionado,,,,,HOM1 - SEGURO DEL HOGAR,224258,,4111098,Denuncia Riesgos Varios,,,,'2021-04-28 13:20:00','2016-10-21 18:43:39','2016-10-21 18:43:39',Resuelto,,
161021-174228,,Incidente importado desde SAC,,Daños Materiales Autos,Usuario Importador,Telemarketing,,,Solucionado,,,,,AUS1 - AUTOMOTORES,224260,,5411034,Denuncia daños materiales,,,,'2021-04-28 13:20:00','2016-10-21 18:43:39','2016-10-21 18:43:39',Resuelto,,
161021-174229,,Incidente importado desde SAC,,Mailing,Usuario Importador,Carta Documento,,,Solucionado,,,,,APR1 - AUTOMOTORES,224261,,1030142,Certificado de cobertura,,,,'2021-04-28 13:20:00','2016-10-21 18:43:39','2016-10-21 18:43:39',Resuelto,,
161021-174232,,Incidente importado desde SAC,,Daños Materiales Autos,Usuario Importador,Telemarketing,,,Solucionado,,,,,AUS1 - AUTOMOTORES,224264,,3456855,Denuncia daños materiales,,,,'2021-04-28 13:20:00','2016-10-21 18:43:39','2016-10-21 18:43:39',Resuelto,,
161021-174233,,Incidente importado desde SAC,,Daños Materiales Autos,Usuario Importador,Telemarketing,,,Solucionado,,,,,AUS1 - AUTOMOTORES,224265,,7571197,Denuncia daños materiales,,,,'2021-04-28 13:20:00','2016-10-21 18:43:39','2016-10-21 18:43:39',Resuelto,,
161021-174239,,Incidente importado desde SAC,,Daños Materiales Autos,Usuario Importador,Telemarketing,,,Solucionado,,,,,AUS1 - AUTOMOTORES,224271,,4616648,Denuncia daños materiales,,,,'2021-04-28 13:20:00','2016-10-21 18:43:40','2016-10-21 18:43:40',Resuelto,,
