Nº de referencia,Actualizado por,Asunto,Buzón de correo,Cola,Creado por cuenta,Modo de Contacto,UsuarioIntra,Tipo de Incidente,Tipo de estado,Tipo Cobro,Siniestro,Poliza,NroCuenta,ID de producto,ID de incidente,ID de disposición,ID de contacto,ID de categoría,Grupo,FechaEfecto,Fecha de última respuesta,Fecha de última actualización,Fecha de creación,Fecha de cierre,Estado,Cuenta asignada,ID de organización
161021-184158,,Incidente importado desde SAC,,Daños Materiales Autos,Usuario Importador,Telemarketing,,,Solucionado,,,,,AUS1 - AUTOMOTORES,234186,,7392058,Denuncia daños materiales,,,,'2021-04-28 13:20:00','2016-10-21 19:10:12','2016-10-21 19:10:12',Resuelto,,
161021-184161,,Incidente importado desde SAC,,Pago Telefonico,Usuario Importador,Telemarketing,,,Solucionado,,,,,AUS1 - AUTOMOTORES,234189,,508037,Pago telefónico,,,,'2021-04-28 13:20:00','2016-10-21 19:10:13','2016-10-21 19:10:13',Resuelto,,
161021-184162,,Incidente importado desde SAC,,Riesgos Varios Casa Central,Usuario Importador,Telemarketing,,,Solucionado,,,,,HOM1 - SEGURO DEL HOGAR,234190,,1347798,Denuncia Riesgos Varios,,,,'2021-04-28 13:20:00','2016-10-21 19:10:13','2016-10-21 19:10:13',Resuelto,,
161021-184163,,Incidente importado desde SAC,,Daños Materiales Autos,Usuario Importador,Telemarketing,,,Solucionado,,,,,AUS1 - AUTOMOTORES,234191,,1288672,Denuncia daños materiales,,,,'2021-04-28 13:20:00','2016-10-21 19:10:13','2016-10-21 19:10:13',Resuelto,,
161021-184164,,Incidente importado desde SAC,,Pago Telefonico,Usuario Importador,Telemarketing,,,Solucionado,,,,,AUS1 - AUTOMOTORES,234192,,7312816,Pago telefónico,,,,'2021-04-28 13:20:00','2016-10-21 19:10:13','2016-10-21 19:10:13',Resuelto,,
161021-184167,,Incidente importado desde SAC,,Telecobranzas,Usuario Importador,Telemarketing,,,Solucionado,,,,,AUS1 - AUTOMOTORES,234195,,6008441,Contestador,,,,'2021-04-28 13:20:00','2016-10-21 19:10:13','2016-10-21 19:10:13',Atendido,,
161021-184168,,Incidente importado desde SAC,,Telecobranzas,Usuario Importador,Telemarketing,,,Solucionado,,,,,AUS1 - AUTOMOTORES,234196,,4929694,Sin teléfono/Equivocado,,,,'2021-04-28 13:20:00','2016-10-21 19:10:13','2016-10-21 19:10:13',Atendido,,
161021-184169,,Incidente importado desde SAC,,Pago Telefonico,Usuario Importador,Telemarketing,,,Solucionado,,,,,AUS1 - AUTOMOTORES,234197,,6651038,Pago telefónico,,,,'2021-04-28 13:20:00','2016-10-21 19:10:13','2016-10-21 19:10:13',Resuelto,,
161021-184170,,Incidente importado desde SAC,,Daños Materiales Autos,Usuario Importador,Telemarketing,,,Solucionado,,,,,AUS1 - AUTOMOTORES,234198,,4889193,Denuncia daños materiales,,,,'2021-04-28 13:20:00','2016-10-21 19:10:13','2016-10-21 19:10:13',Resuelto,,
161021-184171,,Incidente importado desde SAC,,Emisión Masivos,Usuario Importador,Telemarketing,,,Solucionado,,,,,ATD1 - ROBO/USUAR.T.DEB-CRE,234199,,2751239,No califica,,,,'2021-04-28 13:20:00','2016-10-21 19:10:13','2016-10-21 19:10:13',Resuelto,,
161021-184172,,Incidente importado desde SAC,,Pago Telefonico,Usuario Importador,Telemarketing,,,Solucionado,,,,,AUS1 - AUTOMOTORES,234200,,3614656,Pago telefónico,,,,'2021-04-28 13:20:00','2016-10-21 19:10:14','2016-10-21 19:10:14',Resuelto,,
161021-184174,,Incidente importado desde SAC,,Daños Materiales Autos,Usuario Importador,Telemarketing,,,Solucionado,,,,,AUS1 - AUTOMOTORES,234202,,1302049,Denuncia daños materiales,,,,'2021-04-28 13:20:00','2016-10-21 19:10:14','2016-10-21 19:10:14',Resuelto,,
161021-184175,,Incidente importado desde SAC,,Daños Materiales Autos,Usuario Importador,Telemarketing,,,Solucionado,,,,,AUS1 - AUTOMOTORES,234203,,5345856,Denuncia daños materiales,,,,'2021-04-28 13:20:00','2016-10-21 19:10:14','2016-10-21 19:10:14',Resuelto,,
161021-184178,,Incidente importado desde SAC,,Emisión Masivos,Usuario Importador,Carta Documento,,,Solucionado,,,,,AUS1 - AUTOMOTORES,234206,,7341258,Modificación medio de pago,,,,'2021-04-28 13:20:00','2016-10-21 19:10:14','2016-10-21 19:10:14',Resuelto,,
161021-184181,,Incidente importado desde SAC,,Emisión Masivos,Usuario Importador,Carta Documento,,,Solucionado,,,,,HOM1 - SEGURO DEL HOGAR,234209,,7022410,No califica,,,,'2021-04-28 13:20:00','2016-10-21 19:10:14','2016-10-21 19:10:14',Resuelto,,
161021-184182,,Incidente importado desde SAC,,Daños Materiales Autos,Usuario Importador,Telemarketing,,,Solucionado,,,,,AUS1 - AUTOMOTORES,234210,,4387928,Denuncia daños materiales,,,,'2021-04-28 13:20:00','2016-10-21 19:10:14','2016-10-21 19:10:14',Resuelto,,
161021-184185,,Incidente importado desde SAC,,Pago Telefonico,Usuario Importador,Telemarketing,,,Solucionado,,,,,HOM1 - SEGURO DEL HOGAR,234213,,546364,Pago telefónico,,,,'2021-04-28 13:20:00','2016-10-21 19:10:15','2016-10-21 19:10:15',Resuelto,,
161021-184186,,Incidente importado desde SAC,,Daños Materiales Autos,Usuario Importador,Telemarketing,,,Solucionado,,,,,AUS1 - AUTOMOTORES,234214,,3401763,Denuncia daños materiales,,,,'2021-04-28 13:20:00','2016-10-21 19:10:15','2016-10-21 19:10:15',Resuelto,,
161021-184187,,Incidente importado desde SAC,,Daños Materiales Autos,Usuario Importador,Telemarketing,,,Solucionado,,,,,AUS1 - AUTOMOTORES,234215,,1807820,Denuncia daños materiales,,,,'2021-04-28 13:20:00','2016-10-21 19:10:15','2016-10-21 19:10:15',Resuelto,,
161021-184188,,Incidente importado desde SAC,,Gerencia Clientes,Usuario Importador,Carta Documento,,,Solucionado,,,,,AUT1 - AUTOMOTORES,234216,,7137627,Certificado de cobertura,,,,'2021-04-28 13:20:00','2016-10-21 19:10:15','2016-10-21 19:10:15',Resuelto,,
161021-184189,,Incidente importado desde SAC,,Daños Materiales Autos,Usuario Importador,Telemarketing,,,Solucionado,,,,,AUS1 - AUTOMOTORES,234217,,3511339,Denuncia daños materiales,,,,'2021-04-28 13:20:00','2016-10-21 19:10:15','2016-10-21 19:10:15',Resuelto,,
161021-184191,,Incidente importado desde SAC,,Daños Materiales Autos,Usuario Importador,Telemarketing,,,Solucionado,,,,,AUS1 - AUTOMOTORES,234219,,6674223,Denuncia daños materiales,,,,'2021-04-28 13:20:00','2016-10-21 19:10:15','2016-10-21 19:10:15',Resuelto,,
161021-184193,,Incidente importado desde SAC,,Daños Materiales Autos,Usuario Importador,Telemarketing,,,Solucionado,,,,,AUS1 - AUTOMOTORES,234221,,912408,Denuncia daños materiales,,,,'2021-04-28 13:20:00','2016-10-21 19:10:16','2016-10-21 19:10:16',Resuelto,,
161021-184194,,Incidente importado desde SAC,,Fleet Services,Usuario Importador,Telemarketing,,,Solucionado,,,,,AUT1 - AUTOMOTORES,234222,,3056680,Contacto del tercero,,,,'2021-04-28 13:20:00','2016-10-21 19:10:16','2016-10-21 19:10:16',Resuelto,,
161021-184196,,Incidente importado desde SAC,,Riesgos Varios Casa Central,Usuario Importador,Telemarketing,,,Solucionado,,,,,HOM1 - SEGURO DEL HOGAR,234224,,1372391,Denuncia Riesgos Varios,,,,'2021-04-28 13:20:00','2016-10-21 19:10:19','2016-10-21 19:10:19',Resuelto,,
161021-184201,,Incidente importado desde SAC,,Pago Telefonico,Usuario Importador,Telemarketing,,,Solucionado,,,,,AUS1 - AUTOMOTORES,234229,,748910,Pago telefónico,,,,'2021-04-28 13:20:00','2016-10-21 19:10:19','2016-10-21 19:10:19',Resuelto,,
161021-184203,,Incidente importado desde SAC,,Riesgos Varios Casa Central,Usuario Importador,Telemarketing,,,Solucionado,,,,,HOM1 - SEGURO DEL HOGAR,234231,,7035613,Denuncia Riesgos Varios,,,,'2021-04-28 13:20:00','2016-10-21 19:10:19','2016-10-21 19:10:19',Resuelto,,
