Nº de referencia,Actualizado por,Asunto,Buzón de correo,Cola,Creado por cuenta,Modo de Contacto,UsuarioIntra,Tipo de Incidente,Tipo de estado,Tipo Cobro,Siniestro,Poliza,NroCuenta,ID de producto,ID de incidente,ID de disposición,ID de contacto,ID de categoría,Grupo,FechaEfecto,Fecha de última respuesta,Fecha de última actualización,Fecha de creación,Fecha de cierre,Estado,Cuenta asignada,ID de organización
161021-114134,,Incidente importado desde SAC,,Daños Materiales Autos,Usuario Importador,Telemarketing,,,Solucionado,,,,,AUS1 - AUTOMOTORES,164185,,189224,Denuncia daños materiales,,,,'2021-04-28 13:20:00','2016-10-21 15:42:21','2016-10-21 15:42:21',Resuelto,,
161021-114140,,Incidente importado desde SAC,,Telecobranzas,Usuario Importador,Telemarketing,,,Solucionado,,,,,AUS1 - AUTOMOTORES,164191,,1265086,Sin teléfono/Equivocado,,,,'2021-04-28 13:20:00','2016-10-21 15:42:21','2016-10-21 15:42:21',Atendido,,
161021-114141,,Incidente importado desde SAC,,Daños Materiales Autos,Usuario Importador,Telemarketing,,,Solucionado,,,,,AUS1 - AUTOMOTORES,164192,,1288672,Denuncia daños materiales,,,,'2021-04-28 13:20:00','2016-10-21 15:42:22','2016-10-21 15:42:22',Resuelto,,
161021-114142,,Incidente importado desde SAC,,Daños Materiales Autos,Usuario Importador,Telemarketing,,,Solucionado,,,,,AUS1 - AUTOMOTORES,164193,,5725479,Denuncia daños materiales,,,,'2021-04-28 13:20:00','2016-10-21 15:42:22','2016-10-21 15:42:22',Resuelto,,
161021-114144,,Incidente importado desde SAC,,Drive in San Isidro,Usuario Importador,Telemarketing,,,Solucionado,,,,,APL1 - AUTOMOTORES PLANES,164195,,2367039,Daños materiales drive in San Isidro,,,,'2021-04-28 13:20:00','2016-10-21 15:42:22','2016-10-21 15:42:22',Resuelto,,
161021-114145,,Incidente importado desde SAC,,Daños Materiales Autos,Usuario Importador,Telemarketing,,,Solucionado,,,,,AUS1 - AUTOMOTORES,164196,,3445656,Denuncia daños materiales,,,,'2021-04-28 13:20:00','2016-10-21 15:42:22','2016-10-21 15:42:22',Resuelto,,
161021-114147,,Incidente importado desde SAC,,Pago Telefonico,Usuario Importador,Telemarketing,,,Solucionado,,,,,AUS1 - AUTOMOTORES,164198,,1267843,Pago telefónico,,,,'2021-04-28 13:20:00','2016-10-21 15:42:22','2016-10-21 15:42:22',Resuelto,,
161021-114148,,Incidente importado desde SAC,,Daños Materiales Autos,Usuario Importador,Telemarketing,,,Solucionado,,,,,AUS1 - AUTOMOTORES,164199,,551597,Denuncia daños materiales,,,,'2021-04-28 13:20:00','2016-10-21 15:42:22','2016-10-21 15:42:22',Resuelto,,
161021-114150,,Incidente importado desde SAC,,Telecobranzas,Usuario Importador,Telemarketing,,,Solucionado,,,,,AUS1 - AUTOMOTORES,164201,,7832252,Mensaje,,,,'2021-04-28 13:20:00','2016-10-21 15:42:22','2016-10-21 15:42:22',Atendido,,
161021-114151,,Incidente importado desde SAC,,Telecobranzas,Usuario Importador,Telemarketing,,,Solucionado,,,,,AUS1 - AUTOMOTORES,164202,,134790,Contestador,,,,'2021-04-28 13:20:00','2016-10-21 15:42:23','2016-10-21 15:42:23',Atendido,,
