Nº de referencia,Actualizado por,Asunto,Buzón de correo,Cola,Creado por cuenta,Modo de Contacto,UsuarioIntra,Tipo de Incidente,Tipo de estado,Tipo Cobro,Siniestro,Poliza,NroCuenta,ID de producto,ID de incidente,ID de disposición,ID de contacto,ID de categoría,Grupo,FechaEfecto,Fecha de última respuesta,Fecha de última actualización,Fecha de creación,Fecha de cierre,Estado,Cuenta asignada,ID de organización
161021-238286,,Incidente importado desde SAC,,Telecobranzas,Usuario Importador,Telemarketing,,,Solucionado,,,,,AUS1 - AUTOMOTORES,288308,,4484874,Contestador,,,,'2021-04-28 13:20:00','2016-10-21 21:06:44','2016-10-21 21:06:44',Atendido,,
161021-238287,,Incidente importado desde SAC,,Telecobranzas,Usuario Importador,Telemarketing,,,Solucionado,,,,,AUS1 - AUTOMOTORES,288309,,4946519,Sin teléfono/Equivocado,,,,'2021-04-28 13:20:00','2016-10-21 21:06:44','2016-10-21 21:06:44',Atendido,,
161021-238288,,Incidente importado desde SAC,,Riesgos Varios Casa Central,Usuario Importador,Telemarketing,,,Solucionado,,,,,HOM1 - SEGURO DEL HOGAR,288310,,6710009,Denuncia Riesgos Varios,,,,'2021-04-28 13:20:00','2016-10-21 21:06:44','2016-10-21 21:06:44',Resuelto,,
161021-238289,,Incidente importado desde SAC,,Telecobranzas,Usuario Importador,Telemarketing,,,Solucionado,,,,,HOM1 - SEGURO DEL HOGAR,288311,,132235,Reenvío al cobro,,,,'2021-04-28 13:20:00','2016-10-21 21:06:44','2016-10-21 21:06:44',Resuelto,,
161021-238290,,Incidente importado desde SAC,,Emisión Masivos,Usuario Importador,Telemarketing,,,Solucionado,,,,,AUI1 - AUTOMOTORES INSTITUCIONES,288312,,3508814,Inclusión de GNC,,,,'2021-04-28 13:20:00','2016-10-21 21:06:44','2016-10-21 21:06:44',Resuelto,,
161021-238291,,Incidente importado desde SAC,,Daños Materiales Autos,Usuario Importador,Telemarketing,,,Solucionado,,,,,AUS1 - AUTOMOTORES,288313,,2539146,Denuncia daños materiales,,,,'2021-04-28 13:20:00','2016-10-21 21:06:44','2016-10-21 21:06:44',Resuelto,,
161021-238293,,Incidente importado desde SAC,,Daños Materiales Autos,Usuario Importador,Telemarketing,,,Solucionado,,,,,AUS1 - AUTOMOTORES,288315,,3463818,Denuncia daños materiales,,,,'2021-04-28 13:20:00','2016-10-21 21:06:45','2016-10-21 21:06:45',Resuelto,,
161021-238294,,Incidente importado desde SAC,,Daños Materiales Autos,Usuario Importador,Telemarketing,,,Solucionado,,,,,AUS1 - AUTOMOTORES,288316,,2749557,Denuncia daños materiales,,,,'2021-04-28 13:20:00','2016-10-21 21:06:45','2016-10-21 21:06:45',Resuelto,,
161021-238298,,Incidente importado desde SAC,,Riesgos Varios Casa Central,Usuario Importador,Telemarketing,,,Solucionado,,,,,HOM1 - SEGURO DEL HOGAR,288320,,1789322,Denuncia Riesgos Varios,,,,'2021-04-28 13:20:00','2016-10-21 21:06:46','2016-10-21 21:06:46',Resuelto,,
161021-238299,,Incidente importado desde SAC,,Riesgos Varios Casa Central,Usuario Importador,Telemarketing,,,Solucionado,,,,,HOM1 - SEGURO DEL HOGAR,288321,,5535974,Denuncia Riesgos Varios,,,,'2021-04-28 13:20:00','2016-10-21 21:06:46','2016-10-21 21:06:46',Resuelto,,
161021-238301,,Incidente importado desde SAC,,Riesgos Varios Casa Central,Usuario Importador,Telemarketing,,,Solucionado,,,,,HOM1 - SEGURO DEL HOGAR,288323,,1398267,Denuncia Riesgos Varios,,,,'2021-04-28 13:20:00','2016-10-21 21:06:46','2016-10-21 21:06:46',Resuelto,,
161021-238304,,Incidente importado desde SAC,,Telecobranzas,Usuario Importador,Telemarketing,,,Solucionado,,,,,HOM1 - SEGURO DEL HOGAR,288326,,3642783,Sin teléfono/Equivocado,,,,'2021-04-28 13:20:00','2016-10-21 21:06:47','2016-10-21 21:06:47',Atendido,,
161021-238306,,Incidente importado desde SAC,,Telecobranzas,Usuario Importador,Telemarketing,,,Solucionado,,,,,AUS1 - AUTOMOTORES,288328,,7343949,Sin teléfono/Equivocado,,,,'2021-04-28 13:20:00','2016-10-21 21:06:47','2016-10-21 21:06:47',Atendido,,
161021-238309,,Incidente importado desde SAC,,Daños Materiales Autos,Usuario Importador,Telemarketing,,,Solucionado,,,,,AUS1 - AUTOMOTORES,288331,,5171015,Denuncia daños materiales,,,,'2021-04-28 13:20:00','2016-10-21 21:06:48','2016-10-21 21:06:48',Resuelto,,
161021-238312,,Incidente importado desde SAC,,Daños Materiales Autos,Usuario Importador,Telemarketing,,,Solucionado,,,,,AUS1 - AUTOMOTORES,288334,,1374930,Denuncia daños materiales,,,,'2021-04-28 13:20:00','2016-10-21 21:06:48','2016-10-21 21:06:48',Resuelto,,
161021-238313,,Incidente importado desde SAC,,Daños Materiales Autos,Usuario Importador,Telemarketing,,,Solucionado,,,,,AUS1 - AUTOMOTORES,288335,,1332331,Denuncia daños materiales,,,,'2021-04-28 13:20:00','2016-10-21 21:06:48','2016-10-21 21:06:48',Resuelto,,
161021-238314,,Incidente importado desde SAC,,Telecobranzas,Usuario Importador,Telemarketing,,,Solucionado,,,,,AUS1 - AUTOMOTORES,288336,,3450893,No contesta,,,,'2021-04-28 13:20:00','2016-10-21 21:06:48','2016-10-21 21:06:48',Atendido,,
161021-238315,,Incidente importado desde SAC,,Pago Telefonico,Usuario Importador,Telemarketing,,,Solucionado,,,,,AUS1 - AUTOMOTORES,288337,,1120404,Pago telefónico,,,,'2021-04-28 13:20:00','2016-10-21 21:06:48','2016-10-21 21:06:48',Resuelto,,
161021-238316,,Incidente importado desde SAC,,Daños Materiales Autos,Usuario Importador,Telemarketing,,,Solucionado,,,,,AUS1 - AUTOMOTORES,288338,,3467788,Denuncia daños materiales,,,,'2021-04-28 13:20:00','2016-10-21 21:06:48','2016-10-21 21:06:48',Resuelto,,
