Nº de referencia,Actualizado por,Asunto,Buzón de correo,Cola,Creado por cuenta,Modo de Contacto,UsuarioIntra,Tipo de Incidente,Tipo de estado,Tipo Cobro,Siniestro,Poliza,NroCuenta,ID de producto,ID de incidente,ID de disposición,ID de contacto,ID de categoría,Grupo,FechaEfecto,Fecha de última respuesta,Fecha de última actualización,Fecha de creación,Fecha de cierre,Estado,Cuenta asignada,ID de organización
161021-204157,,Incidente importado desde SAC,,Daños Materiales Autos,Usuario Importador,Telemarketing,,,Solucionado,,,,,AUS1 - AUTOMOTORES,254185,,3208318,Denuncia daños materiales,,,,'2021-04-28 13:20:00','2016-10-21 19:55:36','2016-10-21 19:55:36',Resuelto,,
161021-204158,,Incidente importado desde SAC,,Emisión Masivos,Usuario Importador,Telemarketing,,,Solucionado,,,,,AUS1 - AUTOMOTORES,254186,,4387928,Inclusión de GNC,,,,'2021-04-28 13:20:00','2016-10-21 19:55:36','2016-10-21 19:55:36',Resuelto,,
161021-204159,,Incidente importado desde SAC,,Daños Materiales Autos,Usuario Importador,Telemarketing,,,Solucionado,,,,,AUS1 - AUTOMOTORES,254187,,7725692,Denuncia daños materiales,,,,'2021-04-28 13:20:00','2016-10-21 19:55:37','2016-10-21 19:55:37',Resuelto,,
161021-204160,,Incidente importado desde SAC,,Telecobranzas,Usuario Importador,Telemarketing,,,Solucionado,,,,,AUS1 - AUTOMOTORES,254188,,6757741,No contesta,,,,'2021-04-28 13:20:00','2016-10-21 19:55:37','2016-10-21 19:55:37',Atendido,,
161021-204162,,Incidente importado desde SAC,,Daños Materiales Autos,Usuario Importador,Telemarketing,,,Solucionado,,,,,AUS1 - AUTOMOTORES,254190,,6493775,Denuncia daños materiales,,,,'2021-04-28 13:20:00','2016-10-21 19:55:37','2016-10-21 19:55:37',Resuelto,,
161021-204163,,Incidente importado desde SAC,,Riesgos Varios Casa Central,Usuario Importador,Telemarketing,,,Solucionado,,,,,HOM1 - SEGURO DEL HOGAR,254191,,7427173,Denuncia Riesgos Varios,,,,'2021-04-28 13:20:00','2016-10-21 19:55:38','2016-10-21 19:55:38',Resuelto,,
161021-204164,,Incidente importado desde SAC,,Daños Materiales Autos,Usuario Importador,Telemarketing,,,Solucionado,,,,,AUS1 - AUTOMOTORES,254192,,5135776,Denuncia daños materiales,,,,'2021-04-28 13:20:00','2016-10-21 19:55:38','2016-10-21 19:55:38',Resuelto,,
161021-204165,,Incidente importado desde SAC,,Riesgos Varios Casa Central,Usuario Importador,Telemarketing,,,Solucionado,,,,,HOM1 - SEGURO DEL HOGAR,254193,,1366469,Denuncia Riesgos Varios,,,,'2021-04-28 13:20:00','2016-10-21 19:55:39','2016-10-21 19:55:39',Resuelto,,
161021-204167,,Incidente importado desde SAC,,Daños Materiales Autos,Usuario Importador,Telemarketing,,,Solucionado,,,,,AUS1 - AUTOMOTORES,254195,,2537406,Denuncia daños materiales,,,,'2021-04-28 13:20:00','2016-10-21 19:55:39','2016-10-21 19:55:39',Resuelto,,
161021-204168,,Incidente importado desde SAC,,Daños Materiales Autos,Usuario Importador,Telemarketing,,,Solucionado,,,,,AUS1 - AUTOMOTORES,254196,,7265795,Denuncia daños materiales,,,,'2021-04-28 13:20:00','2016-10-21 19:55:39','2016-10-21 19:55:39',Resuelto,,
161021-204169,,Incidente importado desde SAC,,Daños Materiales Autos,Usuario Importador,Telemarketing,,,Solucionado,,,,,AUS1 - AUTOMOTORES,254197,,2382253,Denuncia daños materiales,,,,'2021-04-28 13:20:00','2016-10-21 19:55:39','2016-10-21 19:55:39',Resuelto,,
161021-204171,,Incidente importado desde SAC,,Daños Materiales Autos,Usuario Importador,Telemarketing,,,Solucionado,,,,,AUS1 - AUTOMOTORES,254199,,2121809,Denuncia daños materiales,,,,'2021-04-28 13:20:00','2016-10-21 19:55:39','2016-10-21 19:55:39',Resuelto,,
161021-204173,,Incidente importado desde SAC,,Riesgos Varios Casa Central,Usuario Importador,Telemarketing,,,Solucionado,,,,,HOM1 - SEGURO DEL HOGAR,254201,,6881831,Denuncia Riesgos Varios,,,,'2021-04-28 13:20:00','2016-10-21 19:55:40','2016-10-21 19:55:40',Resuelto,,
161021-204174,,Incidente importado desde SAC,,Daños Materiales Autos,Usuario Importador,Telemarketing,,,Solucionado,,,,,AUS1 - AUTOMOTORES,254202,,1778409,Denuncia daños materiales,,,,'2021-04-28 13:20:00','2016-10-21 19:55:40','2016-10-21 19:55:40',Resuelto,,
161021-204177,,Incidente importado desde SAC,,Daños Materiales Autos,Usuario Importador,Telemarketing,,,Solucionado,,,,,AUS1 - AUTOMOTORES,254205,,1288672,Denuncia daños materiales,,,,'2021-04-28 13:20:00','2016-10-21 19:55:40','2016-10-21 19:55:40',Resuelto,,
161021-204178,,Incidente importado desde SAC,,Daños Materiales Autos,Usuario Importador,Telemarketing,,,Solucionado,,,,,AUS1 - AUTOMOTORES,254206,,6929253,Denuncia daños materiales,,,,'2021-04-28 13:20:00','2016-10-21 19:55:40','2016-10-21 19:55:40',Resuelto,,
161021-204179,,Incidente importado desde SAC,,Daños Materiales Autos,Usuario Importador,Telemarketing,,,Solucionado,,,,,AUS1 - AUTOMOTORES,254207,,1426432,Denuncia daños materiales,,,,'2021-04-28 13:20:00','2016-10-21 19:55:41','2016-10-21 19:55:41',Resuelto,,
161021-204180,,Incidente importado desde SAC,,Daños Materiales Autos,Usuario Importador,Telemarketing,,,Solucionado,,,,,AUS1 - AUTOMOTORES,254208,,3149415,Denuncia daños materiales,,,,'2021-04-28 13:20:00','2016-10-21 19:55:41','2016-10-21 19:55:41',Resuelto,,
161021-204181,,Incidente importado desde SAC,,Telecobranzas,Usuario Importador,Telemarketing,,,Solucionado,,,,,AUS1 - AUTOMOTORES,254209,,3405695,Contestador,,,,'2021-04-28 13:20:00','2016-10-21 19:55:41','2016-10-21 19:55:41',Atendido,,
161021-204183,,Incidente importado desde SAC,,Daños Materiales Autos,Usuario Importador,Telemarketing,,,Solucionado,,,,,AUS1 - AUTOMOTORES,254211,,4382085,Denuncia daños materiales,,,,'2021-04-28 13:20:00','2016-10-21 19:55:41','2016-10-21 19:55:41',Resuelto,,
161021-204184,,Incidente importado desde SAC,,Telecobranzas,Usuario Importador,Telemarketing,,,Solucionado,,,,,AUS1 - AUTOMOTORES,254212,,1371525,Sin teléfono/Equivocado,,,,'2021-04-28 13:20:00','2016-10-21 19:55:41','2016-10-21 19:55:41',Atendido,,
161021-204186,,Incidente importado desde SAC,,Pago Telefonico,Usuario Importador,Telemarketing,,,Solucionado,,,,,AUS1 - AUTOMOTORES,254214,,3291360,Pago telefónico,,,,'2021-04-28 13:20:00','2016-10-21 19:55:41','2016-10-21 19:55:41',Resuelto,,
