Nº de referencia,Actualizado por,Asunto,Buzón de correo,Cola,Creado por cuenta,Modo de Contacto,UsuarioIntra,Tipo de Incidente,Tipo de estado,Tipo Cobro,Siniestro,Poliza,NroCuenta,ID de producto,ID de incidente,ID de disposición,ID de contacto,ID de categoría,Grupo,FechaEfecto,Fecha de última respuesta,Fecha de última actualización,Fecha de creación,Fecha de cierre,Estado,Cuenta asignada,ID de organización
161021-164153,,Incidente importado desde SAC,,Daños Materiales Autos,Usuario Importador,Telemarketing,,,Solucionado,,,,,AUS1 - AUTOMOTORES,214185,,5323961,Denuncia daños materiales,,,,'2021-04-28 13:20:00','2016-10-21 18:17:52','2016-10-21 18:17:52',Resuelto,,
161021-164154,,Incidente importado desde SAC,,Daños Materiales Autos,Usuario Importador,Telemarketing,,,Solucionado,,,,,AUS1 - AUTOMOTORES,214186,,4457880,Denuncia daños materiales,,,,'2021-04-28 13:20:00','2016-10-21 18:17:52','2016-10-21 18:17:52',Resuelto,,
161021-164155,,Incidente importado desde SAC,,Riesgos Varios Casa Central,Usuario Importador,Telemarketing,,,Solucionado,,,,,HOM1 - SEGURO DEL HOGAR,214187,,3361679,Denuncia Riesgos Varios,,,,'2021-04-28 13:20:00','2016-10-21 18:17:52','2016-10-21 18:17:52',Resuelto,,
161021-164156,,Incidente importado desde SAC,,Daños Materiales Autos,Usuario Importador,Telemarketing,,,Solucionado,,,,,AUS1 - AUTOMOTORES,214188,,3308962,Denuncia daños materiales,,,,'2021-04-28 13:20:00','2016-10-21 18:17:52','2016-10-21 18:17:52',Resuelto,,
161021-164157,,Incidente importado desde SAC,,Telecobranzas,Usuario Importador,Telemarketing,,,Solucionado,,,,,AUS1 - AUTOMOTORES,214189,,1414388,Ocupado,,,,'2021-04-28 13:20:00','2016-10-21 18:17:52','2016-10-21 18:17:52',Atendido,,
161021-164158,,Incidente importado desde SAC,,Daños Materiales Autos,Usuario Importador,Telemarketing,,,Solucionado,,,,,AUS1 - AUTOMOTORES,214190,,5079029,Denuncia daños materiales,,,,'2021-04-28 13:20:00','2016-10-21 18:17:53','2016-10-21 18:17:53',Resuelto,,
161021-164160,,Incidente importado desde SAC,,Telecobranzas,Usuario Importador,Telemarketing,,,Solucionado,,,,,AUS1 - AUTOMOTORES,214192,,4215704,Contestador,,,,'2021-04-28 13:20:00','2016-10-21 18:17:53','2016-10-21 18:17:53',Atendido,,
161021-164163,,Incidente importado desde SAC,,Emisión Masivos,Usuario Importador,Telemarketing,,,Solucionado,,,,,AUS1 - AUTOMOTORES,214195,,1383732,Modificaciones scoring,,,,'2021-04-28 13:20:00','2016-10-21 18:17:54','2016-10-21 18:17:54',Resuelto,,
161021-164164,,Incidente importado desde SAC,,Riesgos Varios Casa Central,Usuario Importador,Telemarketing,,,Solucionado,,,,,HOM1 - SEGURO DEL HOGAR,214196,,1292390,Denuncia Riesgos Varios,,,,'2021-04-28 13:20:00','2016-10-21 18:17:54','2016-10-21 18:17:54',Resuelto,,
161021-164166,,Incidente importado desde SAC,,Emisión Masivos,Usuario Importador,Telemarketing,,,Solucionado,,,,,HOM1 - SEGURO DEL HOGAR,214198,,7063701,Modificación medio de pago,,,,'2021-04-28 13:20:00','2016-10-21 18:17:55','2016-10-21 18:17:55',Resuelto,,
161021-164169,,Incidente importado desde SAC,,Telecobranzas,Usuario Importador,Telemarketing,,,Solucionado,,,,,AUS1 - AUTOMOTORES,214201,,2179677,Mensaje,,,,'2021-04-28 13:20:00','2016-10-21 18:17:55','2016-10-21 18:17:55',Atendido,,
161021-164170,,Incidente importado desde SAC,,Daños Materiales Autos,Usuario Importador,Telemarketing,,,Solucionado,,,,,AUS1 - AUTOMOTORES,214202,,3502443,Denuncia daños materiales,,,,'2021-04-28 13:20:00','2016-10-21 18:17:56','2016-10-21 18:17:56',Resuelto,,
161021-164171,,Incidente importado desde SAC,,Cac,Usuario Importador,Telemarketing,,,Solucionado,,,,,AUS1 - AUTOMOTORES,214203,,3231452,Endosos CAC,,,,'2021-04-28 13:20:00','2016-10-21 18:17:56','2016-10-21 18:17:56',Atendido,,
161021-164173,,Incidente importado desde SAC,,Oficina Rosario,Usuario Importador,Telemarketing,,,Solucionado,,,,,HOM1 - SEGURO DEL HOGAR,214205,,3455271,Riesgos Varios Rosario,,,,'2021-04-28 13:20:00','2016-10-21 18:17:56','2016-10-21 18:17:56',Resuelto,,
161021-164174,,Incidente importado desde SAC,,Daños Materiales Autos,Usuario Importador,Telemarketing,,,Solucionado,,,,,AUS1 - AUTOMOTORES,214206,,6837916,Denuncia daños materiales,,,,'2021-04-28 13:20:00','2016-10-21 18:17:56','2016-10-21 18:17:56',Resuelto,,
161021-164176,,Incidente importado desde SAC,,Daños Materiales Autos,Usuario Importador,Telemarketing,,,Solucionado,,,,,AUS1 - AUTOMOTORES,214208,,2986610,Denuncia daños materiales,,,,'2021-04-28 13:20:00','2016-10-21 18:17:56','2016-10-21 18:17:56',Resuelto,,
161021-164177,,Incidente importado desde SAC,,Telecobranzas,Usuario Importador,Telemarketing,,,Solucionado,,,,,AUS1 - AUTOMOTORES,214209,,3524595,No contesta,,,,'2021-04-28 13:20:00','2016-10-21 18:17:57','2016-10-21 18:17:57',Atendido,,
161021-164178,,Incidente importado desde SAC,,Daños Materiales Autos,Usuario Importador,Telemarketing,,,Solucionado,,,,,AUS1 - AUTOMOTORES,214210,,5875653,Denuncia daños materiales,,,,'2021-04-28 13:20:00','2016-10-21 18:17:57','2016-10-21 18:17:57',Resuelto,,
161021-164179,,Incidente importado desde SAC,,Daños Materiales Autos,Usuario Importador,Telemarketing,,,Solucionado,,,,,AUS1 - AUTOMOTORES,214211,,1325452,Denuncia daños materiales,,,,'2021-04-28 13:20:00','2016-10-21 18:17:57','2016-10-21 18:17:57',Resuelto,,
161021-164180,,Incidente importado desde SAC,,Daños Materiales Autos,Usuario Importador,Telemarketing,,,Solucionado,,,,,AUS1 - AUTOMOTORES,214212,,6165965,Denuncia daños materiales,,,,'2021-04-28 13:20:00','2016-10-21 18:17:57','2016-10-21 18:17:57',Resuelto,,
161021-164182,,Incidente importado desde SAC,,Daños Materiales Autos,Usuario Importador,Telemarketing,,,Solucionado,,,,,AUS1 - AUTOMOTORES,214214,,3936140,Denuncia daños materiales,,,,'2021-04-28 13:20:00','2016-10-21 18:17:57','2016-10-21 18:17:57',Resuelto,,
161021-164183,,Incidente importado desde SAC,,Daños Materiales Autos,Usuario Importador,Telemarketing,,,Solucionado,,,,,AUS1 - AUTOMOTORES,214215,,5000011,Denuncia daños materiales,,,,'2021-04-28 13:20:00','2016-10-21 18:17:57','2016-10-21 18:17:57',Resuelto,,
161021-164184,,Incidente importado desde SAC,,Daños Materiales Autos,Usuario Importador,Telemarketing,,,Solucionado,,,,,AUS1 - AUTOMOTORES,214216,,5600621,Denuncia daños materiales,,,,'2021-04-28 13:20:00','2016-10-21 18:17:57','2016-10-21 18:17:57',Resuelto,,
