Nº de referencia,Actualizado por,Asunto,Buzón de correo,Cola,Creado por cuenta,Modo de Contacto,UsuarioIntra,Tipo de Incidente,Tipo de estado,Tipo Cobro,Siniestro,Poliza,NroCuenta,ID de producto,ID de incidente,ID de disposición,ID de contacto,ID de categoría,Grupo,FechaEfecto,Fecha de última respuesta,Fecha de última actualización,Fecha de creación,Fecha de cierre,Estado,Cuenta asignada,ID de organización
161021-194159,,Incidente importado desde SAC,,Daños Materiales Autos,Usuario Importador,Telemarketing,,,Solucionado,,,,,AUS1 - AUTOMOTORES,244185,,1380230,Denuncia daños materiales,,,,'2021-04-28 13:20:00','2016-10-21 19:32:57','2016-10-21 19:32:57',Resuelto,,
161021-194162,,Incidente importado desde SAC,,Telecobranzas,Usuario Importador,Telemarketing,,,Solucionado,,,,,AUS1 - AUTOMOTORES,244188,,7598433,Mensaje,,,,'2021-04-28 13:20:00','2016-10-21 19:32:57','2016-10-21 19:32:57',Atendido,,
161021-194163,,Incidente importado desde SAC,,Mailing,Usuario Importador,Telemarketing,,,Solucionado,,,,,RCG2 - RESPONSABILIDAD CIVIL,244189,,3395702,Certificado de cobertura,,,,'2021-04-28 13:20:00','2016-10-21 19:32:57','2016-10-21 19:32:57',Resuelto,,
161021-194165,,Incidente importado desde SAC,,Oficina Rosario,Usuario Importador,Telemarketing,,,Solucionado,,,,,HOM1 - SEGURO DEL HOGAR,244191,,415686,Riesgos Varios Rosario,,,,'2021-04-28 13:20:00','2016-10-21 19:32:58','2016-10-21 19:32:58',Resuelto,,
161021-194166,,Incidente importado desde SAC,,Daños Materiales Autos,Usuario Importador,Telemarketing,,,Solucionado,,,,,AUS1 - AUTOMOTORES,244192,,5052159,Denuncia daños materiales,,,,'2021-04-28 13:20:00','2016-10-21 19:32:58','2016-10-21 19:32:58',Resuelto,,
161021-194171,,Incidente importado desde SAC,,Daños Materiales Autos,Usuario Importador,Telemarketing,,,Solucionado,,,,,AUS1 - AUTOMOTORES,244197,,2821745,Denuncia daños materiales,,,,'2021-04-28 13:20:00','2016-10-21 19:32:59','2016-10-21 19:32:59',Resuelto,,
161021-194176,,Incidente importado desde SAC,,Riesgos Varios Casa Central,Usuario Importador,Telemarketing,,,Solucionado,,,,,HOM1 - SEGURO DEL HOGAR,244202,,6223024,Riesgos Varios Casa Central,,,,'2021-04-28 13:20:00','2016-10-21 19:32:59','2016-10-21 19:32:59',Resuelto,,
161021-194180,,Incidente importado desde SAC,,Daños Materiales Autos,Usuario Importador,Telemarketing,,,Solucionado,,,,,AUS1 - AUTOMOTORES,244206,,1288189,Denuncia daños materiales,,,,'2021-04-28 13:20:00','2016-10-21 19:33:00','2016-10-21 19:33:00',Resuelto,,
161021-194182,,Incidente importado desde SAC,,Daños Materiales Autos,Usuario Importador,Telemarketing,,,Solucionado,,,,,AUS1 - AUTOMOTORES,244208,,2297525,Denuncia daños materiales,,,,'2021-04-28 13:20:00','2016-10-21 19:33:00','2016-10-21 19:33:00',Resuelto,,
161021-194184,,Incidente importado desde SAC,,Cac,Usuario Importador,Telemarketing,,,Solucionado,,,,,AUS1 - AUTOMOTORES,244210,,5983107,Endosos CAC,,,,'2021-04-28 13:20:00','2016-10-21 19:33:01','2016-10-21 19:33:01',Resuelto,,
161021-194185,,Incidente importado desde SAC,,Daños Materiales Autos,Usuario Importador,Telemarketing,,,Solucionado,,,,,AUS1 - AUTOMOTORES,244211,,7504182,Denuncia daños materiales,,,,'2021-04-28 13:20:00','2016-10-21 19:33:01','2016-10-21 19:33:01',Resuelto,,
161021-194187,,Incidente importado desde SAC,,Riesgos Varios Casa Central,Usuario Importador,Telemarketing,,,Solucionado,,,,,HOM1 - SEGURO DEL HOGAR,244213,,3141246,Denuncia Riesgos Varios,,,,'2021-04-28 13:20:00','2016-10-21 19:33:01','2016-10-21 19:33:01',Resuelto,,
161021-194191,,Incidente importado desde SAC,,Oficina Rosario,Usuario Importador,Telemarketing,,,Solucionado,,,,,AUS1 - AUTOMOTORES,244217,,3831536,Daños materiales Rosario,,,,'2021-04-28 13:20:00','2016-10-21 19:33:02','2016-10-21 19:33:02',Resuelto,,
161021-194192,,Incidente importado desde SAC,,Riesgos Varios Casa Central,Usuario Importador,Telemarketing,,,Solucionado,,,,,HOM1 - SEGURO DEL HOGAR,244218,,5441659,Denuncia Riesgos Varios,,,,'2021-04-28 13:20:00','2016-10-21 19:33:02','2016-10-21 19:33:02',Resuelto,,
161021-194193,,Incidente importado desde SAC,,Daños Materiales Autos,Usuario Importador,Telemarketing,,,Solucionado,,,,,AUS1 - AUTOMOTORES,244219,,7370155,Denuncia daños materiales,,,,'2021-04-28 13:20:00','2016-10-21 19:33:02','2016-10-21 19:33:02',Resuelto,,
161021-194194,,Incidente importado desde SAC,,Telecobranzas,Usuario Importador,Telemarketing,,,Solucionado,,,,,AUI1 - AUTOMOTORES INSTITUCIONES,244220,,5674895,Mensaje,,,,'2021-04-28 13:20:00','2016-10-21 19:33:03','2016-10-21 19:33:03',Atendido,,
161021-194197,,Incidente importado desde SAC,,Daños Materiales Autos,Usuario Importador,Telemarketing,,,Solucionado,,,,,AUS1 - AUTOMOTORES,244223,,1890087,Denuncia daños materiales,,,,'2021-04-28 13:20:00','2016-10-21 19:33:03','2016-10-21 19:33:03',Resuelto,,
161021-194198,,Incidente importado desde SAC,,Emisión Masivos,Usuario Importador,Telemarketing,,,Solucionado,,,,,AUS1 - AUTOMOTORES,244224,,4336153,Modificación medio de pago,,,,'2021-04-28 13:20:00','2016-10-21 19:33:03','2016-10-21 19:33:03',Resuelto,,
161021-194199,,Incidente importado desde SAC,,Daños Materiales Autos,Usuario Importador,Telemarketing,,,Solucionado,,,,,AUS1 - AUTOMOTORES,244225,,2800472,Denuncia daños materiales,,,,'2021-04-28 13:20:00','2016-10-21 19:33:03','2016-10-21 19:33:03',Resuelto,,
161021-194200,,Incidente importado desde SAC,,Daños Materiales Autos,Usuario Importador,Telemarketing,,,Solucionado,,,,,AUS1 - AUTOMOTORES,244226,,3760464,Denuncia daños materiales,,,,'2021-04-28 13:20:00','2016-10-21 19:33:03','2016-10-21 19:33:03',Resuelto,,
161021-194201,,Incidente importado desde SAC,,Pago Telefonico,Usuario Importador,Telemarketing,,,Solucionado,,,,,AUS1 - AUTOMOTORES,244227,,437941,Pago telefónico,,,,'2021-04-28 13:20:00','2016-10-21 19:33:04','2016-10-21 19:33:04',Resuelto,,
161021-194202,,Incidente importado desde SAC,,Cac,Usuario Importador,Telemarketing,,,Solucionado,,,,,AUS1 - AUTOMOTORES,244228,,5958655,Endosos CAC,,,,'2021-04-28 13:20:00','2016-10-21 19:33:04','2016-10-21 19:33:04',Atendido,,
161021-194203,,Incidente importado desde SAC,,Daños Materiales Autos,Usuario Importador,Telemarketing,,,Solucionado,,,,,AUS1 - AUTOMOTORES,244229,,6206273,Denuncia daños materiales,,,,'2021-04-28 13:20:00','2016-10-21 19:33:05','2016-10-21 19:33:05',Resuelto,,
161021-194204,,Incidente importado desde SAC,,Emisión Masivos,Usuario Importador,Carta Documento,,,Solucionado,,,,,HOM1 - SEGURO DEL HOGAR,244230,,3012819,No califica,,,,'2021-04-28 13:20:00','2016-10-21 19:33:06','2016-10-21 19:33:06',Resuelto,,
161021-194208,,Incidente importado desde SAC,,Pago Telefonico,Usuario Importador,Telemarketing,,,Solucionado,,,,,HOM1 - SEGURO DEL HOGAR,244234,,4816036,Pago telefónico,,,,'2021-04-28 13:20:00','2016-10-21 19:33:07','2016-10-21 19:33:07',Resuelto,,
