Nº de referencia,Actualizado por,Asunto,Buzón de correo,Cola,Creado por cuenta,Modo de Contacto,UsuarioIntra,Tipo de Incidente,Tipo de estado,Tipo Cobro,Siniestro,Poliza,NroCuenta,ID de producto,ID de incidente,ID de disposición,ID de contacto,ID de categoría,Grupo,FechaEfecto,Fecha de última respuesta,Fecha de última actualización,Fecha de creación,Fecha de cierre,Estado,Cuenta asignada,ID de organización
170728-030263,,Consulta,Contactenos Patrimoniales,,,,,,Solucionado,,,,,Seguros Todos,1674240,,1409604,Acción de Marketing,Administradores,,,'2018-01-02 11:32:33','2017-07-28 01:47:12','2017-07-28 01:47:12',Resuelto,Leonardo Villalba,
170728-030519,,Consulta,Contactenos Patrimoniales,,,,,,Solucionado,,,,,Seguros Todos,1674496,,1412463,Acción de Marketing,Administradores,,,'2018-01-02 11:32:33','2017-07-28 01:48:26','2017-07-28 01:48:26',Resuelto,Leonardo Villalba,
170728-030775,,Consulta,Contactenos Patrimoniales,,,,,,Solucionado,,,,,Seguros Todos,1674752,,1416010,Acción de Marketing,Administradores,,,'2018-01-02 11:32:33','2017-07-28 01:49:10','2017-07-28 01:49:10',Resuelto,Leonardo Villalba,
170728-031031,,Consulta,Contactenos Patrimoniales,,,,,,Solucionado,,,,,Seguros Todos,1675008,,1426227,Acción de Marketing,Administradores,,,'2018-01-02 11:32:33','2017-07-28 01:49:57','2017-07-28 01:49:57',Resuelto,Leonardo Villalba,
170728-031287,,Consulta,Contactenos Patrimoniales,,,,,,Solucionado,,,,,Seguros Todos,1675264,,1431245,Acción de Marketing,Administradores,,,'2018-01-02 11:32:33','2017-07-28 01:50:43','2017-07-28 01:50:43',Resuelto,Leonardo Villalba,
170728-031543,,Consulta,Contactenos Patrimoniales,,,,,,Solucionado,,,,,Seguros Todos,1675520,,1434885,Acción de Marketing,Administradores,,,'2018-01-02 11:32:33','2017-07-28 01:51:29','2017-07-28 01:51:29',Resuelto,Leonardo Villalba,
170728-031799,,Consulta,Contactenos Patrimoniales,,,,,,Solucionado,,,,,Seguros Todos,1675776,,1563116,Acción de Marketing,Administradores,,,'2018-01-02 11:32:33','2017-07-28 01:52:16','2017-07-28 01:52:16',Resuelto,Leonardo Villalba,
170728-032055,,Consulta,Contactenos Patrimoniales,,,,,,Solucionado,,,,,Seguros Todos,1676032,,1716042,Acción de Marketing,Administradores,,,'2018-01-02 11:32:33','2017-07-28 01:53:01','2017-07-28 01:53:01',Resuelto,Leonardo Villalba,
170728-032311,,Consulta,Contactenos Patrimoniales,,,,,,Solucionado,,,,,Seguros Todos,1676288,,1727703,Acción de Marketing,Administradores,,,'2018-01-02 11:32:33','2017-07-28 01:53:49','2017-07-28 01:53:49',Resuelto,Leonardo Villalba,
170728-032567,,Consulta,Contactenos Patrimoniales,,,,,,Solucionado,,,,,Seguros Todos,1676544,,1739269,Acción de Marketing,Administradores,,,'2018-01-02 11:32:33','2017-07-28 01:54:43','2017-07-28 01:54:43',Resuelto,Leonardo Villalba,
170728-032823,,Consulta,Contactenos Patrimoniales,,,,,,Solucionado,,,,,Seguros Todos,1676800,,1751987,Acción de Marketing,Administradores,,,'2018-01-02 11:32:33','2017-07-28 01:55:32','2017-07-28 01:55:32',Resuelto,Leonardo Villalba,
170728-033079,,Consulta,Contactenos Patrimoniales,,,,,,Solucionado,,,,,Seguros Todos,1677056,,1764193,Acción de Marketing,Administradores,,,'2018-01-02 11:32:33','2017-07-28 01:56:19','2017-07-28 01:56:19',Resuelto,Leonardo Villalba,
170728-033335,,Consulta,Contactenos Patrimoniales,,,,,,Solucionado,,,,,Seguros Todos,1677312,,1775627,Acción de Marketing,Administradores,,,'2018-01-02 11:32:33','2017-07-28 01:57:04','2017-07-28 01:57:04',Resuelto,Leonardo Villalba,
