Nº de referencia,Actualizado por,Asunto,Buzón de correo,Cola,Creado por cuenta,Modo de Contacto,UsuarioIntra,Tipo de Incidente,Tipo de estado,Tipo Cobro,Siniestro,Poliza,NroCuenta,ID de producto,ID de incidente,ID de disposición,ID de contacto,ID de categoría,Grupo,FechaEfecto,Fecha de última respuesta,Fecha de última actualización,Fecha de creación,Fecha de cierre,Estado,Cuenta asignada,ID de organización
170728-059959,,Consulta,Contactenos Patrimoniales,,,,,,Solucionado,,,,,Seguros Todos,1703936,,3237865,Acción de Marketing,Administradores,,,'2018-01-02 11:32:33','2017-07-28 03:22:29','2017-07-28 03:22:29',Resuelto,Leonardo Villalba,
170728-050231,,Consulta,Contactenos Patrimoniales,,,,,,Solucionado,,,,,Seguros Todos,1694208,,2778506,Acción de Marketing,Administradores,,,'2018-01-02 11:32:33','2017-07-28 02:48:07','2017-07-28 02:48:07',Resuelto,Leonardo Villalba,
170728-050487,,Consulta,Contactenos Patrimoniales,,,,,,Solucionado,,,,,Seguros Todos,1694464,,2794588,Acción de Marketing,Administradores,,,'2018-01-02 11:32:33','2017-07-28 02:48:47','2017-07-28 02:48:47',Resuelto,Leonardo Villalba,
170728-050743,,Consulta,Contactenos Patrimoniales,,,,,,Solucionado,,,,,Seguros Todos,1694720,,2807467,Acción de Marketing,Administradores,,,'2018-01-02 11:32:33','2017-07-28 02:49:27','2017-07-28 02:49:27',Resuelto,Leonardo Villalba,
170728-050999,,Consulta,Contactenos Patrimoniales,,,,,,Solucionado,,,,,Seguros Todos,1694976,,2818121,Acción de Marketing,Administradores,,,'2018-01-02 11:32:33','2017-07-28 02:50:07','2017-07-28 02:50:07',Resuelto,Leonardo Villalba,
170728-051255,,Consulta,Contactenos Patrimoniales,,,,,,Solucionado,,,,,Seguros Todos,1695232,,2827728,Acción de Marketing,Administradores,,,'2018-01-02 11:32:33','2017-07-28 02:50:49','2017-07-28 02:50:49',Resuelto,Leonardo Villalba,
170728-051511,,Consulta,Contactenos Patrimoniales,,,,,,Solucionado,,,,,Seguros Todos,1695488,,2839960,Acción de Marketing,Administradores,,,'2018-01-02 11:32:33','2017-07-28 02:51:28','2017-07-28 02:51:28',Resuelto,Leonardo Villalba,
170728-051767,,Consulta,Contactenos Patrimoniales,,,,,,Solucionado,,,,,Seguros Todos,1695744,,2849017,Acción de Marketing,Administradores,,,'2018-01-02 11:32:33','2017-07-28 02:52:09','2017-07-28 02:52:09',Resuelto,Leonardo Villalba,
170728-052023,,Consulta,Contactenos Patrimoniales,,,,,,Solucionado,,,,,Seguros Todos,1696000,,2860524,Acción de Marketing,Administradores,,,'2018-01-02 11:32:33','2017-07-28 02:52:57','2017-07-28 02:52:57',Resuelto,Leonardo Villalba,
170728-052279,,Consulta,Contactenos Patrimoniales,,,,,,Solucionado,,,,,Seguros Todos,1696256,,2878325,Acción de Marketing,Administradores,,,'2018-01-02 11:32:33','2017-07-28 02:53:37','2017-07-28 02:53:37',Resuelto,Leonardo Villalba,
170728-052535,,Consulta,Contactenos Patrimoniales,,,,,,Solucionado,,,,,Seguros Todos,1696512,,2889327,Acción de Marketing,Administradores,,,'2018-01-02 11:32:33','2017-07-28 02:54:18','2017-07-28 02:54:18',Resuelto,Leonardo Villalba,
170728-052791,,Consulta,Contactenos Patrimoniales,,,,,,Solucionado,,,,,Seguros Todos,1696768,,2898870,Acción de Marketing,Administradores,,,'2018-01-02 11:32:33','2017-07-28 02:54:58','2017-07-28 02:54:58',Resuelto,Leonardo Villalba,
170728-053047,,Consulta,Contactenos Patrimoniales,,,,,,Solucionado,,,,,Seguros Todos,1697024,,2912312,Acción de Marketing,Administradores,,,'2018-01-02 11:32:33','2017-07-28 02:55:40','2017-07-28 02:55:40',Resuelto,Leonardo Villalba,
170728-053303,,Consulta,Contactenos Patrimoniales,,,,,,Solucionado,,,,,Seguros Todos,1697280,,2927051,Acción de Marketing,Administradores,,,'2018-01-02 11:32:33','2017-07-28 02:56:20','2017-07-28 02:56:20',Resuelto,Leonardo Villalba,
170728-053559,,Consulta,Contactenos Patrimoniales,,,,,,Solucionado,,,,,Seguros Todos,1697536,,2936861,Acción de Marketing,Administradores,,,'2018-01-02 11:32:33','2017-07-28 02:57:00','2017-07-28 02:57:00',Resuelto,Leonardo Villalba,
170728-053815,,Consulta,Contactenos Patrimoniales,,,,,,Solucionado,,,,,Seguros Todos,1697792,,2946025,Acción de Marketing,Administradores,,,'2018-01-02 11:32:33','2017-07-28 02:57:43','2017-07-28 02:57:43',Resuelto,Leonardo Villalba,
170728-054071,,Consulta,Contactenos Patrimoniales,,,,,,Solucionado,,,,,Seguros Todos,1698048,,2960251,Acción de Marketing,Administradores,,,'2018-01-02 11:32:33','2017-07-28 02:58:31','2017-07-28 02:58:31',Resuelto,Leonardo Villalba,
170728-054327,,Consulta,Contactenos Patrimoniales,,,,,,Solucionado,,,,,Seguros Todos,1698304,,2971221,Acción de Marketing,Administradores,,,'2018-01-02 11:32:33','2017-07-28 02:59:15','2017-07-28 02:59:15',Resuelto,Leonardo Villalba,
170728-054583,,Consulta,Contactenos Patrimoniales,,,,,,Solucionado,,,,,Seguros Todos,1698560,,2981713,Acción de Marketing,Administradores,,,'2018-01-02 11:32:33','2017-07-28 03:00:01','2017-07-28 03:00:01',Resuelto,Leonardo Villalba,
170728-054839,,Consulta,Contactenos Patrimoniales,,,,,,Solucionado,,,,,Seguros Todos,1698816,,2992016,Acción de Marketing,Administradores,,,'2018-01-02 11:32:33','2017-07-28 03:00:47','2017-07-28 03:00:47',Resuelto,Leonardo Villalba,
170728-055095,,Consulta,Contactenos Patrimoniales,,,,,,Solucionado,,,,,Seguros Todos,1699072,,3004262,Acción de Marketing,Administradores,,,'2018-01-02 11:32:33','2017-07-28 03:01:26','2017-07-28 03:01:26',Resuelto,Leonardo Villalba,
170728-055351,,Consulta,Contactenos Patrimoniales,,,,,,Solucionado,,,,,Seguros Todos,1699328,,3015443,Acción de Marketing,Administradores,,,'2018-01-02 11:32:33','2017-07-28 03:02:08','2017-07-28 03:02:08',Resuelto,Leonardo Villalba,
170728-055607,,Consulta,Contactenos Patrimoniales,,,,,,Solucionado,,,,,Seguros Todos,1699584,,3027519,Acción de Marketing,Administradores,,,'2018-01-02 11:32:33','2017-07-28 03:02:50','2017-07-28 03:02:50',Resuelto,Leonardo Villalba,
170728-055863,,Consulta,Contactenos Patrimoniales,,,,,,Solucionado,,,,,Seguros Todos,1699840,,3041609,Acción de Marketing,Administradores,,,'2018-01-02 11:32:33','2017-07-28 03:03:34','2017-07-28 03:03:34',Resuelto,Leonardo Villalba,
170728-056119,,Consulta,Contactenos Patrimoniales,,,,,,Solucionado,,,,,Seguros Todos,1700096,,3054610,Acción de Marketing,Administradores,,,'2018-01-02 11:32:33','2017-07-28 03:04:24','2017-07-28 03:04:24',Resuelto,Leonardo Villalba,
170728-056375,,Consulta,Contactenos Patrimoniales,,,,,,Solucionado,,,,,Seguros Todos,1700352,,3064050,Acción de Marketing,Administradores,,,'2018-01-02 11:32:33','2017-07-28 03:05:36','2017-07-28 03:05:36',Resuelto,Leonardo Villalba,
