Nº de referencia,Actualizado por,Asunto,Buzón de correo,Cola,Creado por cuenta,Modo de Contacto,UsuarioIntra,Tipo de Incidente,Tipo de estado,Tipo Cobro,Siniestro,Poliza,NroCuenta,ID de producto,ID de incidente,ID de disposición,ID de contacto,ID de categoría,Grupo,FechaEfecto,Fecha de última respuesta,Fecha de última actualización,Fecha de creación,Fecha de cierre,Estado,Cuenta asignada,ID de organización
161021-014039,,Incidente importado desde SAC,,Daños Materiales Autos,Usuario Importador,Telemarketing,,,Solucionado,,,,,AUS1 - AUTOMOTORES,64185,,3404001,Denuncia daños materiales,,,,'2021-04-28 13:20:00','2016-10-21 09:19:06','2016-10-21 09:19:06',Resuelto,,
161021-014040,,Incidente importado desde SAC,,Daños Materiales Autos,Usuario Importador,Telemarketing,,,Solucionado,,,,,AUS1 - AUTOMOTORES,64186,,3418175,Denuncia daños materiales,,,,'2021-04-28 13:20:00','2016-10-21 09:19:06','2016-10-21 09:19:06',Resuelto,,
161021-014041,,Incidente importado desde SAC,,Riesgos Varios Casa Central,Usuario Importador,Telemarketing,,,Solucionado,,,,,HOM1 - SEGURO DEL HOGAR,64187,,6720337,Denuncia Riesgos Varios,,,,'2021-04-28 13:20:00','2016-10-21 09:19:06','2016-10-21 09:19:06',Resuelto,,
161021-014044,,Incidente importado desde SAC,,Daños Materiales Autos,Usuario Importador,Telemarketing,,,Solucionado,,,,,AUS1 - AUTOMOTORES,64190,,7250599,Denuncia daños materiales,,,,'2021-04-28 13:20:00','2016-10-21 09:19:07','2016-10-21 09:19:07',Resuelto,,
161021-014047,,Incidente importado desde SAC,,Daños Materiales Autos,Usuario Importador,Telemarketing,,,Solucionado,,,,,AUS1 - AUTOMOTORES,64193,,3430149,Denuncia daños materiales,,,,'2021-04-28 13:20:00','2016-10-21 09:19:08','2016-10-21 09:19:08',Resuelto,,
161021-014048,,Incidente importado desde SAC,,Telecobranzas,Usuario Importador,Telemarketing,,,Solucionado,,,,,AUS1 - AUTOMOTORES,64194,,3157644,Sin teléfono/Equivocado,,,,'2021-04-28 13:20:00','2016-10-21 09:19:09','2016-10-21 09:19:09',Atendido,,
161021-014049,,Incidente importado desde SAC,,Riesgos Varios Casa Central,Usuario Importador,Telemarketing,,,Solucionado,,,,,HOM1 - SEGURO DEL HOGAR,64195,,5662602,Denuncia Riesgos Varios,,,,'2021-04-28 13:20:00','2016-10-21 09:19:09','2016-10-21 09:19:09',Resuelto,,
161021-014050,,Incidente importado desde SAC,,Daños Materiales Autos,Usuario Importador,Telemarketing,,,Solucionado,,,,,AUS1 - AUTOMOTORES,64196,,916455,Denuncia daños materiales,,,,'2021-04-28 13:20:00','2016-10-21 09:19:10','2016-10-21 09:19:10',Resuelto,,
161021-014052,,Incidente importado desde SAC,,Daños Materiales Autos,Usuario Importador,Telemarketing,,,Solucionado,,,,,AUS1 - AUTOMOTORES,64198,,7264472,Denuncia daños materiales,,,,'2021-04-28 13:20:00','2016-10-21 09:19:10','2016-10-21 09:19:10',Resuelto,,
161021-014053,,Incidente importado desde SAC,,Daños Materiales Autos,Usuario Importador,Telemarketing,,,Solucionado,,,,,AUS1 - AUTOMOTORES,64199,,4429069,Denuncia daños materiales,,,,'2021-04-28 13:20:00','2016-10-21 09:19:11','2016-10-21 09:19:11',Resuelto,,
161021-014054,,Incidente importado desde SAC,,Daños Materiales Autos,Usuario Importador,Telemarketing,,,Solucionado,,,,,AUS1 - AUTOMOTORES,64200,,6011308,Denuncia daños materiales,,,,'2021-04-28 13:20:00','2016-10-21 09:19:11','2016-10-21 09:19:11',Resuelto,,
161021-014056,,Incidente importado desde SAC,,Daños Materiales Autos,Usuario Importador,Telemarketing,,,Solucionado,,,,,AUS1 - AUTOMOTORES,64202,,2436576,Denuncia daños materiales,,,,'2021-04-28 13:20:00','2016-10-21 09:19:11','2016-10-21 09:19:11',Resuelto,,
161021-014058,,Incidente importado desde SAC,,Daños Materiales Autos,Usuario Importador,Telemarketing,,,Solucionado,,,,,AUS1 - AUTOMOTORES,64204,,7087207,Denuncia daños materiales,,,,'2021-04-28 13:20:00','2016-10-21 09:19:11','2016-10-21 09:19:11',Resuelto,,
161021-014059,,Incidente importado desde SAC,,Daños Materiales Autos,Usuario Importador,Telemarketing,,,Solucionado,,,,,AUS1 - AUTOMOTORES,64205,,1425352,Denuncia daños materiales,,,,'2021-04-28 13:20:00','2016-10-21 09:19:11','2016-10-21 09:19:11',Resuelto,,
161021-014062,,Incidente importado desde SAC,,Daños Materiales Autos,Usuario Importador,Telemarketing,,,Solucionado,,,,,AUS1 - AUTOMOTORES,64209,,5324027,Denuncia daños materiales,,,,'2021-04-28 13:20:00','2016-10-21 09:19:12','2016-10-21 09:19:12',Resuelto,,
161021-014063,,Incidente importado desde SAC,,Riesgos Varios Casa Central,Usuario Importador,Telemarketing,,,Solucionado,,,,,HOM1 - SEGURO DEL HOGAR,64210,,1359520,Denuncia Riesgos Varios,,,,'2021-04-28 13:20:00','2016-10-21 09:19:12','2016-10-21 09:19:12',Resuelto,,
161021-014064,,Incidente importado desde SAC,,Daños Materiales Autos,Usuario Importador,Telemarketing,,,Solucionado,,,,,AUS1 - AUTOMOTORES,64211,,1338236,Denuncia daños materiales,,,,'2021-04-28 13:20:00','2016-10-21 09:19:13','2016-10-21 09:19:13',Resuelto,,
161021-014065,,Incidente importado desde SAC,,Daños Materiales Autos,Usuario Importador,Telemarketing,,,Solucionado,,,,,AUS1 - AUTOMOTORES,64212,,6766392,Denuncia daños materiales,,,,'2021-04-28 13:20:00','2016-10-21 09:19:13','2016-10-21 09:19:13',Resuelto,,
161021-014069,,Incidente importado desde SAC,,Daños Materiales Autos,Usuario Importador,Telemarketing,,,Solucionado,,,,,AUS1 - AUTOMOTORES,64216,,3463891,Denuncia daños materiales,,,,'2021-04-28 13:20:00','2016-10-21 09:19:13','2016-10-21 09:19:13',Resuelto,,
161021-014070,,Incidente importado desde SAC,,Riesgos Varios Casa Central,Usuario Importador,Telemarketing,,,Solucionado,,,,,HOM1 - SEGURO DEL HOGAR,64217,,3268869,Denuncia Riesgos Varios,,,,'2021-04-28 13:20:00','2016-10-21 09:19:13','2016-10-21 09:19:13',Resuelto,,
161021-014071,,Incidente importado desde SAC,,Daños Materiales Autos,Usuario Importador,Telemarketing,,,Solucionado,,,,,AUS1 - AUTOMOTORES,64218,,6029917,Denuncia daños materiales,,,,'2021-04-28 13:20:00','2016-10-21 09:19:14','2016-10-21 09:19:14',Resuelto,,
161021-014072,,Incidente importado desde SAC,,Riesgos Varios Casa Central,Usuario Importador,Telemarketing,,,Solucionado,,,,,HOM1 - SEGURO DEL HOGAR,64219,,997681,Denuncia Riesgos Varios,,,,'2021-04-28 13:20:00','2016-10-21 09:19:14','2016-10-21 09:19:14',Resuelto,,
