Nº de referencia,Actualizado por,Asunto,Buzón de correo,Cola,Creado por cuenta,Modo de Contacto,UsuarioIntra,Tipo de Incidente,Tipo de estado,Tipo Cobro,Siniestro,Poliza,NroCuenta,ID de producto,ID de incidente,ID de disposición,ID de contacto,ID de categoría,Grupo,FechaEfecto,Fecha de última respuesta,Fecha de última actualización,Fecha de creación,Fecha de cierre,Estado,Cuenta asignada,ID de organización
161021-054082,,Incidente importado desde SAC,,Riesgos Varios Casa Central,Usuario Importador,Telemarketing,,,Solucionado,,,,,HOM1 - SEGURO DEL HOGAR,104185,,5089622,Denuncia Riesgos Varios,,,,'2021-04-28 13:20:00','2016-10-21 12:06:55','2016-10-21 12:06:55',Resuelto,,
161021-054083,,Incidente importado desde SAC,,Daños Materiales Autos,Usuario Importador,Telemarketing,,,Solucionado,,,,,AUS1 - AUTOMOTORES,104186,,4913244,Denuncia daños materiales,,,,'2021-04-28 13:20:00','2016-10-21 12:06:55','2016-10-21 12:06:55',Resuelto,,
161021-054085,,Incidente importado desde SAC,,Daños Materiales Autos,Usuario Importador,Telemarketing,,,Solucionado,,,,,AUS1 - AUTOMOTORES,104188,,5942682,Denuncia daños materiales,,,,'2021-04-28 13:20:00','2016-10-21 12:06:56','2016-10-21 12:06:56',Resuelto,,
161021-054086,,Incidente importado desde SAC,,Daños Materiales Autos,Usuario Importador,Telemarketing,,,Solucionado,,,,,AUS1 - AUTOMOTORES,104189,,3613789,Denuncia daños materiales,,,,'2021-04-28 13:20:00','2016-10-21 12:06:57','2016-10-21 12:06:57',Resuelto,,
161021-054087,,Incidente importado desde SAC,,Riesgos Varios Casa Central,Usuario Importador,Telemarketing,,,Solucionado,,,,,HOM1 - SEGURO DEL HOGAR,104190,,7706523,Denuncia Riesgos Varios,,,,'2021-04-28 13:20:00','2016-10-21 12:06:58','2016-10-21 12:06:58',Resuelto,,
161021-054088,,Incidente importado desde SAC,,Daños Materiales Autos,Usuario Importador,Telemarketing,,,Solucionado,,,,,AUS1 - AUTOMOTORES,104191,,7312690,Denuncia daños materiales,,,,'2021-04-28 13:20:00','2016-10-21 12:06:58','2016-10-21 12:06:58',Resuelto,,
161021-054089,,Incidente importado desde SAC,,Telecobranzas,Usuario Importador,Telemarketing,,,Solucionado,,,,,AUS1 - AUTOMOTORES,104192,,3379719,No contesta,,,,'2021-04-28 13:20:00','2016-10-21 12:06:59','2016-10-21 12:06:59',Atendido,,
161021-054090,,Incidente importado desde SAC,,Riesgos Varios Casa Central,Usuario Importador,Telemarketing,,,Solucionado,,,,,HOM1 - SEGURO DEL HOGAR,104193,,6077208,Denuncia Riesgos Varios,,,,'2021-04-28 13:20:00','2016-10-21 12:06:59','2016-10-21 12:06:59',Resuelto,,
161021-054091,,Incidente importado desde SAC,,Telecobranzas,Usuario Importador,Telemarketing,,,Solucionado,,,,,AUS1 - AUTOMOTORES,104194,,4408873,Mensaje,,,,'2021-04-28 13:20:00','2016-10-21 12:07:00','2016-10-21 12:07:00',Atendido,,
161021-054094,,Incidente importado desde SAC,,Daños Materiales Autos,Usuario Importador,Telemarketing,,,Solucionado,,,,,AUS1 - AUTOMOTORES,104197,,3441437,Denuncia daños materiales,,,,'2021-04-28 13:20:00','2016-10-21 12:07:00','2016-10-21 12:07:00',Resuelto,,
161021-054095,,Incidente importado desde SAC,,Daños Materiales Autos,Usuario Importador,Telemarketing,,,Solucionado,,,,,AUS1 - AUTOMOTORES,104198,,7030240,Denuncia daños materiales,,,,'2021-04-28 13:20:00','2016-10-21 12:07:00','2016-10-21 12:07:00',Resuelto,,
161021-054096,,Incidente importado desde SAC,,Daños Materiales Autos,Usuario Importador,Telemarketing,,,Solucionado,,,,,AUS1 - AUTOMOTORES,104199,,3395230,Denuncia daños materiales,,,,'2021-04-28 13:20:00','2016-10-21 12:07:00','2016-10-21 12:07:00',Resuelto,,
161021-054097,,Incidente importado desde SAC,,Daños Materiales Autos,Usuario Importador,Telemarketing,,,Solucionado,,,,,AUS1 - AUTOMOTORES,104200,,3774919,Denuncia daños materiales,,,,'2021-04-28 13:20:00','2016-10-21 12:07:00','2016-10-21 12:07:00',Resuelto,,
161021-054098,,Incidente importado desde SAC,,Daños Materiales Autos,Usuario Importador,Telemarketing,,,Solucionado,,,,,AUS1 - AUTOMOTORES,104201,,4664925,Denuncia daños materiales,,,,'2021-04-28 13:20:00','2016-10-21 12:07:01','2016-10-21 12:07:01',Resuelto,,
161021-054101,,Incidente importado desde SAC,,Telecobranzas,Usuario Importador,Telemarketing,,,Solucionado,,,,,AUS1 - AUTOMOTORES,104204,,3815241,Sin teléfono/Equivocado,,,,'2021-04-28 13:20:00','2016-10-21 12:07:02','2016-10-21 12:07:02',Atendido,,
161021-054102,,Incidente importado desde SAC,,Daños Materiales Autos,Usuario Importador,Telemarketing,,,Solucionado,,,,,AUS1 - AUTOMOTORES,104205,,2275207,Denuncia daños materiales,,,,'2021-04-28 13:20:00','2016-10-21 12:07:03','2016-10-21 12:07:03',Resuelto,,
161021-054103,,Incidente importado desde SAC,,Daños Materiales Autos,Usuario Importador,Telemarketing,,,Solucionado,,,,,AUS1 - AUTOMOTORES,104207,,6971202,Denuncia daños materiales,,,,'2021-04-28 13:20:00','2016-10-21 12:07:03','2016-10-21 12:07:03',Resuelto,,
161021-054104,,Incidente importado desde SAC,,Mailing,Usuario Importador,Telemarketing,,,Solucionado,,,,,AUS1 - AUTOMOTORES,104208,,5068353,Certificado de cobertura,,,,'2021-04-28 13:20:00','2016-10-21 12:07:03','2016-10-21 12:07:03',Atendido,,
161021-054105,,Incidente importado desde SAC,,Riesgos Varios Casa Central,Usuario Importador,Telemarketing,,,Solucionado,,,,,HOM1 - SEGURO DEL HOGAR,104209,,3462215,Denuncia Riesgos Varios,,,,'2021-04-28 13:20:00','2016-10-21 12:07:03','2016-10-21 12:07:03',Resuelto,,
161021-054106,,Incidente importado desde SAC,,Emisión Masivos,Usuario Importador,Telemarketing,,,Solucionado,,,,,AUS1 - AUTOMOTORES,104210,,2835253,Excepción comercial CAC,,,,'2021-04-28 13:20:00','2016-10-21 12:07:03','2016-10-21 12:07:03',Resuelto,,
161021-054108,,Incidente importado desde SAC,,Telecobranzas,Usuario Importador,Telemarketing,,,Solucionado,,,,,AUS1 - AUTOMOTORES,104212,,2714420,Contestador,,,,'2021-04-28 13:20:00','2016-10-21 12:07:04','2016-10-21 12:07:04',Atendido,,
161021-054109,,Incidente importado desde SAC,,Daños Materiales Autos,Usuario Importador,Telemarketing,,,Solucionado,,,,,AUS1 - AUTOMOTORES,104213,,5204508,Denuncia daños materiales,,,,'2021-04-28 13:20:00','2016-10-21 12:07:04','2016-10-21 12:07:04',Resuelto,,
161021-054111,,Incidente importado desde SAC,,Cac,Usuario Importador,Telemarketing,,,Solucionado,,,,,APR1 - AUTOMOTORES,104215,,7007236,Endosos CAC,,,,'2021-04-28 13:20:00','2016-10-21 12:07:04','2016-10-21 12:07:04',Resuelto,,
161021-054113,,Incidente importado desde SAC,,Daños Materiales Autos,Usuario Importador,Telemarketing,,,Solucionado,,,,,AUS1 - AUTOMOTORES,104217,,3675645,Denuncia daños materiales,,,,'2021-04-28 13:20:00','2016-10-21 12:07:05','2016-10-21 12:07:05',Resuelto,,
161021-054114,,Incidente importado desde SAC,,Daños Materiales Autos,Usuario Importador,Telemarketing,,,Solucionado,,,,,AUS1 - AUTOMOTORES,104218,,968415,Denuncia daños materiales,,,,'2021-04-28 13:20:00','2016-10-21 12:07:05','2016-10-21 12:07:05',Resuelto,,
161021-054116,,Incidente importado desde SAC,,Daños Materiales Autos,Usuario Importador,Telemarketing,,,Solucionado,,,,,AUS1 - AUTOMOTORES,104220,,6028749,Denuncia daños materiales,,,,'2021-04-28 13:20:00','2016-10-21 12:07:06','2016-10-21 12:07:06',Resuelto,,
161021-054117,,Incidente importado desde SAC,,Daños Materiales Autos,Usuario Importador,Telemarketing,,,Solucionado,,,,,AUS1 - AUTOMOTORES,104221,,2098893,Denuncia daños materiales,,,,'2021-04-28 13:20:00','2016-10-21 12:07:06','2016-10-21 12:07:06',Resuelto,,
161021-054118,,Incidente importado desde SAC,,Daños Materiales Autos,Usuario Importador,Telemarketing,,,Solucionado,,,,,AUS1 - AUTOMOTORES,104222,,7058856,Denuncia daños materiales,,,,'2021-04-28 13:20:00','2016-10-21 12:07:06','2016-10-21 12:07:06',Resuelto,,
161021-054119,,Incidente importado desde SAC,,Daños Materiales Autos,Usuario Importador,Telemarketing,,,Solucionado,,,,,AUS1 - AUTOMOTORES,104223,,1329228,Denuncia daños materiales,,,,'2021-04-28 13:20:00','2016-10-21 12:07:06','2016-10-21 12:07:06',Resuelto,,
161021-054120,,Incidente importado desde SAC,,Daños Materiales Autos,Usuario Importador,Telemarketing,,,Solucionado,,,,,AUS1 - AUTOMOTORES,104224,,5867898,Denuncia daños materiales,,,,'2021-04-28 13:20:00','2016-10-21 12:07:06','2016-10-21 12:07:06',Resuelto,,
161021-054121,,Incidente importado desde SAC,,Riesgos Varios Casa Central,Usuario Importador,Telemarketing,,,Solucionado,,,,,HOM1 - SEGURO DEL HOGAR,104225,,3666998,Denuncia Riesgos Varios,,,,'2021-04-28 13:20:00','2016-10-21 12:07:06','2016-10-21 12:07:06',Resuelto,,
161021-054123,,Incidente importado desde SAC,,Daños Materiales Autos,Usuario Importador,Telemarketing,,,Solucionado,,,,,AUS1 - AUTOMOTORES,104227,,2575290,Denuncia daños materiales,,,,'2021-04-28 13:20:00','2016-10-21 12:07:07','2016-10-21 12:07:07',Resuelto,,
161021-054128,,Incidente importado desde SAC,,Telecobranzas,Usuario Importador,Telemarketing,,,Solucionado,,,,,AUS1 - AUTOMOTORES,104232,,2923816,Sin teléfono/Equivocado,,,,'2021-04-28 13:20:00','2016-10-21 12:07:08','2016-10-21 12:07:08',Atendido,,
161021-054129,,Incidente importado desde SAC,,Daños Materiales Autos,Usuario Importador,Telemarketing,,,Solucionado,,,,,AUS1 - AUTOMOTORES,104233,,2398750,Denuncia daños materiales,,,,'2021-04-28 13:20:00','2016-10-21 12:07:08','2016-10-21 12:07:08',Resuelto,,
161021-054130,,Incidente importado desde SAC,,Pago Telefonico,Usuario Importador,Telemarketing,,,Solucionado,,,,,AUS1 - AUTOMOTORES,104234,,7687898,Pago telefónico,,,,'2021-04-28 13:20:00','2016-10-21 12:07:08','2016-10-21 12:07:08',Resuelto,,
161021-054131,,Incidente importado desde SAC,,Daños Materiales Autos,Usuario Importador,Telemarketing,,,Solucionado,,,,,AUS1 - AUTOMOTORES,104235,,5168914,Denuncia daños materiales,,,,'2021-04-28 13:20:00','2016-10-21 12:07:08','2016-10-21 12:07:08',Resuelto,,
161021-054133,,Incidente importado desde SAC,,Daños Materiales Autos,Usuario Importador,Telemarketing,,,Solucionado,,,,,AUS1 - AUTOMOTORES,104237,,6032224,Denuncia daños materiales,,,,'2021-04-28 13:20:00','2016-10-21 12:07:09','2016-10-21 12:07:09',Resuelto,,
161021-054136,,Incidente importado desde SAC,,Daños Materiales Autos,Usuario Importador,Telemarketing,,,Solucionado,,,,,AUS1 - AUTOMOTORES,104239,,3186763,Denuncia daños materiales,,,,'2021-04-28 13:20:00','2016-10-21 12:07:11','2016-10-21 12:07:11',Resuelto,,
161021-054139,,Incidente importado desde SAC,,Daños Materiales Autos,Usuario Importador,Telemarketing,,,Solucionado,,,,,AUS1 - AUTOMOTORES,104242,,1287792,Denuncia daños materiales,,,,'2021-04-28 13:20:00','2016-10-21 12:07:12','2016-10-21 12:07:12',Resuelto,,
161021-054142,,Incidente importado desde SAC,,Riesgos Varios Casa Central,Usuario Importador,Telemarketing,,,Solucionado,,,,,HOM1 - SEGURO DEL HOGAR,104245,,3852616,Denuncia Riesgos Varios,,,,'2021-04-28 13:20:00','2016-10-21 12:07:14','2016-10-21 12:07:14',Resuelto,,
161021-054143,,Incidente importado desde SAC,,Daños Materiales Autos,Usuario Importador,Telemarketing,,,Solucionado,,,,,AUS1 - AUTOMOTORES,104246,,4492407,Denuncia daños materiales,,,,'2021-04-28 13:20:00','2016-10-21 12:07:14','2016-10-21 12:07:14',Resuelto,,
161021-054144,,Incidente importado desde SAC,,Telecobranzas,Usuario Importador,Telemarketing,,,Solucionado,,,,,AUS1 - AUTOMOTORES,104247,,4431272,No contesta,,,,'2021-04-28 13:20:00','2016-10-21 12:07:14','2016-10-21 12:07:14',Atendido,,
161021-054145,,Incidente importado desde SAC,,Daños Materiales Autos,Usuario Importador,Telemarketing,,,Solucionado,,,,,AUS1 - AUTOMOTORES,104248,,6516837,Denuncia daños materiales,,,,'2021-04-28 13:20:00','2016-10-21 12:07:15','2016-10-21 12:07:15',Resuelto,,
161021-054147,,Incidente importado desde SAC,,Cerrito- CIS,Usuario Importador,Carta Documento,,,Solucionado,,,,,AUS1 - AUTOMOTORES,104250,,5303116,Cerrito - CIS,,,,'2021-04-28 13:20:00','2016-10-21 12:07:15','2016-10-21 12:07:15',Resuelto,,
161021-054148,,Incidente importado desde SAC,,Daños Materiales Autos,Usuario Importador,Telemarketing,,,Solucionado,,,,,AUS1 - AUTOMOTORES,104251,,3375132,Denuncia daños materiales,,,,'2021-04-28 13:20:00','2016-10-21 12:07:15','2016-10-21 12:07:15',Resuelto,,
161021-054149,,Incidente importado desde SAC,,Riesgos Varios Casa Central,Usuario Importador,Telemarketing,,,Solucionado,,,,,HOM1 - SEGURO DEL HOGAR,104252,,4655298,Denuncia Riesgos Varios,,,,'2021-04-28 13:20:00','2016-10-21 12:07:15','2016-10-21 12:07:15',Resuelto,,
161021-054150,,Incidente importado desde SAC,,Daños Materiales Autos,Usuario Importador,Telemarketing,,,Solucionado,,,,,AUS1 - AUTOMOTORES,104253,,2929190,Denuncia daños materiales,,,,'2021-04-28 13:20:00','2016-10-21 12:07:15','2016-10-21 12:07:15',Resuelto,,
161021-054153,,Incidente importado desde SAC,,Telecobranzas,Usuario Importador,Telemarketing,,,Solucionado,,,,,HOM1 - SEGURO DEL HOGAR,104256,,5972394,Mensaje,,,,'2021-04-28 13:20:00','2016-10-21 12:07:16','2016-10-21 12:07:16',Atendido,,
161021-054154,,Incidente importado desde SAC,,Riesgos Varios Casa Central,Usuario Importador,Telemarketing,,,Solucionado,,,,,HOM1 - SEGURO DEL HOGAR,104257,,4284687,Denuncia Riesgos Varios,,,,'2021-04-28 13:20:00','2016-10-21 12:07:17','2016-10-21 12:07:17',Resuelto,,
161021-054155,,Incidente importado desde SAC,,Daños Materiales Autos,Usuario Importador,Telemarketing,,,Solucionado,,,,,AUS1 - AUTOMOTORES,104258,,3629252,Denuncia daños materiales,,,,'2021-04-28 13:20:00','2016-10-21 12:07:17','2016-10-21 12:07:17',Resuelto,,
161021-054156,,Incidente importado desde SAC,,Riesgos Varios Casa Central,Usuario Importador,Telemarketing,,,Solucionado,,,,,HOM1 - SEGURO DEL HOGAR,104259,,4569829,Denuncia Riesgos Varios,,,,'2021-04-28 13:20:00','2016-10-21 12:07:17','2016-10-21 12:07:17',Resuelto,,
161021-054157,,Incidente importado desde SAC,,Daños Materiales Autos,Usuario Importador,Telemarketing,,,Solucionado,,,,,AUS1 - AUTOMOTORES,104260,,3508415,Denuncia daños materiales,,,,'2021-04-28 13:20:00','2016-10-21 12:07:17','2016-10-21 12:07:17',Resuelto,,
161021-054158,,Incidente importado desde SAC,,Daños Materiales Autos,Usuario Importador,Telemarketing,,,Solucionado,,,,,AUS1 - AUTOMOTORES,104261,,6812438,Denuncia daños materiales,,,,'2021-04-28 13:20:00','2016-10-21 12:07:17','2016-10-21 12:07:17',Resuelto,,
161021-054159,,Incidente importado desde SAC,,Riesgos Varios Casa Central,Usuario Importador,Telemarketing,,,Solucionado,,,,,HOM1 - SEGURO DEL HOGAR,104262,,7032246,Denuncia Riesgos Varios,,,,'2021-04-28 13:20:00','2016-10-21 12:07:18','2016-10-21 12:07:18',Resuelto,,
161021-054160,,Incidente importado desde SAC,,Daños Materiales Autos,Usuario Importador,Telemarketing,,,Solucionado,,,,,AUS1 - AUTOMOTORES,104263,,4362466,Denuncia daños materiales,,,,'2021-04-28 13:20:00','2016-10-21 12:07:18','2016-10-21 12:07:18',Resuelto,,
161021-054162,,Incidente importado desde SAC,,Daños Materiales Autos,Usuario Importador,Telemarketing,,,Solucionado,,,,,AUS1 - AUTOMOTORES,104265,,2160997,Denuncia daños materiales,,,,'2021-04-28 13:20:00','2016-10-21 12:07:18','2016-10-21 12:07:18',Resuelto,,
161021-054163,,Incidente importado desde SAC,,Daños Materiales Autos,Usuario Importador,Telemarketing,,,Solucionado,,,,,AUS1 - AUTOMOTORES,104266,,1425077,Denuncia daños materiales,,,,'2021-04-28 13:20:00','2016-10-21 12:07:18','2016-10-21 12:07:18',Resuelto,,
161021-054164,,Incidente importado desde SAC,,Daños Materiales Autos,Usuario Importador,Telemarketing,,,Solucionado,,,,,AUS1 - AUTOMOTORES,104267,,4463497,Denuncia daños materiales,,,,'2021-04-28 13:20:00','2016-10-21 12:07:19','2016-10-21 12:07:19',Resuelto,,
161021-054165,,Incidente importado desde SAC,,Riesgos Varios Casa Central,Usuario Importador,Telemarketing,,,Solucionado,,,,,HOM1 - SEGURO DEL HOGAR,104268,,3459882,Denuncia Riesgos Varios,,,,'2021-04-28 13:20:00','2016-10-21 12:07:19','2016-10-21 12:07:19',Resuelto,,
161021-054167,,Incidente importado desde SAC,,Daños Materiales Autos,Usuario Importador,Telemarketing,,,Solucionado,,,,,AUS1 - AUTOMOTORES,104270,,7171790,Denuncia daños materiales,,,,'2021-04-28 13:20:00','2016-10-21 12:07:19','2016-10-21 12:07:19',Resuelto,,
161021-054169,,Incidente importado desde SAC,,Daños Materiales Autos,Usuario Importador,Telemarketing,,,Solucionado,,,,,AUS1 - AUTOMOTORES,104272,,3130953,Denuncia daños materiales,,,,'2021-04-28 13:20:00','2016-10-21 12:07:20','2016-10-21 12:07:20',Resuelto,,
161021-054174,,Incidente importado desde SAC,,Telecobranzas,Usuario Importador,Telemarketing,,,Solucionado,,,,,AUS1 - AUTOMOTORES,104277,,5148267,Mensaje,,,,'2021-04-28 13:20:00','2016-10-21 12:07:21','2016-10-21 12:07:21',Atendido,,
161021-054177,,Incidente importado desde SAC,,Daños Materiales Autos,Usuario Importador,Telemarketing,,,Solucionado,,,,,AUS1 - AUTOMOTORES,104280,,7251826,Denuncia daños materiales,,,,'2021-04-28 13:20:00','2016-10-21 12:07:21','2016-10-21 12:07:21',Resuelto,,
161021-054179,,Incidente importado desde SAC,,Daños Materiales Autos,Usuario Importador,Telemarketing,,,Solucionado,,,,,AUS1 - AUTOMOTORES,104282,,1322999,Denuncia daños materiales,,,,'2021-04-28 13:20:00','2016-10-21 12:07:22','2016-10-21 12:07:22',Resuelto,,
161021-054180,,Incidente importado desde SAC,,Telecobranzas,Usuario Importador,Telemarketing,,,Solucionado,,,,,AUS1 - AUTOMOTORES,104283,,2655361,Ocupado,,,,'2021-04-28 13:20:00','2016-10-21 12:07:22','2016-10-21 12:07:22',Atendido,,
161021-054183,,Incidente importado desde SAC,,Daños Materiales Autos,Usuario Importador,Telemarketing,,,Solucionado,,,,,AUS1 - AUTOMOTORES,104286,,1288670,Denuncia daños materiales,,,,'2021-04-28 13:20:00','2016-10-21 12:07:23','2016-10-21 12:07:23',Resuelto,,
161021-054184,,Incidente importado desde SAC,,Daños Materiales Autos,Usuario Importador,Telemarketing,,,Solucionado,,,,,AUS1 - AUTOMOTORES,104287,,4363128,Denuncia daños materiales,,,,'2021-04-28 13:20:00','2016-10-21 12:07:23','2016-10-21 12:07:23',Resuelto,,
161021-054186,,Incidente importado desde SAC,,Daños Materiales Autos,Usuario Importador,Telemarketing,,,Solucionado,,,,,AUS1 - AUTOMOTORES,104289,,2528688,Denuncia daños materiales,,,,'2021-04-28 13:20:00','2016-10-21 12:07:24','2016-10-21 12:07:24',Resuelto,,
161021-054187,,Incidente importado desde SAC,,Daños Materiales Autos,Usuario Importador,Telemarketing,,,Solucionado,,,,,AUS1 - AUTOMOTORES,104290,,1287932,Denuncia daños materiales,,,,'2021-04-28 13:20:00','2016-10-21 12:07:24','2016-10-21 12:07:24',Resuelto,,
161021-054188,,Incidente importado desde SAC,,Daños Materiales Autos,Usuario Importador,Telemarketing,,,Solucionado,,,,,AUS1 - AUTOMOTORES,104291,,7369046,Denuncia daños materiales,,,,'2021-04-28 13:20:00','2016-10-21 12:07:25','2016-10-21 12:07:25',Resuelto,,
161021-054190,,Incidente importado desde SAC,,Cac,Usuario Importador,Telemarketing,,,Solucionado,,,,,AUT1 - AUTOMOTORES,104292,,2875472,Documentación para enviar por fax/email,,,,'2021-04-28 13:20:00','2016-10-21 12:07:26','2016-10-21 12:07:26',Resuelto,,
161021-054191,,Incidente importado desde SAC,,Telecobranzas,Usuario Importador,Telemarketing,,,Solucionado,,,,,AUS1 - AUTOMOTORES,104293,,1296288,Mensaje,,,,'2021-04-28 13:20:00','2016-10-21 12:07:27','2016-10-21 12:07:27',Atendido,,
161021-054192,,Incidente importado desde SAC,,Daños Materiales Autos,Usuario Importador,Telemarketing,,,Solucionado,,,,,AUS1 - AUTOMOTORES,104294,,823704,Denuncia daños materiales,,,,'2021-04-28 13:20:00','2016-10-21 12:07:27','2016-10-21 12:07:27',Resuelto,,
161021-054194,,Incidente importado desde SAC,,Cleas,Usuario Importador,Telemarketing,,,Solucionado,,,,,AUS1 - AUTOMOTORES,104296,,6918832,Daños materiales Cleas,,,,'2021-04-28 13:20:00','2016-10-21 12:07:27','2016-10-21 12:07:27',Resuelto,,
161021-054196,,Incidente importado desde SAC,,Daños Materiales Autos,Usuario Importador,Telemarketing,,,Solucionado,,,,,AUS1 - AUTOMOTORES,104298,,3453319,Denuncia daños materiales,,,,'2021-04-28 13:20:00','2016-10-21 12:07:28','2016-10-21 12:07:28',Resuelto,,
161021-054198,,Incidente importado desde SAC,,Daños Materiales Autos,Usuario Importador,Telemarketing,,,Solucionado,,,,,AUS1 - AUTOMOTORES,104300,,1761719,Denuncia daños materiales,,,,'2021-04-28 13:20:00','2016-10-21 12:07:28','2016-10-21 12:07:28',Resuelto,,
161021-054199,,Incidente importado desde SAC,,Daños Materiales Autos,Usuario Importador,Telemarketing,,,Solucionado,,,,,AUS1 - AUTOMOTORES,104301,,4624597,Denuncia daños materiales,,,,'2021-04-28 13:20:00','2016-10-21 12:07:28','2016-10-21 12:07:28',Resuelto,,
161021-054200,,Incidente importado desde SAC,,Telecobranzas,Usuario Importador,Telemarketing,,,Solucionado,,,,,AUS1 - AUTOMOTORES,104302,,2582958,Mensaje,,,,'2021-04-28 13:20:00','2016-10-21 12:07:29','2016-10-21 12:07:29',Atendido,,
161021-054201,,Incidente importado desde SAC,,Daños Materiales Autos,Usuario Importador,Telemarketing,,,Solucionado,,,,,AUS1 - AUTOMOTORES,104303,,3458414,Denuncia daños materiales,,,,'2021-04-28 13:20:00','2016-10-21 12:07:29','2016-10-21 12:07:29',Resuelto,,
161021-054202,,Incidente importado desde SAC,,Riesgos Varios Casa Central,Usuario Importador,Telemarketing,,,Solucionado,,,,,HOM1 - SEGURO DEL HOGAR,104304,,3137248,Denuncia Riesgos Varios,,,,'2021-04-28 13:20:00','2016-10-21 12:07:29','2016-10-21 12:07:29',Resuelto,,
161021-054203,,Incidente importado desde SAC,,Daños Materiales Autos,Usuario Importador,Telemarketing,,,Solucionado,,,,,AUS1 - AUTOMOTORES,104305,,3395968,Denuncia daños materiales,,,,'2021-04-28 13:20:00','2016-10-21 12:07:29','2016-10-21 12:07:29',Resuelto,,
161021-054204,,Incidente importado desde SAC,,Daños Materiales Autos,Usuario Importador,Telemarketing,,,Solucionado,,,,,AUS1 - AUTOMOTORES,104306,,3392009,Denuncia daños materiales,,,,'2021-04-28 13:20:00','2016-10-21 12:07:29','2016-10-21 12:07:29',Resuelto,,
161021-054206,,Incidente importado desde SAC,,Emisión Masivos,Usuario Importador,Telemarketing,,,Solucionado,,,,,AUS1 - AUTOMOTORES,104308,,2484529,Endosos CAC,,,,'2021-04-28 13:20:00','2016-10-21 12:07:30','2016-10-21 12:07:30',Resuelto,,
161021-054208,,Incidente importado desde SAC,,Daños Materiales Autos,Usuario Importador,Telemarketing,,,Solucionado,,,,,AUS1 - AUTOMOTORES,104310,,1348586,Denuncia daños materiales,,,,'2021-04-28 13:20:00','2016-10-21 12:07:31','2016-10-21 12:07:31',Resuelto,,
