Nº de referencia,Actualizado por,Asunto,Buzón de correo,Cola,Creado por cuenta,Modo de Contacto,UsuarioIntra,Tipo de Incidente,Tipo de estado,Tipo Cobro,Siniestro,Poliza,NroCuenta,ID de producto,ID de incidente,ID de disposición,ID de contacto,ID de categoría,Grupo,FechaEfecto,Fecha de última respuesta,Fecha de última actualización,Fecha de creación,Fecha de cierre,Estado,Cuenta asignada,ID de organización
161021-154153,,Incidente importado desde SAC,,Daños Materiales Autos,Usuario Importador,Telemarketing,,,Solucionado,,,,,AUS1 - AUTOMOTORES,204186,,1349166,Denuncia daños materiales,,,,'2021-04-28 13:20:00','2016-10-21 17:48:50','2016-10-21 17:48:50',Resuelto,,
161021-154155,,Incidente importado desde SAC,,Riesgos Varios Casa Central,Usuario Importador,Telemarketing,,,Solucionado,,,,,HOM1 - SEGURO DEL HOGAR,204188,,1755991,Denuncia Riesgos Varios,,,,'2021-04-28 13:20:00','2016-10-21 17:48:51','2016-10-21 17:48:51',Resuelto,,
161021-154158,,Incidente importado desde SAC,,Daños Materiales Autos,Usuario Importador,Telemarketing,,,Solucionado,,,,,AUS1 - AUTOMOTORES,204191,,1329228,Denuncia daños materiales,,,,'2021-04-28 13:20:00','2016-10-21 17:48:52','2016-10-21 17:48:52',Resuelto,,
161021-154160,,Incidente importado desde SAC,,Daños Materiales Autos,Usuario Importador,Telemarketing,,,Solucionado,,,,,AUS1 - AUTOMOTORES,204193,,5324559,Denuncia daños materiales,,,,'2021-04-28 13:20:00','2016-10-21 17:48:52','2016-10-21 17:48:52',Resuelto,,
161021-154163,,Incidente importado desde SAC,,Daños Materiales Autos,Usuario Importador,Telemarketing,,,Solucionado,,,,,AUS1 - AUTOMOTORES,204196,,1814246,Denuncia daños materiales,,,,'2021-04-28 13:20:00','2016-10-21 17:48:52','2016-10-21 17:48:52',Resuelto,,
161021-154164,,Incidente importado desde SAC,,Daños Materiales Autos,Usuario Importador,Telemarketing,,,Solucionado,,,,,AUS1 - AUTOMOTORES,204197,,3794814,Denuncia daños materiales,,,,'2021-04-28 13:20:00','2016-10-21 17:48:53','2016-10-21 17:48:53',Resuelto,,
161021-154166,,Incidente importado desde SAC,,Daños Materiales Autos,Usuario Importador,Telemarketing,,,Solucionado,,,,,AUS1 - AUTOMOTORES,204199,,1322999,Denuncia daños materiales,,,,'2021-04-28 13:20:00','2016-10-21 17:48:53','2016-10-21 17:48:53',Resuelto,,
161021-154168,,Incidente importado desde SAC,,Riesgos Varios Casa Central,Usuario Importador,Telemarketing,,,Solucionado,,,,,HOM1 - SEGURO DEL HOGAR,204201,,6824530,Denuncia Riesgos Varios,,,,'2021-04-28 13:20:00','2016-10-21 17:48:53','2016-10-21 17:48:53',Resuelto,,
161021-154169,,Incidente importado desde SAC,,Daños Materiales Autos,Usuario Importador,Telemarketing,,,Solucionado,,,,,AUS1 - AUTOMOTORES,204202,,4698207,Denuncia daños materiales,,,,'2021-04-28 13:20:00','2016-10-21 17:48:53','2016-10-21 17:48:53',Resuelto,,
161021-154170,,Incidente importado desde SAC,,Riesgos Varios Casa Central,Usuario Importador,Telemarketing,,,Solucionado,,,,,HOM1 - SEGURO DEL HOGAR,204203,,1776620,Denuncia Riesgos Varios,,,,'2021-04-28 13:20:00','2016-10-21 17:48:54','2016-10-21 17:48:54',Resuelto,,
161021-154171,,Incidente importado desde SAC,,Telecobranzas,Usuario Importador,Telemarketing,,,Solucionado,,,,,AUS1 - AUTOMOTORES,204204,,642487,Mensaje,,,,'2021-04-28 13:20:00','2016-10-21 17:48:54','2016-10-21 17:48:54',Atendido,,
161021-154172,,Incidente importado desde SAC,,Cac,Usuario Importador,Telemarketing,,,Solucionado,,,,,AUS1 - AUTOMOTORES,204205,,2385036,Endosos CAC,,,,'2021-04-28 13:20:00','2016-10-21 17:48:54','2016-10-21 17:48:54',Atendido,,
161021-154174,,Incidente importado desde SAC,,Riesgos Varios Casa Central,Usuario Importador,Telemarketing,,,Solucionado,,,,,HOM1 - SEGURO DEL HOGAR,204207,,2540962,Denuncia Riesgos Varios,,,,'2021-04-28 13:20:00','2016-10-21 17:48:54','2016-10-21 17:48:54',Resuelto,,
161021-154176,,Incidente importado desde SAC,,Fleet Services,Usuario Importador,Telemarketing,,,Solucionado,,,,,AUS1 - AUTOMOTORES,204209,,3453233,Contacto del tercero,,,,'2021-04-28 13:20:00','2016-10-21 17:48:54','2016-10-21 17:48:54',Resuelto,,
161021-154177,,Incidente importado desde SAC,,Daños Materiales Autos,Usuario Importador,Telemarketing,,,Solucionado,,,,,AUS1 - AUTOMOTORES,204210,,2801995,Denuncia daños materiales,,,,'2021-04-28 13:20:00','2016-10-21 17:48:55','2016-10-21 17:48:55',Resuelto,,
